SED_NAME16	persons
Albury	78641
Auburn	103686
Ballina	73276
Balmain	82772
Bankstown	85522
Barwon	77345
Bathurst	78079
Baulkham Hills	79148
Bega	70054
Blacktown	87705
Blue Mountains	71327
Cabramatta	81784
Camden	88202
Campbelltown	78849
Canterbury	88009
Castle Hill	79826
Cessnock	76641
Charlestown	72039
Clarence	73511
Coffs Harbour	72944
Coogee	83171
Cootamundra	71781
Cronulla	73728
Davidson	78300
Drummoyne	80243
Dubbo	76563
East Hills	77348
Epping	79934
Fairfield	86985
Gosford	73851
Goulburn	75766
Granville	91053
Hawkesbury	73931
Heathcote	76148
Heffron	104221
Holsworthy	84408
Hornsby	79025
Keira	78381
Kiama	71284
Kogarah	91951
Ku-ring-gai	80223
Lake Macquarie	71072
Lakemba	91623
Lane Cove	81907
Lismore	73944
Liverpool	91136
Londonderry	91815
Macquarie Fields	86360
Maitland	77172
Manly	80327
Maroubra	81713
Miranda	74163
Monaro	76014
Mount Druitt	88713
Mulgoa	81415
Murray	82908
Myall Lakes	71063
Newcastle	71665
Newtown	84026
North Shore	77272
Northern Tablelands	79240
Oatley	76318
Orange	77898
Oxley	72842
Parramatta	102466
Penrith	78786
Pittwater	72088
Port Macquarie	73131
Port Stephens	71381
Prospect	81717
Riverstone	89863
Rockdale	86195
Ryde	92964
Seven Hills	84442
Shellharbour	81215
South Coast	69531
Strathfield	93962
Summer Hill	81050
Swansea	71289
Sydney	98538
Tamworth	77029
Terrigal	73140
The Entrance	73036
Tweed	76156
Upper Hunter	75527
Vaucluse	79795
Wagga Wagga	76536
Wakehurst	79107
Wallsend	80787
Willoughby	84809
Wollondilly	74568
Wollongong	82971
Wyong	77145
No usual address (NSW)	12288
Migratory - Offshore - Shipping (NSW)	412
Albert Park (Southern Metropolitan)	75951
Altona (Western Metropolitan)	91695
Bass (Eastern Victoria)	72701
Bayswater (Eastern Metropolitan)	62184
Bellarine (Western Victoria)	59222
Benambra (Northern Victoria)	64222
Bendigo East (Northern Victoria)	64246
Bendigo West (Northern Victoria)	60122
Bentleigh (Southern Metropolitan)	61033
Box Hill (Eastern Metropolitan)	69349
Brighton (Southern Metropolitan)	62498
Broadmeadows (Northern Metropolitan)	72350
Brunswick (Northern Metropolitan)	71047
