SED_NAME16	Age	NeedsAssistance	Sex	persons
Albury	0-4		F	195
Albury	0-4		M	159
Albury	0-4	0	F	2151
Albury	0-4	0	M	2270
Albury	0-4	1	F	26
Albury	0-4	1	M	31
Albury	5-14		F	333
Albury	5-14		M	341
Albury	5-14	0	F	4465
Albury	5-14	0	M	4443
Albury	5-14	1	F	140
Albury	5-14	1	M	257
Albury	15-19		F	149
Albury	15-19		M	175
Albury	15-19	0	F	2209
Albury	15-19	0	M	2198
Albury	15-19	1	F	51
Albury	15-19	1	M	83
Albury	20-24		F	189
Albury	20-24		M	219
Albury	20-24	0	F	2101
Albury	20-24	0	M	2012
Albury	20-24	1	F	46
Albury	20-24	1	M	80
Albury	25-34		F	375
Albury	25-34		M	415
Albury	25-34	0	F	4033
Albury	25-34	0	M	3862
Albury	25-34	1	F	95
Albury	25-34	1	M	117
Albury	35-44		F	344
Albury	35-44		M	390
Albury	35-44	0	F	4182
Albury	35-44	0	M	3845
Albury	35-44	1	F	136
Albury	35-44	1	M	138
Albury	45-54		F	357
Albury	45-54		M	421
Albury	45-54	0	F	4593
Albury	45-54	0	M	4360
Albury	45-54	1	F	209
Albury	45-54	1	M	199
Albury	55-64		F	420
Albury	55-64		M	420
Albury	55-64	0	F	4746
Albury	55-64	0	M	4456
Albury	55-64	1	F	275
Albury	55-64	1	M	300
Albury	65-74		F	342
Albury	65-74		M	357
Albury	65-74	0	F	3692
Albury	65-74	0	M	3588
Albury	65-74	1	F	313
Albury	65-74	1	M	338
Albury	75-84		F	291
Albury	75-84		M	210
Albury	75-84	0	F	1897
Albury	75-84	0	M	1677
Albury	75-84	1	F	459
Albury	75-84	1	M	345
Albury	85+		F	168
Albury	85+		M	103
Albury	85+	0	F	522
Albury	85+	0	M	428
Albury	85+	1	F	603
Albury	85+	1	M	291
Auburn	0-4		F	301
Auburn	0-4		M	290
Auburn	0-4	0	F	3424
Auburn	0-4	0	M	3535
Auburn	0-4	1	F	25
Auburn	0-4	1	M	39
Auburn	5-14		F	371
Auburn	5-14		M	325
Auburn	5-14	0	F	5220
Auburn	5-14	0	M	5398
Auburn	5-14	1	F	85
Auburn	5-14	1	M	170
Auburn	15-19		F	170
Auburn	15-19		M	206
Auburn	15-19	0	F	2586
Auburn	15-19	0	M	2747
Auburn	15-19	1	F	41
Auburn	15-19	1	M	54
Auburn	20-24		F	363
Auburn	20-24		M	536
Auburn	20-24	0	F	3657
Auburn	20-24	0	M	4589
Auburn	20-24	1	F	26
Auburn	20-24	1	M	70
Auburn	25-34		F	882
Auburn	25-34		M	1527
Auburn	25-34	0	F	9632
Auburn	25-34	0	M	11735
Auburn	25-34	1	F	113
Auburn	25-34	1	M	153
Auburn	35-44		F	563
Auburn	35-44		M	960
Auburn	35-44	0	F	5834
Auburn	35-44	0	M	6879
Auburn	35-44	1	F	169
Auburn	35-44	1	M	177
Auburn	45-54		F	425
Auburn	45-54		M	623
Auburn	45-54	0	F	5096
Auburn	45-54	0	M	5149
Auburn	45-54	1	F	314
Auburn	45-54	1	M	268
Auburn	55-64		F	329
Auburn	55-64		M	380
Auburn	55-64	0	F	3996
Auburn	55-64	0	M	4092
Auburn	55-64	1	F	526
Auburn	55-64	1	M	410
Auburn	65-74		F	170
Auburn	65-74		M	221
Auburn	65-74	0	F	1924
Auburn	65-74	0	M	2051
Auburn	65-74	1	F	470
Auburn	65-74	1	M	449
Auburn	75-84		F	107
Auburn	75-84		M	104
Auburn	75-84	0	F	810
Auburn	75-84	0	M	831
Auburn	75-84	1	F	524
Auburn	75-84	1	M	395
Auburn	85+		F	60
Auburn	85+		M	29
Auburn	85+	0	F	247
Auburn	85+	0	M	156
Auburn	85+	1	F	462
Auburn	85+	1	M	224
Ballina	0-4		F	162
Ballina	0-4		M	153
Ballina	0-4	0	F	1594
Ballina	0-4	0	M	1670
Ballina	0-4	1	F	20
Ballina	0-4	1	M	23
Ballina	5-14		F	386
Ballina	5-14		M	372
Ballina	5-14	0	F	3691
Ballina	5-14	0	M	3882
Ballina	5-14	1	F	77
Ballina	5-14	1	M	188
Ballina	15-19		F	148
Ballina	15-19		M	181
Ballina	15-19	0	F	1720
Ballina	15-19	0	M	1834
Ballina	15-19	1	F	37
Ballina	15-19	1	M	62
Ballina	20-24		F	141
Ballina	20-24		M	137
Ballina	20-24	0	F	1207
Ballina	20-24	0	M	1172
Ballina	20-24	1	F	40
Ballina	20-24	1	M	63
Ballina	25-34		F	364
Ballina	25-34		M	389
Ballina	25-34	0	F	3206
Ballina	25-34	0	M	2864
Ballina	25-34	1	F	65
Ballina	25-34	1	M	82
Ballina	35-44		F	489
Ballina	35-44		M	449
Ballina	35-44	0	F	4252
Ballina	35-44	0	M	3665
Ballina	35-44	1	F	94
Ballina	35-44	1	M	92
Ballina	45-54		F	536
Ballina	45-54		M	531
Ballina	45-54	0	F	4951
Ballina	45-54	0	M	4275
Ballina	45-54	1	F	178
Ballina	45-54	1	M	160
Ballina	55-64		F	633
Ballina	55-64		M	619
