SED_NAME16	medianMortgageRepayment
Albury	15756
Auburn	24000
Ballina	20796
Balmain	36000
Bankstown	23400
Barwon	12744
Bathurst	18204
Baulkham Hills	30000
Bega	16644
Blacktown	24000
Blue Mountains	21840
Cabramatta	20796
Camden	26604
Campbelltown	21360
Canterbury	26004
Castle Hill	31200
Cessnock	19236
Charlestown	22104
Clarence	15600
Coffs Harbour	19236
Coogee	35364
Cootamundra	13200
Cronulla	31200
Davidson	36000
Drummoyne	30000
Dubbo	18204
East Hills	26004
Epping	30000
Fairfield	21228
Gosford	20796
Goulburn	20604
Granville	24000
Hawkesbury	25356
Heathcote	27600
Heffron	28800
Holsworthy	26004
Hornsby	28596
Keira	26004
Kiama	21600
Kogarah	24324
Ku-ring-gai	33288
Lake Macquarie	20796
Lakemba	23400
Lane Cove	31200
Lismore	16800
Liverpool	23400
Londonderry	23400
Macquarie Fields	23400
Maitland	20796
Manly	36000
Maroubra	31200
Miranda	29748
Monaro	23400
Mount Druitt	23400
Mulgoa	26004
Murray	15600
Myall Lakes	15708
Newcastle	22356
Newtown	31200
North Shore	32400
Northern Tablelands	15600
Oatley	26400
Orange	18000
Oxley	15600
Parramatta	25200
Penrith	23760
Pittwater	33600
Port Macquarie	19920
Port Stephens	20280
Prospect	25872
Riverstone	29016
Rockdale	26004
Ryde	26004
Seven Hills	26004
Shellharbour	21600
South Coast	17940
Strathfield	26004
Summer Hill	26400
Swansea	20796
Sydney	31200
Tamworth	17676
Terrigal	24000
The Entrance	20796
Tweed	20796
Upper Hunter	20796
Vaucluse	36000
Wagga Wagga	18204
Wakehurst	31200
Wallsend	20796
Willoughby	34680
Wollondilly	24180
Wollongong	20796
Wyong	20796
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Albert Park (Southern Metropolitan)	26040
Altona (Western Metropolitan)	22800
Bass (Eastern Victoria)	19500
Bayswater (Eastern Metropolitan)	20796
Bellarine (Western Victoria)	19200
Benambra (Northern Victoria)	16644
Bendigo East (Northern Victoria)	17424
Bendigo West (Northern Victoria)	15600
Bentleigh (Southern Metropolitan)	26004
Box Hill (Eastern Metropolitan)	24000
Brighton (Southern Metropolitan)	30000
Broadmeadows (Northern Metropolitan)	17868
Brunswick (Northern Metropolitan)	24000
Bulleen (Eastern Metropolitan)	24000
Bundoora (Northern Metropolitan)	21600
Buninyong (Western Victoria)	16536
Burwood (Southern Metropolitan)	26004
Carrum (South-Eastern Metropolitan)	20400
Caulfield (Southern Metropolitan)	26004
Clarinda (South-Eastern Metropolitan)	21600
Cranbourne (South-Eastern Metropolitan)	21600
Croydon (Eastern Metropolitan)	21240
Dandenong (South-Eastern Metropolitan)	18204
Eildon (Northern Victoria)	18048
Eltham (Eastern Metropolitan)	24000
Essendon (Western Metropolitan)	26004
Euroa (Northern Victoria)	15600
Evelyn (Eastern Victoria)	20796
Ferntree Gully (Eastern Metropolitan)	20796
Footscray (Western Metropolitan)	20892
Forest Hill (Eastern Metropolitan)	24000
Frankston (South-Eastern Metropolitan)	18480
Geelong (Western Victoria)	18000
Gembrook (Eastern Victoria)	20796
Gippsland East (Eastern Victoria)	15360
Gippsland South (Eastern Victoria)	15600
Hastings (Eastern Victoria)	19764
Hawthorn (Southern Metropolitan)	28800
Ivanhoe (Eastern Metropolitan)	24000
Kew (Southern Metropolitan)	30000
Keysborough (South-Eastern Metropolitan)	21240
Kororoit (Western Metropolitan)	20796
Lara (Western Victoria)	16800
Lowan (Western Victoria)	12432
Macedon (Northern Victoria)	20796
Malvern (Southern Metropolitan)	30000
Melbourne (Northern Metropolitan)	24000
Melton (Western Victoria)	18204
Mildura (Northern Victoria)	14088
Mill Park (Northern Metropolitan)	20796
Monbulk (Eastern Victoria)	20796
Mordialloc (South-Eastern Metropolitan)	24000
Mornington (Eastern Victoria)	24000
Morwell (Eastern Victoria)	15084
Mount Waverley (Eastern Metropolitan)	24000
Mulgrave (South-Eastern Metropolitan)	20796
Murray Plains (Northern Victoria)	14400
Narracan (Eastern Victoria)	16896
Narre Warren North (South-Eastern Metrop	19200
Narre Warren South (South-Eastern Metrop	20796
Nepean (Eastern Victoria)	19764
Niddrie (Western Metropolitan)	24000
Northcote (Northern Metropolitan)	24000
Oakleigh (Southern Metropolitan)	24000
Ovens Valley (Northern Victoria)	15600
Pascoe Vale (Northern Metropolitan)	22884
Polwarth (Western Victoria)	15600
Prahran (Southern Metropolitan)	24000
Preston (Northern Metropolitan)	21000
Richmond (Northern Metropolitan)	26400
Ringwood (Eastern Metropolitan)	22800
Ripon (Western Victoria)	12996
Rowville (South-Eastern Metropolitan)	22320
Sandringham (Southern Metropolitan)	26400
Shepparton (Northern Victoria)	15600
South Barwon (Western Victoria)	20796
South-West Coast (Western Victoria)	15960
St Albans (Western Metropolitan)	18000
Sunbury (Western Metropolitan)	19236
Sydenham (Western Metropolitan)	21324
Tarneit (Western Metropolitan)	20796
Thomastown (Northern Metropolitan)	20796
Warrandyte (Eastern Metropolitan)	25200
Wendouree (Western Victoria)	16080
Werribee (Western Metropolitan)	18204
Williamstown (Western Metropolitan)	26004
Yan Yean (Northern Victoria)	22800
Yuroke (Northern Metropolitan)	21060
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Albert	23844
Algester	21600
Ashgrove	26004
Aspley	24000
Barron River	20796
Beaudesert	21120
Brisbane Central	25200
Broadwater	20796
Buderim	23400
Bulimba	26400
Bundaberg	15600
Bundamba	20400
Burdekin	18204
Burleigh	22800
Burnett	17892
Cairns	18204
Callide	14400
Caloundra	21600
Capalaba	22356
Chatsworth	26004
Clayfield	26004
Cleveland	24000
Condamine	18768
Cook	18204
Coomera	23400
Currumbin	23040
