SED_NAME16	DwellingStructure	InternetAccessedFromDwelling	occupied_private_dwellings
Albury			11
Albury		0	30
Albury		1	88
Albury	(Other)		12
Albury	(Other)	0	88
Albury	(Other)	1	128
Albury	Flat/apartment		60
Albury	Flat/apartment	0	257
Albury	Flat/apartment	1	414
Albury	Semi-detached, row/terrace house, townhouse etc.		154
Albury	Semi-detached, row/terrace house, townhouse etc.	0	1090
Albury	Semi-detached, row/terrace house, townhouse etc.	1	2336
Albury	Separate house		643
Albury	Separate house	0	4417
Albury	Separate house	1	20104
Auburn			41
Auburn		0	16
Auburn		1	84
Auburn	(Other)		14
Auburn	(Other)	0	35
Auburn	(Other)	1	142
Auburn	Flat/apartment		464
Auburn	Flat/apartment	0	1291
Auburn	Flat/apartment	1	10269
Auburn	Semi-detached, row/terrace house, townhouse etc.		173
Auburn	Semi-detached, row/terrace house, townhouse etc.	0	563
Auburn	Semi-detached, row/terrace house, townhouse etc.	1	3322
Auburn	Separate house		544
Auburn	Separate house	0	1951
Auburn	Separate house	1	11256
Ballina			44
Ballina		0	58
Ballina		1	175
Ballina	(Other)		57
Ballina	(Other)	0	291
Ballina	(Other)	1	520
Ballina	Flat/apartment		62
Ballina	Flat/apartment	0	333
Ballina	Flat/apartment	1	1133
Ballina	Semi-detached, row/terrace house, townhouse etc.		175
Ballina	Semi-detached, row/terrace house, townhouse etc.	0	986
Ballina	Semi-detached, row/terrace house, townhouse etc.	1	3266
Ballina	Separate house		540
Ballina	Separate house	0	2364
Ballina	Separate house	1	17561
Balmain			42
Balmain		0	20
Balmain		1	163
Balmain	(Other)		15
Balmain	(Other)	0	20
Balmain	(Other)	1	268
Balmain	Flat/apartment		398
Balmain	Flat/apartment	0	1406
Balmain	Flat/apartment	1	11169
Balmain	Semi-detached, row/terrace house, townhouse etc.		328
Balmain	Semi-detached, row/terrace house, townhouse etc.	0	1107
Balmain	Semi-detached, row/terrace house, townhouse etc.	1	13612
Balmain	Separate house		92
Balmain	Separate house	0	344
Balmain	Separate house	1	3441
Bankstown			20
Bankstown		0	26
Bankstown		1	59
Bankstown	(Other)		8
Bankstown	(Other)	0	14
Bankstown	(Other)	1	108
Bankstown	Flat/apartment		255
Bankstown	Flat/apartment	0	1573
Bankstown	Flat/apartment	1	5313
Bankstown	Semi-detached, row/terrace house, townhouse etc.		128
Bankstown	Semi-detached, row/terrace house, townhouse etc.	0	517
Bankstown	Semi-detached, row/terrace house, townhouse etc.	1	2737
Bankstown	Separate house		517
Bankstown	Separate house	0	2562
Bankstown	Separate house	1	11616
Barwon			39
Barwon		0	96
Barwon		1	214
Barwon	(Other)		63
Barwon	(Other)	0	164
Barwon	(Other)	1	239
Barwon	Flat/apartment		79
Barwon	Flat/apartment	0	491
Barwon	Flat/apartment	1	468
Barwon	Semi-detached, row/terrace house, townhouse etc.		33
Barwon	Semi-detached, row/terrace house, townhouse etc.	0	206
Barwon	Semi-detached, row/terrace house, townhouse etc.	1	270
Barwon	Separate house		987
Barwon	Separate house	0	7501
Barwon	Separate house	1	17692
Bathurst			76
Bathurst		0	91
Bathurst		1	170
Bathurst	(Other)		13
Bathurst	(Other)	0	104
Bathurst	(Other)	1	326
Bathurst	Flat/apartment		38
Bathurst	Flat/apartment	0	325
Bathurst	Flat/apartment	1	481
Bathurst	Semi-detached, row/terrace house, townhouse etc.		83
Bathurst	Semi-detached, row/terrace house, townhouse etc.	0	696
Bathurst	Semi-detached, row/terrace house, townhouse etc.	1	1267
Bathurst	Separate house		664
Bathurst	Separate house	0	4715
Bathurst	Separate house	1	19023
Baulkham Hills			12
Baulkham Hills		0	4
Baulkham Hills		1	40
Baulkham Hills	(Other)	1	14
Baulkham Hills	Flat/apartment		23
Baulkham Hills	Flat/apartment	0	145
Baulkham Hills	Flat/apartment	1	977
Baulkham Hills	Semi-detached, row/terrace house, townhouse etc.		48
Baulkham Hills	Semi-detached, row/terrace house, townhouse etc.	0	204
Baulkham Hills	Semi-detached, row/terrace house, townhouse etc.	1	2766
Baulkham Hills	Separate house		284
Baulkham Hills	Separate house	0	991
Baulkham Hills	Separate house	1	19246
Bega			21
Bega		0	33
Bega		1	181
Bega	(Other)		36
Bega	(Other)	0	216
Bega	(Other)	1	327
Bega	Flat/apartment		74
Bega	Flat/apartment	0	517
Bega	Flat/apartment	1	927
Bega	Semi-detached, row/terrace house, townhouse etc.		112
Bega	Semi-detached, row/terrace house, townhouse etc.	0	739
Bega	Semi-detached, row/terrace house, townhouse etc.	1	1675
Bega	Separate house		657
Bega	Separate house	0	3918
Bega	Separate house	1	18667
Blacktown			21
Blacktown		0	18
Blacktown		1	61
Blacktown	(Other)	0	10
Blacktown	(Other)	1	36
Blacktown	Flat/apartment		107
Blacktown	Flat/apartment	0	493
Blacktown	Flat/apartment	1	1931
Blacktown	Semi-detached, row/terrace house, townhouse etc.		122
Blacktown	Semi-detached, row/terrace house, townhouse etc.	0	445
Blacktown	Semi-detached, row/terrace house, townhouse etc.	1	2463
Blacktown	Separate house		680
Blacktown	Separate house	0	3058
Blacktown	Separate house	1	18271
Blue Mountains			18
Blue Mountains		0	19
Blue Mountains		1	71
Blue Mountains	(Other)		5
Blue Mountains	(Other)	0	10
Blue Mountains	(Other)	1	39
Blue Mountains	Flat/apartment		27
Blue Mountains	Flat/apartment	0	171
Blue Mountains	Flat/apartment	1	370
Blue Mountains	Semi-detached, row/terrace house, townhouse etc.		41
Blue Mountains	Semi-detached, row/terrace house, townhouse etc.	0	372
Blue Mountains	Semi-detached, row/terrace house, townhouse etc.	1	920
Blue Mountains	Separate house		432
Blue Mountains	Separate house	0	2286
Blue Mountains	Separate house	1	21978
Cabramatta			11
Cabramatta		0	19
Cabramatta		1	51
Cabramatta	(Other)		4
Cabramatta	(Other)	0	15
Cabramatta	(Other)	1	50
Cabramatta	Flat/apartment		121
Cabramatta	Flat/apartment	0	819
Cabramatta	Flat/apartment	1	1831
Cabramatta	Semi-detached, row/terrace house, townhouse etc.		110
Cabramatta	Semi-detached, row/terrace house, townhouse etc.	0	721
Cabramatta	Semi-detached, row/terrace house, townhouse etc.	1	2295
Cabramatta	Separate house		538
Cabramatta	Separate house	0	2546
Cabramatta	Separate house	1	13944
Camden			55
Camden		0	15
Camden		1	72
Camden	(Other)		7
Camden	(Other)	0	30
Camden	(Other)	1	54
Camden	Flat/apartment		16
Camden	Flat/apartment	0	73
Camden	Flat/apartment	1	115
Camden	Semi-detached, row/terrace house, townhouse etc.		72
Camden	Semi-detached, row/terrace house, townhouse etc.	0	335
Camden	Semi-detached, row/terrace house, townhouse etc.	1	1031
Camden	Separate house		442
Camden	Separate house	0	2207
Camden	Separate house	1	22364
Campbelltown			5
Campbelltown		0	10
Campbelltown		1	26
Campbelltown	(Other)		3
Campbelltown	(Other)	0	11
Campbelltown	(Other)	1	41
Campbelltown	Flat/apartment		63
Campbelltown	Flat/apartment	0	437
Campbelltown	Flat/apartment	1	1320
Campbelltown	Semi-detached, row/terrace house, townhouse etc.		135
Campbelltown	Semi-detached, row/terrace house, townhouse etc.	0	946
Campbelltown	Semi-detached, row/terrace house, townhouse etc.	1	2257
Campbelltown	Separate house		498
Campbelltown	Separate house	0	2655
Campbelltown	Separate house	1	16977
Canterbury			20
Canterbury		0	9
Canterbury		1	69
Canterbury	(Other)		7
Canterbury	(Other)	0	33
Canterbury	(Other)	1	183
Canterbury	Flat/apartment		336
Canterbury	Flat/apartment	0	1556
Canterbury	Flat/apartment	1	8147
Canterbury	Semi-detached, row/terrace house, townhouse etc.		127
Canterbury	Semi-detached, row/terrace house, townhouse etc.	0	493
Canterbury	Semi-detached, row/terrace house, townhouse etc.	1	2820
Canterbury	Separate house		421
Canterbury	Separate house	0	2623
Canterbury	Separate house	1	12194
Castle Hill			10
Castle Hill		0	3
Castle Hill		1	51
Castle Hill	(Other)		3
Castle Hill	(Other)	0	3
Castle Hill	(Other)	1	12
Castle Hill	Flat/apartment		30
Castle Hill	Flat/apartment	0	155
Castle Hill	Flat/apartment	1	1304
Castle Hill	Semi-detached, row/terrace house, townhouse etc.		50
Castle Hill	Semi-detached, row/terrace house, townhouse etc.	0	207
Castle Hill	Semi-detached, row/terrace house, townhouse etc.	1	2394
Castle Hill	Separate house		313
Castle Hill	Separate house	0	753
Castle Hill	Separate house	1	18530
Cessnock			15
Cessnock		0	23
Cessnock		1	91
Cessnock	(Other)		3
Cessnock	(Other)	0	20
Cessnock	(Other)	1	45
Cessnock	Flat/apartment		12
Cessnock	Flat/apartment	0	157
Cessnock	Flat/apartment	1	171
Cessnock	Semi-detached, row/terrace house, townhouse etc.		113
Cessnock	Semi-detached, row/terrace house, townhouse etc.	0	630
Cessnock	Semi-detached, row/terrace house, townhouse etc.	1	1031
Cessnock	Separate house		569
Cessnock	Separate house	0	4276
Cessnock	Separate house	1	19271
Charlestown			10
Charlestown		0	3
Charlestown		1	28
Charlestown	(Other)		8
Charlestown	(Other)	0	50
Charlestown	(Other)	1	76
Charlestown	Flat/apartment		41
Charlestown	Flat/apartment	0	289
Charlestown	Flat/apartment	1	711
Charlestown	Semi-detached, row/terrace house, townhouse etc.		97
Charlestown	Semi-detached, row/terrace house, townhouse etc.	0	928
Charlestown	Semi-detached, row/terrace house, townhouse etc.	1	2412
Charlestown	Separate house		423
Charlestown	Separate house	0	3052
Charlestown	Separate house	1	18735
Clarence			12
Clarence		0	33
Clarence		1	130
Clarence	(Other)		45
Clarence	(Other)	0	316
Clarence	(Other)	1	453
Clarence	Flat/apartment		89
Clarence	Flat/apartment	0	654
Clarence	Flat/apartment	1	837
Clarence	Semi-detached, row/terrace house, townhouse etc.		66
Clarence	Semi-detached, row/terrace house, townhouse etc.	0	587
Clarence	Semi-detached, row/terrace house, townhouse etc.	1	916
Clarence	Separate house		703
Clarence	Separate house	0	5236
Clarence	Separate house	1	18075
Coffs Harbour			50
Coffs Harbour		0	48
Coffs Harbour		1	182
Coffs Harbour	(Other)		43
Coffs Harbour	(Other)	0	225
Coffs Harbour	(Other)	1	361
Coffs Harbour	Flat/apartment		126
Coffs Harbour	Flat/apartment	0	744
Coffs Harbour	Flat/apartment	1	1860
Coffs Harbour	Semi-detached, row/terrace house, townhouse etc.		144
Coffs Harbour	Semi-detached, row/terrace house, townhouse etc.	0	806
Coffs Harbour	Semi-detached, row/terrace house, townhouse etc.	1	2368
Coffs Harbour	Separate house		454
Coffs Harbour	Separate house	0	2528
Coffs Harbour	Separate house	1	17109
Coogee			12
Coogee		0	12
Coogee		1	84
Coogee	(Other)		12
Coogee	(Other)	0	53
Coogee	(Other)	1	505
Coogee	Flat/apartment		560
