SED_NAME16	AustCitizen	Sex	persons
Albury	0	F	4499
Albury	0	M	4505
Albury	1	F	35607
Albury	1	M	34029
Auburn	0	F	15200
Auburn	0	M	20721
Auburn	1	F	33725
Auburn	1	M	34045
Ballina	0	F	5372
Ballina	0	M	5042
Ballina	1	F	32609
Ballina	1	M	30251
Balmain	0	F	11272
Balmain	0	M	10284
Balmain	1	F	31924
Balmain	1	M	29292
Bankstown	0	F	8646
Bankstown	0	M	8792
Bankstown	1	F	34385
Bankstown	1	M	33698
Barwon	0	F	4910
Barwon	0	M	5025
Barwon	1	F	33708
Barwon	1	M	33704
Bathurst	0	F	4468
Bathurst	0	M	5797
Bathurst	1	F	34263
Bathurst	1	M	33554
Baulkham Hills	0	F	6254
Baulkham Hills	0	M	5564
Baulkham Hills	1	F	33957
Baulkham Hills	1	M	33378
Bega	0	F	3772
Bega	0	M	3712
Bega	1	F	31977
Bega	1	M	30595
Blacktown	0	F	9501
Blacktown	0	M	9477
Blacktown	1	F	34278
Blacktown	1	M	34451
Blue Mountains	0	F	3723
Blue Mountains	0	M	3449
Blue Mountains	1	F	33257
Blue Mountains	1	M	30900
Cabramatta	0	F	7322
Cabramatta	0	M	6581
Cabramatta	1	F	34324
Cabramatta	1	M	33562
Camden	0	F	4790
Camden	0	M	4601
Camden	1	F	40123
Camden	1	M	38691
Campbelltown	0	F	6252
Campbelltown	0	M	5771
Campbelltown	1	F	34079
Campbelltown	1	M	32743
Canterbury	0	F	10607
Canterbury	0	M	10512
Canterbury	1	F	33860
Canterbury	1	M	33031
Castle Hill	0	F	5644
Castle Hill	0	M	5152
Castle Hill	1	F	34833
Castle Hill	1	M	34199
Cessnock	0	F	3570
Cessnock	0	M	4196
Cessnock	1	F	35114
Cessnock	1	M	33762
Charlestown	0	F	2841
Charlestown	0	M	2667
Charlestown	1	F	34218
Charlestown	1	M	32313
Clarence	0	F	3543
Clarence	0	M	3730
Clarence	1	F	33493
Clarence	1	M	32744
Coffs Harbour	0	F	4883
Coffs Harbour	0	M	4631
Coffs Harbour	1	F	32746
Coffs Harbour	1	M	30688
Coogee	0	F	11426
Coogee	0	M	10874
Coogee	1	F	32000
Coogee	1	M	28864
Cootamundra	0	F	3681
Cootamundra	0	M	4375
Cootamundra	1	F	32156
Cootamundra	1	M	31571
Cronulla	0	F	4012
Cronulla	0	M	3654
Cronulla	1	F	33544
Cronulla	1	M	32516
Davidson	0	F	6413
Davidson	0	M	5461
Davidson	1	F	33902
Davidson	1	M	32524
Drummoyne	0	F	9677
Drummoyne	0	M	8625
Drummoyne	1	F	32177
Drummoyne	1	M	29763
Dubbo	0	F	4624
Dubbo	0	M	5072
Dubbo	1	F	34114
Dubbo	1	M	32756
East Hills	0	F	5201
East Hills	0	M	4960
East Hills	1	F	34266
East Hills	1	M	32919
Epping	0	F	8061
Epping	0	M	7521
Epping	1	F	33111
Epping	1	M	31242
Fairfield	0	F	9709
Fairfield	0	M	9714
Fairfield	1	F	34365
Fairfield	1	M	33200
Gosford	0	F	4990
Gosford	0	M	4665
Gosford	1	F	32986
Gosford	1	M	31205
Goulburn	0	F	3925
Goulburn	0	M	4567
Goulburn	1	F	34097
Goulburn	1	M	33176
Granville	0	F	11480
Granville	0	M	13350
Granville	1	F	33207
Granville	1	M	33018
Hawkesbury	0	F	3923
Hawkesbury	0	M	3779
Hawkesbury	1	F	33357
Hawkesbury	1	M	32873
Heathcote	0	F	3416
Heathcote	0	M	3185
Heathcote	1	F	35366
Heathcote	1	M	34179
Heffron	0	F	19706
Heffron	0	M	19961
Heffron	1	F	31747
Heffron	1	M	32809
Holsworthy	0	F	6203
Holsworthy	0	M	5841
Holsworthy	1	F	36486
Holsworthy	1	M	35879
Hornsby	0	F	6387
Hornsby	0	M	5808
Hornsby	1	F	33671
Hornsby	1	M	33159
Keira	0	F	4359
Keira	0	M	4380
Keira	1	F	35694
Keira	1	M	33949
Kiama	0	F	3625
Kiama	0	M	4134
Kiama	1	F	32361
Kiama	1	M	31166
Kogarah	0	F	14477
Kogarah	0	M	13943
Kogarah	1	F	32092
Kogarah	1	M	31438
Ku-ring-gai	0	F	8025
Ku-ring-gai	0	M	6948
Ku-ring-gai	1	F	33828
Ku-ring-gai	1	M	31419
Lake Macquarie	0	F	3031
Lake Macquarie	0	M	2843
Lake Macquarie	1	F	33270
Lake Macquarie	1	M	31925
Lakemba	0	F	10296
Lakemba	0	M	11632
Lakemba	1	F	34733
Lakemba	1	M	34966
Lane Cove	0	F	7689
Lane Cove	0	M	7075
