SED_NAME16	Age	HoursHousekeeping	Sex	adults
Albury	15-19		F	248
Albury	15-19		M	266
Albury	15-19	0	F	697
Albury	15-19	0	M	923
Albury	15-19	<5	F	1100
Albury	15-19	<5	M	1044
Albury	15-19	5-14	F	303
Albury	15-19	5-14	M	193
Albury	15-19	15-29	F	46
Albury	15-19	15-29	M	23
Albury	15-19	30+	F	20
Albury	15-19	30+	M	12
Albury	20-24		F	213
Albury	20-24		M	245
Albury	20-24	0	F	410
Albury	20-24	0	M	726
Albury	20-24	<5	F	708
Albury	20-24	<5	M	864
Albury	20-24	5-14	F	692
Albury	20-24	5-14	M	386
Albury	20-24	15-29	F	183
Albury	20-24	15-29	M	61
Albury	20-24	30+	F	130
Albury	20-24	30+	M	32
Albury	25-34		F	344
Albury	25-34		M	437
Albury	25-34	0	F	408
Albury	25-34	0	M	874
Albury	25-34	<5	F	730
Albury	25-34	<5	M	1437
Albury	25-34	5-14	F	1371
Albury	25-34	5-14	M	1271
Albury	25-34	15-29	F	761
Albury	25-34	15-29	M	253
Albury	25-34	30+	F	894
Albury	25-34	30+	M	121
Albury	35-44		F	347
Albury	35-44		M	428
Albury	35-44	0	F	396
Albury	35-44	0	M	698
Albury	35-44	<5	F	390
Albury	35-44	<5	M	1272
Albury	35-44	5-14	F	1422
Albury	35-44	5-14	M	1436
Albury	35-44	15-29	F	1079
Albury	35-44	15-29	M	368
Albury	35-44	30+	F	1026
Albury	35-44	30+	M	170
Albury	45-54		F	377
Albury	45-54		M	477
Albury	45-54	0	F	513
Albury	45-54	0	M	930
Albury	45-54	<5	F	555
Albury	45-54	<5	M	1377
Albury	45-54	5-14	F	1772
Albury	45-54	5-14	M	1620
Albury	45-54	15-29	F	1190
Albury	45-54	15-29	M	405
Albury	45-54	30+	F	752
Albury	45-54	30+	M	168
Albury	55-64		F	453
Albury	55-64		M	478
Albury	55-64	0	F	750
Albury	55-64	0	M	1155
Albury	55-64	<5	F	514
Albury	55-64	<5	M	1329
Albury	55-64	5-14	F	1705
Albury	55-64	5-14	M	1519
Albury	55-64	15-29	F	1179
Albury	55-64	15-29	M	474
Albury	55-64	30+	F	854
Albury	55-64	30+	M	226
Albury	65-74		F	493
Albury	65-74		M	519
Albury	65-74	0	F	942
Albury	65-74	0	M	1219
Albury	65-74	<5	F	304
Albury	65-74	<5	M	701
Albury	65-74	5-14	F	854
Albury	65-74	5-14	M	1049
Albury	65-74	15-29	F	863
Albury	65-74	15-29	M	476
Albury	65-74	30+	F	887
Albury	65-74	30+	M	320
Albury	75-84		F	525
Albury	75-84		M	404
Albury	75-84	0	F	863
Albury	75-84	0	M	748
Albury	75-84	<5	F	179
Albury	75-84	<5	M	268
Albury	75-84	5-14	F	378
Albury	75-84	5-14	M	385
Albury	75-84	15-29	F	347
Albury	75-84	15-29	M	223
Albury	75-84	30+	F	353
Albury	75-84	30+	M	206
Albury	85+		F	286
Albury	85+		M	211
Albury	85+	0	F	605
Albury	85+	0	M	340
Albury	85+	<5	F	99
Albury	85+	<5	M	91
Albury	85+	5-14	F	142
Albury	85+	5-14	M	107
Albury	85+	15-29	F	75
Albury	85+	15-29	M	45
Albury	85+	30+	F	83
Albury	85+	30+	M	38
Auburn	15-19		F	241
Auburn	15-19		M	290
Auburn	15-19	0	F	1263
Auburn	15-19	0	M	1593
Auburn	15-19	<5	F	860
Auburn	15-19	<5	M	858
Auburn	15-19	5-14	F	352
Auburn	15-19	5-14	M	216
Auburn	15-19	15-29	F	58
Auburn	15-19	15-29	M	29
Auburn	15-19	30+	F	26
Auburn	15-19	30+	M	11
Auburn	20-24		F	408
Auburn	20-24		M	640
Auburn	20-24	0	F	1474
Auburn	20-24	0	M	2580
Auburn	20-24	<5	F	1052
Auburn	20-24	<5	M	1309
Auburn	20-24	5-14	F	737
