SED_NAME16	HomeCensusNight	Sex	persons
Albury	0	F	2523
Albury	0	M	2653
Albury	1	F	37582
Albury	1	M	35884
Auburn	0	F	1231
Auburn	0	M	1529
Auburn	1	F	47695
Auburn	1	M	53231
Ballina	0	F	2083
Ballina	0	M	2145
Ballina	1	F	35901
Ballina	1	M	33149
Balmain	0	F	1945
Balmain	0	M	1900
Balmain	1	F	41256
Balmain	1	M	37675
Bankstown	0	F	1192
Bankstown	0	M	1210
Bankstown	1	F	41848
Bankstown	1	M	41284
Barwon	0	F	2678
Barwon	0	M	2992
Barwon	1	F	35936
Barwon	1	M	35735
Bathurst	0	F	2022
Bathurst	0	M	2347
Bathurst	1	F	36705
Bathurst	1	M	37003
Baulkham Hills	0	F	999
Baulkham Hills	0	M	1092
Baulkham Hills	1	F	39212
Baulkham Hills	1	M	37854
Bega	0	F	2587
Bega	0	M	2825
Bega	1	F	33157
Bega	1	M	31482
Blacktown	0	F	1105
Blacktown	0	M	1314
Blacktown	1	F	42675
Blacktown	1	M	42613
Blue Mountains	0	F	1720
Blue Mountains	0	M	1745
Blue Mountains	1	F	35263
Blue Mountains	1	M	32600
Cabramatta	0	F	1162
Cabramatta	0	M	1295
Cabramatta	1	F	40482
Cabramatta	1	M	38844
Camden	0	F	1270
Camden	0	M	1493
Camden	1	F	43638
Camden	1	M	41799
Campbelltown	0	F	1373
Campbelltown	0	M	1452
Campbelltown	1	F	38958
Campbelltown	1	M	37060
Canterbury	0	F	1204
Canterbury	0	M	1259
Canterbury	1	F	43262
Canterbury	1	M	42281
Castle Hill	0	F	1086
Castle Hill	0	M	1222
Castle Hill	1	F	39387
Castle Hill	1	M	38126
Cessnock	0	F	1771
Cessnock	0	M	1970
Cessnock	1	F	36910
Cessnock	1	M	35987
Charlestown	0	F	1660
Charlestown	0	M	2021
Charlestown	1	F	35400
Charlestown	1	M	32962
Clarence	0	F	1951
Clarence	0	M	2165
Clarence	1	F	35087
Clarence	1	M	34314
Coffs Harbour	0	F	1964
Coffs Harbour	0	M	2241
Coffs Harbour	1	F	35666
Coffs Harbour	1	M	33076
Coogee	0	F	1752
Coogee	0	M	1724
Coogee	1	F	41678
Coogee	1	M	38017
Cootamundra	0	F	2112
Cootamundra	0	M	2333
Cootamundra	1	F	33724
Cootamundra	1	M	33613
Cronulla	0	F	1502
Cronulla	0	M	1680
Cronulla	1	F	36060
Cronulla	1	M	34494
Davidson	0	F	1240
Davidson	0	M	1353
Davidson	1	F	39074
Davidson	1	M	36631
Drummoyne	0	F	1409
Drummoyne	0	M	1440
Drummoyne	1	F	40447
Drummoyne	1	M	36945
Dubbo	0	F	2162
Dubbo	0	M	2488
Dubbo	1	F	36574
Dubbo	1	M	35336
East Hills	0	F	1058
East Hills	0	M	1182
East Hills	1	F	38401
East Hills	1	M	36702
Epping	0	F	979
Epping	0	M	1135
Epping	1	F	40191
Epping	1	M	37629
Fairfield	0	F	1155
Fairfield	0	M	1259
Fairfield	1	F	42914
Fairfield	1	M	41658
Gosford	0	F	1677
Gosford	0	M	1815
Gosford	1	F	36302
Gosford	1	M	34054
Goulburn	0	F	1968
Goulburn	0	M	2254
Goulburn	1	F	36055
Goulburn	1	M	35496
Granville	0	F	1191
Granville	0	M	1316
Granville	1	F	43494
Granville	1	M	45046
Hawkesbury	0	F	1309
Hawkesbury	0	M	1469
Hawkesbury	1	F	35968
Hawkesbury	1	M	35181
Heathcote	0	F	1262
Heathcote	0	M	1452
Heathcote	1	F	37519
Heathcote	1	M	35908
Heffron	0	F	1747
Heffron	0	M	1908
Heffron	1	F	49708
Heffron	1	M	50865
Holsworthy	0	F	1064
Holsworthy	0	M	1284
Holsworthy	1	F	41618
Holsworthy	1	M	40439
Hornsby	0	F	1286
Hornsby	0	M	1479
Hornsby	1	F	38772
Hornsby	1	M	37484
Keira	0	F	1674
Keira	0	M	1910
Keira	1	F	38385
Keira	1	M	36416
Kiama	0	F	1857
Kiama	0	M	2274
Kiama	1	F	34129
Kiama	1	M	33026
Kogarah	0	F	1097
Kogarah	0	M	1195
Kogarah	1	F	45475
Kogarah	1	M	44186
Ku-ring-gai	0	F	1365
Ku-ring-gai	0	M	1398
Ku-ring-gai	1	F	40490
Ku-ring-gai	1	M	36972
Lake Macquarie	0	F	1896
Lake Macquarie	0	M	2117
Lake Macquarie	1	F	34409
Lake Macquarie	1	M	32648
Lakemba	0	F	1063
Lakemba	0	M	1193
Lakemba	1	F	43964
Lakemba	1	M	45400
Lane Cove	0	F	1384
Lane Cove	0	M	1515
Lane Cove	1	F	40446
Lane Cove	1	M	38564
Lismore	0	F	1903
Lismore	0	M	2005
Lismore	1	F	35847
Lismore	1	M	34196
Liverpool	0	F	1095
Liverpool	0	M	1172
Liverpool	1	F	44918
Liverpool	1	M	43951
Londonderry	0	F	1475
Londonderry	0	M	1677
Londonderry	1	F	44663
Londonderry	1	M	44008
Macquarie Fields	0	F	1116
Macquarie Fields	0	M	1234
Macquarie Fields	1	F	42555
Macquarie Fields	1	M	41457
Maitland	0	F	1653
Maitland	0	M	1943
Maitland	1	F	37857
Maitland	1	M	35718
Manly	0	F	1675
Manly	0	M	1796
Manly	1	F	39310
Manly	1	M	37541
Maroubra	0	F	1261
Maroubra	0	M	1453
Maroubra	1	F	39666
Maroubra	1	M	39336
Miranda	0	F	1243
Miranda	0	M	1375
Miranda	1	F	36904
Miranda	1	M	34647
Monaro	0	F	1955
Monaro	0	M	2305
Monaro	1	F	35582
Monaro	1	M	36171
Mount Druitt	0	F	1072
Mount Druitt	0	M	1198
Mount Druitt	1	F	44026
Mount Druitt	1	M	42411
Mulgoa	0	F	1036
Mulgoa	0	M	1172
Mulgoa	1	F	40020
Mulgoa	1	M	39182
Murray	0	F	2521
Murray	0	M	2813
Murray	1	F	38850
Murray	1	M	38723
Myall Lakes	0	F	2047
Myall Lakes	0	M	2300
Myall Lakes	1	F	34518
Myall Lakes	1	M	32199
Newcastle	0	F	1916
Newcastle	0	M	2444
Newcastle	1	F	34125
Newcastle	1	M	33180
Newtown	0	F	1884
Newtown	0	M	1841
Newtown	1	F	39601
Newtown	1	M	40705
North Shore	0	F	1878
North Shore	0	M	1887
North Shore	1	F	39051
North Shore	1	M	34458
Northern Tablelands	0	F	2734
Northern Tablelands	0	M	2801
Northern Tablelands	1	F	37601
Northern Tablelands	1	M	36098
Oatley	0	F	1114
Oatley	0	M	1121
Oatley	1	F	38206
Oatley	1	M	35878
Orange	0	F	2145
Orange	0	M	2432
Orange	1	F	37466
Orange	1	M	35857
Oxley	0	F	1949
Oxley	0	M	2122
Oxley	1	F	35033
Oxley	1	M	33734
Parramatta	0	F	1363
Parramatta	0	M	1547
Parramatta	1	F	49509
Parramatta	1	M	50058
Penrith	0	F	1318
Penrith	0	M	1521
Penrith	1	F	39054
Penrith	1	M	36892
Pittwater	0	F	1741
Pittwater	0	M	1923
Pittwater	1	F	35284
Pittwater	1	M	33137
Port Macquarie	0	F	2194
Port Macquarie	0	M	2251
Port Macquarie	1	F	35750
Port Macquarie	1	M	32935
Port Stephens	0	F	2039
Port Stephens	0	M	2411
Port Stephens	1	F	34053
Port Stephens	1	M	32874
Prospect	0	F	1043
Prospect	0	M	1167
Prospect	1	F	40072
Prospect	1	M	39437
Riverstone	0	F	897
Riverstone	0	M	1054
Riverstone	1	F	43923
Riverstone	1	M	43984
Rockdale	0	F	1313
Rockdale	0	M	1328
Rockdale	1	F	42263
Rockdale	1	M	41295
Ryde	0	F	1324
Ryde	0	M	1419
Ryde	1	F	46302
Ryde	1	M	43914
Seven Hills	0	F	1105
Seven Hills	0	M	1115
Seven Hills	1	F	41600
Seven Hills	1	M	40626
Shellharbour	0	F	1619
Shellharbour	0	M	1839
Shellharbour	1	F	39917
Shellharbour	1	M	37846
South Coast	0	F	2296
South Coast	0	M	2600
South Coast	1	F	33147
South Coast	1	M	31481
Strathfield	0	F	1416
Strathfield	0	M	1575
Strathfield	1	F	46099
Strathfield	1	M	44876
Summer Hill	0	F	1507
Summer Hill	0	M	1431
Summer Hill	1	F	39839
Summer Hill	1	M	38266
Swansea	0	F	1702
Swansea	0	M	1984
Swansea	1	F	34561
Swansea	1	M	33042
Sydney	0	F	2131
Sydney	0	M	2636
Sydney	1	F	44476
Sydney	1	M	49297
Tamworth	0	F	2090
Tamworth	0	M	2411
Tamworth	1	F	37160
Tamworth	1	M	35368
Terrigal	0	F	1783
Terrigal	0	M	1926
Terrigal	1	F	36050
Terrigal	1	M	33383
The Entrance	0	F	1637
The Entrance	0	M	1702
The Entrance	1	F	36239
The Entrance	1	M	33450
Tweed	0	F	1830
Tweed	0	M	2081
Tweed	1	F	37643
Tweed	1	M	34599
Upper Hunter	0	F	1860
Upper Hunter	0	M	2121
Upper Hunter	1	F	35599
Upper Hunter	1	M	35944
Vaucluse	0	F	1774
Vaucluse	0	M	1815
Vaucluse	1	F	39997
Vaucluse	1	M	36205
Wagga Wagga	0	F	2125
Wagga Wagga	0	M	2457
Wagga Wagga	1	F	36848
Wagga Wagga	1	M	35102
Wakehurst	0	F	1323
Wakehurst	0	M	1444
Wakehurst	1	F	39153
Wakehurst	1	M	37187
Wallsend	0	F	1701
Wallsend	0	M	2015
Wallsend	1	F	39522
Wallsend	1	M	37548
Willoughby	0	F	1550
Willoughby	0	M	1576
Willoughby	1	F	42935
Willoughby	1	M	38743
Wollondilly	0	F	1566
Wollondilly	0	M	1694
