SED_NAME16	MaxSchoolingCompleted	Sex	persons
Albury	Did not go to school	F	180
Albury	Did not go to school	M	165
Albury	Year 8	F	1678
Albury	Year 8	M	1919
Albury	Year 9	F	2587
Albury	Year 9	M	2858
Albury	Year 10	F	8099
Albury	Year 10	M	8713
Albury	Year 11	F	3529
Albury	Year 11	M	3466
Albury	Year 12	F	13404
Albury	Year 12	M	10705
Auburn	Did not go to school	F	1770
Auburn	Did not go to school	M	1909
Auburn	Year 8	F	2552
Auburn	Year 8	M	2726
Auburn	Year 9	F	1511
Auburn	Year 9	M	1706
Auburn	Year 10	F	4467
Auburn	Year 10	M	5028
Auburn	Year 11	F	1528
Auburn	Year 11	M	1980
Auburn	Year 12	F	24231
Auburn	Year 12	M	26652
Ballina	Did not go to school	F	64
Ballina	Did not go to school	M	78
Ballina	Year 8	F	1187
Ballina	Year 8	M	1149
Ballina	Year 9	F	2112
Ballina	Year 9	M	1926
Ballina	Year 10	F	7992
Ballina	Year 10	M	7332
Ballina	Year 11	F	2130
Ballina	Year 11	M	2140
Ballina	Year 12	F	14880
Ballina	Year 12	M	12924
Balmain	Did not go to school	F	229
Balmain	Did not go to school	M	162
Balmain	Year 8	F	852
Balmain	Year 8	M	680
Balmain	Year 9	F	901
Balmain	Year 9	M	777
Balmain	Year 10	F	3120
Balmain	Year 10	M	2892
Balmain	Year 11	F	1173
Balmain	Year 11	M	1217
Balmain	Year 12	F	27271
Balmain	Year 12	M	24079
Bankstown	Did not go to school	F	1411
Bankstown	Did not go to school	M	915
Bankstown	Year 8	F	2792
Bankstown	Year 8	M	2217
Bankstown	Year 9	F	1961
Bankstown	Year 9	M	1765
Bankstown	Year 10	F	5543
Bankstown	Year 10	M	5689
Bankstown	Year 11	F	1643
Bankstown	Year 11	M	1822
Bankstown	Year 12	F	17700
Bankstown	Year 12	M	17326
Barwon	Did not go to school	F	92
Barwon	Did not go to school	M	183
Barwon	Year 8	F	2103
Barwon	Year 8	M	2946
Barwon	Year 9	F	3113
Barwon	Year 9	M	3437
Barwon	Year 10	F	9121
Barwon	Year 10	M	9771
Barwon	Year 11	F	2283
Barwon	Year 11	M	2262
Barwon	Year 12	F	9914
Barwon	Year 12	M	7884
Bathurst	Did not go to school	F	88
Bathurst	Did not go to school	M	93
Bathurst	Year 8	F	1548
Bathurst	Year 8	M	1862
Bathurst	Year 9	F	2649
Bathurst	Year 9	M	2671
Bathurst	Year 10	F	9149
Bathurst	Year 10	M	9993
Bathurst	Year 11	F	2050
Bathurst	Year 11	M	2193
Bathurst	Year 12	F	12769
Bathurst	Year 12	M	10282
Baulkham Hills	Did not go to school	F	207
Baulkham Hills	Did not go to school	M	157
Baulkham Hills	Year 8	F	802
Baulkham Hills	Year 8	M	623
Baulkham Hills	Year 9	F	1354
Baulkham Hills	Year 9	M	1187
Baulkham Hills	Year 10	F	5282
Baulkham Hills	Year 10	M	4594
Baulkham Hills	Year 11	F	1466
Baulkham Hills	Year 11	M	1657
Baulkham Hills	Year 12	F	22042
Baulkham Hills	Year 12	M	21368
Bega	Did not go to school	F	58
Bega	Did not go to school	M	72
Bega	Year 8	F	1554
Bega	Year 8	M	1770
Bega	Year 9	F	2585
Bega	Year 9	M	2638
Bega	Year 10	F	8726
Bega	Year 10	M	8687
Bega	Year 11	F	2555
Bega	Year 11	M	2376
Bega	Year 12	F	11778
Bega	Year 12	M	10206
Blacktown	Did not go to school	F	582
Blacktown	Did not go to school	M	404
Blacktown	Year 8	F	2023
Blacktown	Year 8	M	1690
Blacktown	Year 9	F	2090
Blacktown	Year 9	M	1986
Blacktown	Year 10	F	6586
Blacktown	Year 10	M	6961
Blacktown	Year 11	F	1788
Blacktown	Year 11	M	2003
Blacktown	Year 12	F	19573
Blacktown	Year 12	M	19306
Blue Mountains	Did not go to school	F	57
Blue Mountains	Did not go to school	M	69
Blue Mountains	Year 8	F	765
Blue Mountains	Year 8	M	730
Blue Mountains	Year 9	F	1765
Blue Mountains	Year 9	M	1623
Blue Mountains	Year 10	F	7287
Blue Mountains	Year 10	M	6944
Blue Mountains	Year 11	F	1847
Blue Mountains	Year 11	M	1831
Blue Mountains	Year 12	F	16963
Blue Mountains	Year 12	M	14688
Cabramatta	Did not go to school	F	2982
Cabramatta	Did not go to school	M	1846
Cabramatta	Year 8	F	3802
Cabramatta	Year 8	M	2850
Cabramatta	Year 9	F	2043
Cabramatta	Year 9	M	1929
Cabramatta	Year 10	F	5051
Cabramatta	Year 10	M	5432
Cabramatta	Year 11	F	1717
Cabramatta	Year 11	M	1927
Cabramatta	Year 12	F	16482
Cabramatta	Year 12	M	16231
Camden	Did not go to school	F	257
Camden	Did not go to school	M	181
Camden	Year 8	F	1399
Camden	Year 8	M	1344
Camden	Year 9	F	2436
Camden	Year 9	M	2381
Camden	Year 10	F	9312
Camden	Year 10	M	10038
Camden	Year 11	F	2144
Camden	Year 11	M	2406
Camden	Year 12	F	16761
Camden	Year 12	M	14248
Campbelltown	Did not go to school	F	347
Campbelltown	Did not go to school	M	219
Campbelltown	Year 8	F	1508
Campbelltown	Year 8	M	1388
Campbelltown	Year 9	F	2634
Campbelltown	Year 9	M	2467
Campbelltown	Year 10	F	8612
Campbelltown	Year 10	M	8344
Campbelltown	Year 11	F	2199
Campbelltown	Year 11	M	2195
Campbelltown	Year 12	F	14167
Campbelltown	Year 12	M	12806
Canterbury	Did not go to school	F	1250
Canterbury	Did not go to school	M	852
Canterbury	Year 8	F	3114
Canterbury	Year 8	M	2496
Canterbury	Year 9	F	1517
Canterbury	Year 9	M	1471
Canterbury	Year 10	F	4956
Canterbury	Year 10	M	4958
Canterbury	Year 11	F	1416
Canterbury	Year 11	M	1675
Canterbury	Year 12	F	22162
Canterbury	Year 12	M	21536
Castle Hill	Did not go to school	F	187
Castle Hill	Did not go to school	M	149
Castle Hill	Year 8	F	754
Castle Hill	Year 8	M	645
Castle Hill	Year 9	F	1417
Castle Hill	Year 9	M	1374
Castle Hill	Year 10	F	5916
Castle Hill	Year 10	M	5238
Castle Hill	Year 11	F	1613
Castle Hill	Year 11	M	1718
Castle Hill	Year 12	F	20730
Castle Hill	Year 12	M	19950
Cessnock	Did not go to school	F	66
Cessnock	Did not go to school	M	89
Cessnock	Year 8	F	1812
Cessnock	Year 8	M	1763
Cessnock	Year 9	F	3628
Cessnock	Year 9	M	3304
Cessnock	Year 10	F	10381
Cessnock	Year 10	M	10877
Cessnock	Year 11	F	2196
Cessnock	Year 11	M	2388
Cessnock	Year 12	F	9810
Cessnock	Year 12	M	7908
Charlestown	Did not go to school	F	95
Charlestown	Did not go to school	M	89
Charlestown	Year 8	F	1281
Charlestown	Year 8	M	1228
Charlestown	Year 9	F	2869
Charlestown	Year 9	M	2368
Charlestown	Year 10	F	8651
Charlestown	Year 10	M	7970
Charlestown	Year 11	F	1757
Charlestown	Year 11	M	1975
Charlestown	Year 12	F	13794
Charlestown	Year 12	M	12443
Clarence	Did not go to school	F	78
Clarence	Did not go to school	M	111
Clarence	Year 8	F	2046
Clarence	Year 8	M	2379
Clarence	Year 9	F	3153
Clarence	Year 9	M	3408
Clarence	Year 10	F	10641
Clarence	Year 10	M	10317
Clarence	Year 11	F	2223
Clarence	Year 11	M	2049
Clarence	Year 12	F	9533
Clarence	Year 12	M	8149
Coffs Harbour	Did not go to school	F	188
Coffs Harbour	Did not go to school	M	159
Coffs Harbour	Year 8	F	1463
Coffs Harbour	Year 8	M	1610
Coffs Harbour	Year 9	F	2604
Coffs Harbour	Year 9	M	2572
Coffs Harbour	Year 10	F	9121
Coffs Harbour	Year 10	M	8464
Coffs Harbour	Year 11	F	2259
Coffs Harbour	Year 11	M	2234
Coffs Harbour	Year 12	F	12364
Coffs Harbour	Year 12	M	10723
Coogee	Did not go to school	F	132
Coogee	Did not go to school	M	106
Coogee	Year 8	F	689
Coogee	Year 8	M	534
Coogee	Year 9	F	785
Coogee	Year 9	M	715
Coogee	Year 10	F	3179
Coogee	Year 10	M	2802
Coogee	Year 11	F	1205
Coogee	Year 11	M	1328
Coogee	Year 12	F	26842
Coogee	Year 12	M	23829
Cootamundra	Did not go to school	F	96
Cootamundra	Did not go to school	M	119
Cootamundra	Year 8	F	1848
Cootamundra	Year 8	M	2366
Cootamundra	Year 9	F	2931
Cootamundra	Year 9	M	3175
Cootamundra	Year 10	F	9191
Cootamundra	Year 10	M	9902
Cootamundra	Year 11	F	2111
Cootamundra	Year 11	M	1928
Cootamundra	Year 12	F	9623
Cootamundra	Year 12	M	7353
Cronulla	Did not go to school	F	75
Cronulla	Did not go to school	M	84
Cronulla	Year 8	F	734
Cronulla	Year 8	M	655
Cronulla	Year 9	F	1775
Cronulla	Year 9	M	1408
Cronulla	Year 10	F	7385
Cronulla	Year 10	M	7024
Cronulla	Year 11	F	1581
Cronulla	Year 11	M	1833
Cronulla	Year 12	F	17567
Cronulla	Year 12	M	16345
Davidson	Did not go to school	F	141
Davidson	Did not go to school	M	100
Davidson	Year 8	F	607
Davidson	Year 8	M	514
Davidson	Year 9	F	1157
Davidson	Year 9	M	1005
Davidson	Year 10	F	3970
Davidson	Year 10	M	2903
Davidson	Year 11	F	1592
Davidson	Year 11	M	1418
Davidson	Year 12	F	23412
Davidson	Year 12	M	22162
Drummoyne	Did not go to school	F	423
Drummoyne	Did not go to school	M	296
Drummoyne	Year 8	F	1642
Drummoyne	Year 8	M	1232
Drummoyne	Year 9	F	1297
Drummoyne	Year 9	M	1050
Drummoyne	Year 10	F	4717
Drummoyne	Year 10	M	3899
Drummoyne	Year 11	F	1230
Drummoyne	Year 11	M	1314
Drummoyne	Year 12	F	23570
Drummoyne	Year 12	M	21692
Dubbo	Did not go to school	F	93
Dubbo	Did not go to school	M	104
Dubbo	Year 8	F	1522
Dubbo	Year 8	M	1849
Dubbo	Year 9	F	2583
