SED_NAME16	Sex	persons
Albury	F	40106
Albury	M	38534
Auburn	F	48925
Auburn	M	54766
Ballina	F	37981
Ballina	M	35293
Balmain	F	43196
Balmain	M	39576
Bankstown	F	43031
Bankstown	M	42490
Barwon	F	38618
Barwon	M	38729
Bathurst	F	38731
Bathurst	M	39351
Baulkham Hills	F	40211
Baulkham Hills	M	38942
Bega	F	35749
Bega	M	34307
Blacktown	F	43779
Blacktown	M	43928
Blue Mountains	F	36980
Blue Mountains	M	34349
Cabramatta	F	41646
Cabramatta	M	40143
Camden	F	44913
Camden	M	43292
Campbelltown	F	40331
Campbelltown	M	38514
Canterbury	F	44467
Canterbury	M	43543
Castle Hill	F	40477
Castle Hill	M	39351
Cessnock	F	38684
Cessnock	M	37958
Charlestown	F	37059
Charlestown	M	34980
Clarence	F	37036
Clarence	M	36474
Coffs Harbour	F	37629
Coffs Harbour	M	35319
Coogee	F	43426
Coogee	M	39738
Cootamundra	F	35837
Cootamundra	M	35946
Cronulla	F	37556
Cronulla	M	36170
Davidson	F	40315
Davidson	M	37985
Drummoyne	F	41854
Drummoyne	M	38388
Dubbo	F	38738
Dubbo	M	37828
East Hills	F	39467
East Hills	M	37879
Epping	F	41172
Epping	M	38763
Fairfield	F	44074
Fairfield	M	42914
Gosford	F	37976
Gosford	M	35870
Goulburn	F	38022
Goulburn	M	37743
Granville	F	44687
Granville	M	46368
Hawkesbury	F	37280
Hawkesbury	M	36652
Heathcote	F	38782
Heathcote	M	37364
Heffron	F	51453
Heffron	M	52770
Holsworthy	F	42689
Holsworthy	M	41720
Hornsby	F	40058
Hornsby	M	38967
Keira	F	40053
Keira	M	38329
Kiama	F	35986
Kiama	M	35300
Kogarah	F	46569
Kogarah	M	45381
Ku-ring-gai	F	41853
Ku-ring-gai	M	38367
Lake Macquarie	F	36301
Lake Macquarie	M	34768
Lakemba	F	45029
Lakemba	M	46598
Lane Cove	F	41826
Lane Cove	M	40077
Lismore	F	37749
Lismore	M	36195
Liverpool	F	46011
Liverpool	M	45124
Londonderry	F	46133
Londonderry	M	45686
Macquarie Fields	F	43675
Macquarie Fields	M	42693
Maitland	F	39503
Maitland	M	37664
Manly	F	40987
Manly	M	39339
Maroubra	F	40923
Maroubra	M	40791
Miranda	F	38144
Miranda	M	36020
Monaro	F	37535
Monaro	M	38479
Mount Druitt	F	45100
Mount Druitt	M	43614
Mulgoa	F	41059
Mulgoa	M	40350
Murray	F	41368
Murray	M	41536
Myall Lakes	F	36568
Myall Lakes	M	34493
Newcastle	F	36043
Newcastle	M	35625
Newtown	F	41486
Newtown	M	42544
North Shore	F	40932
North Shore	M	36341
Northern Tablelands	F	40338
Northern Tablelands	M	38897
Oatley	F	39316
Oatley	M	37000
Orange	F	39611
Orange	M	38287
Oxley	F	36986
Oxley	M	35862
Parramatta	F	50867
Parramatta	M	51599
Penrith	F	40371
Penrith	M	38415
Pittwater	F	37026
Pittwater	M	35062
Port Macquarie	F	37941
Port Macquarie	M	35181
Port Stephens	F	36092
Port Stephens	M	35289
Prospect	F	41119
Prospect	M	40604
Riverstone	F	44820
Riverstone	M	45041
Rockdale	F	43578
Rockdale	M	42621
Ryde	F	47630
Ryde	M	45328
Seven Hills	F	42709
Seven Hills	M	41737
Shellharbour	F	41538
Shellharbour	M	39683
South Coast	F	35448
South Coast	M	34086
Strathfield	F	47513
Strathfield	M	46455
Summer Hill	F	41346
Summer Hill	M	39703
Swansea	F	36265
Swansea	M	35027
Sydney	F	46602
Sydney	M	51935
Tamworth	F	39252
Tamworth	M	37778
Terrigal	F	37835
Terrigal	M	35306
The Entrance	F	37880
The Entrance	M	35158
Tweed	F	39475
Tweed	M	36679
Upper Hunter	F	37465
Upper Hunter	M	38066
Vaucluse	F	41772
Vaucluse	M	38023
Wagga Wagga	F	38972
Wagga Wagga	M	37562
Wakehurst	F	40478
Wakehurst	M	38630
Wallsend	F	41225
Wallsend	M	39568
Willoughby	F	44492
Willoughby	M	40319
Wollondilly	F	38066
Wollondilly	M	36510
Wollongong	F	41511
Wollongong	M	41460
Wyong	F	39742
Wyong	M	37404
No usual address (NSW)	F	4939
No usual address (NSW)	M	7351
Migratory - Offshore - Shipping (NSW)	F	239
Migratory - Offshore - Shipping (NSW)	M	171
Albert Park (Southern Metropolitan)	F	38414
Albert Park (Southern Metropolitan)	M	37542
Altona (Western Metropolitan)	F	46137
Altona (Western Metropolitan)	M	45554
Bass (Eastern Victoria)	F	37386
Bass (Eastern Victoria)	M	35313
Bayswater (Eastern Metropolitan)	F	31860
Bayswater (Eastern Metropolitan)	M	30328
Bellarine (Western Victoria)	F	30653
Bellarine (Western Victoria)	M	28565
Benambra (Northern Victoria)	F	32532
Benambra (Northern Victoria)	M	31681
Bendigo East (Northern Victoria)	F	33147
Bendigo East (Northern Victoria)	M	31097
Bendigo West (Northern Victoria)	F	30686
Bendigo West (Northern Victoria)	M	29430
Bentleigh (Southern Metropolitan)	F	31447
Bentleigh (Southern Metropolitan)	M	29585
Box Hill (Eastern Metropolitan)	F	36028
Box Hill (Eastern Metropolitan)	M	33317
Brighton (Southern Metropolitan)	F	32899
Brighton (Southern Metropolitan)	M	29598
Broadmeadows (Northern Metropolitan)	F	35861
Broadmeadows (Northern Metropolitan)	M	36488
Brunswick (Northern Metropolitan)	F	36906
Brunswick (Northern Metropolitan)	M	34147
Bulleen (Eastern Metropolitan)	F	31976
Bulleen (Eastern Metropolitan)	M	29688
Bundoora (Northern Metropolitan)	F	31444
Bundoora (Northern Metropolitan)	M	30320
Buninyong (Western Victoria)	F	30145
Buninyong (Western Victoria)	M	29077
Burwood (Southern Metropolitan)	F	34747
Burwood (Southern Metropolitan)	M	31937
Carrum (South-Eastern Metropolitan)	F	34627
Carrum (South-Eastern Metropolitan)	M	33084
Caulfield (Southern Metropolitan)	F	33840
Caulfield (Southern Metropolitan)	M	31716
Clarinda (South-Eastern Metropolitan)	F	36946
Clarinda (South-Eastern Metropolitan)	M	37020
Cranbourne (South-Eastern Metropolitan)	F	48955
Cranbourne (South-Eastern Metropolitan)	M	48085
Croydon (Eastern Metropolitan)	F	30871
Croydon (Eastern Metropolitan)	M	28184
Dandenong (South-Eastern Metropolitan)	F	35833
Dandenong (South-Eastern Metropolitan)	M	39077
Eildon (Northern Victoria)	F	29115
Eildon (Northern Victoria)	M	29004
Eltham (Eastern Metropolitan)	F	30348
Eltham (Eastern Metropolitan)	M	28698
Essendon (Western Metropolitan)	F	34640
Essendon (Western Metropolitan)	M	32366
Euroa (Northern Victoria)	F	31997
Euroa (Northern Victoria)	M	32200
Evelyn (Eastern Victoria)	F	29105
Evelyn (Eastern Victoria)	M	28158
Ferntree Gully (Eastern Metropolitan)	F	29563
Ferntree Gully (Eastern Metropolitan)	M	27887
Footscray (Western Metropolitan)	F	40082
Footscray (Western Metropolitan)	M	41338
Forest Hill (Eastern Metropolitan)	F	30810
Forest Hill (Eastern Metropolitan)	M	28795
Frankston (South-Eastern Metropolitan)	F	31563
Frankston (South-Eastern Metropolitan)	M	29615
Geelong (Western Victoria)	F	32889
Geelong (Western Victoria)	M	29995
Gembrook (Eastern Victoria)	F	34736
Gembrook (Eastern Victoria)	M	33606
Gippsland East (Eastern Victoria)	F	30099
Gippsland East (Eastern Victoria)	M	29116
Gippsland South (Eastern Victoria)	F	28478
Gippsland South (Eastern Victoria)	M	28463
Hastings (Eastern Victoria)	F	34573
Hastings (Eastern Victoria)	M	33711
Hawthorn (Southern Metropolitan)	F	33996
Hawthorn (Southern Metropolitan)	M	31335
Ivanhoe (Eastern Metropolitan)	F	33061
Ivanhoe (Eastern Metropolitan)	M	31088
Kew (Southern Metropolitan)	F	32794
Kew (Southern Metropolitan)	M	30353
Keysborough (South-Eastern Metropolitan)	F	35300
Keysborough (South-Eastern Metropolitan)	M	34794
Kororoit (Western Metropolitan)	F	41965
Kororoit (Western Metropolitan)	M	41772
Lara (Western Victoria)	F	33090
Lara (Western Victoria)	M	32271
Lowan (Western Victoria)	F	28622
Lowan (Western Victoria)	M	27886
Macedon (Northern Victoria)	F	29367
Macedon (Northern Victoria)	M	28304
Malvern (Southern Metropolitan)	F	30966
Malvern (Southern Metropolitan)	M	27834
Melbourne (Northern Metropolitan)	F	59374
Melbourne (Northern Metropolitan)	M	55777
Melton (Western Victoria)	F	40129
Melton (Western Victoria)	M	38496
Mildura (Northern Victoria)	F	31987
Mildura (Northern Victoria)	M	31313
Mill Park (Northern Metropolitan)	F	34782
Mill Park (Northern Metropolitan)	M	33800
Monbulk (Eastern Victoria)	F	28652
Monbulk (Eastern Victoria)	M	28413
Mordialloc (South-Eastern Metropolitan)	F	32592
Mordialloc (South-Eastern Metropolitan)	M	30369
Mornington (Eastern Victoria)	F	32155
Mornington (Eastern Victoria)	M	29378
Morwell (Eastern Victoria)	F	32928
Morwell (Eastern Victoria)	M	31488
Mount Waverley (Eastern Metropolitan)	F	31752
Mount Waverley (Eastern Metropolitan)	M	30352
Mulgrave (South-Eastern Metropolitan)	F	31379
Mulgrave (South-Eastern Metropolitan)	M	30997
Murray Plains (Northern Victoria)	F	31600
