SED_NAME16	OnlyEnglishSpokenHome	Sex	persons
Albury	0	F	2114
Albury	0	M	1921
Albury	1	F	35157
Albury	1	M	33695
Auburn	0	F	35449
Auburn	0	M	38688
Auburn	1	F	10114
Auburn	1	M	11250
Ballina	0	F	1991
Ballina	0	M	1719
Ballina	1	F	32473
Ballina	1	M	30240
Balmain	0	F	10235
Balmain	0	M	8154
Balmain	1	F	29427
Balmain	1	M	27889
Bankstown	0	F	28654
Bankstown	0	M	27408
Bankstown	1	F	11598
Bankstown	1	M	11952
Barwon	0	F	987
Barwon	0	M	963
Barwon	1	F	33430
Barwon	1	M	33417
Bathurst	0	F	1427
Bathurst	0	M	1379
Bathurst	1	F	34171
Bathurst	1	M	33457
Baulkham Hills	0	F	15697
Baulkham Hills	0	M	14488
Baulkham Hills	1	F	23495
Baulkham Hills	1	M	23506
Bega	0	F	1286
Bega	0	M	1096
Bega	1	F	31840
Bega	1	M	30607
Blacktown	0	F	20286
Blacktown	0	M	19970
Blacktown	1	F	21382
Blacktown	1	M	21900
Blue Mountains	0	F	2373
Blue Mountains	0	M	2036
Blue Mountains	1	F	32918
Blue Mountains	1	M	30715
Cabramatta	0	F	31290
Cabramatta	0	M	28740
Cabramatta	1	F	8655
Cabramatta	1	M	9682
Camden	0	F	7163
Camden	0	M	6626
Camden	1	F	35609
Camden	1	M	34539
Campbelltown	0	F	9341
Campbelltown	0	M	8669
Campbelltown	1	F	28488
Campbelltown	1	M	27502
Canterbury	0	F	27688
Canterbury	0	M	26308
Canterbury	1	F	14323
Canterbury	1	M	14826
Castle Hill	0	F	12177
Castle Hill	0	M	11069
Castle Hill	1	F	27109
Castle Hill	1	M	27135
Cessnock	0	F	1127
Cessnock	0	M	1000
Cessnock	1	F	35132
Cessnock	1	M	33752
Charlestown	0	F	2194
Charlestown	0	M	1907
Charlestown	1	F	33368
Charlestown	1	M	31651
Clarence	0	F	830
Clarence	0	M	649
Clarence	1	F	33542
Clarence	1	M	32870
Coffs Harbour	0	F	2898
Coffs Harbour	0	M	2561
Coffs Harbour	1	F	32028
Coffs Harbour	1	M	30227
Coogee	0	F	9340
Coogee	0	M	7852
Coogee	1	F	30258
Coogee	1	M	28118
Cootamundra	0	F	912
Cootamundra	0	M	930
Cootamundra	1	F	32035
Cootamundra	1	M	31278
Cronulla	0	F	3658
Cronulla	0	M	3081
Cronulla	1	F	32155
Cronulla	1	M	31405
Davidson	0	F	10917
Davidson	0	M	9240
Davidson	1	F	27989
Davidson	1	M	27499
Drummoyne	0	F	16726
Drummoyne	0	M	14517
Drummoyne	1	F	22812
Drummoyne	1	M	21749
Dubbo	0	F	1552
Dubbo	0	M	1424
Dubbo	1	F	33936
Dubbo	1	M	32670
East Hills	0	F	16836
East Hills	0	M	15628
East Hills	1	F	20931
East Hills	1	M	20527
Epping	0	F	18568
Epping	0	M	17178
Epping	1	F	21138
Epping	1	M	20345
Fairfield	0	F	32199
Fairfield	0	M	30377
Fairfield	1	F	9821
Fairfield	1	M	10457
Gosford	0	F	3475
Gosford	0	M	2931
Gosford	1	F	32144
Gosford	1	M	30618
Goulburn	0	F	1635
Goulburn	0	M	1564
Goulburn	1	F	33915
Goulburn	1	M	33068
Granville	0	F	28175
Granville	0	M	29268
