SED_NAME16	Age	persons
Albury	0-4	4819
Albury	5-14	9980
Albury	15-19	4869
Albury	20-24	4641
Albury	25-34	8894
Albury	35-44	9036
Albury	45-54	10143
Albury	55-64	10625
Albury	65-74	8629
Albury	75-84	4889
Albury	85+	2118
Auburn	0-4	7611
Auburn	5-14	11574
Auburn	15-19	5795
Auburn	20-24	9244
Auburn	25-34	24041
Auburn	35-44	14581
Auburn	45-54	11872
Auburn	55-64	9737
Auburn	65-74	5278
Auburn	75-84	2777
Auburn	85+	1176
Ballina	0-4	3617
Ballina	5-14	8592
Ballina	15-19	3988
Ballina	20-24	2766
Ballina	25-34	6967
Ballina	35-44	9041
Ballina	45-54	10633
Ballina	55-64	11907
Ballina	65-74	8859
Ballina	75-84	4473
Ballina	85+	2442
Balmain	0-4	5062
Balmain	5-14	7289
Balmain	15-19	3148
Balmain	20-24	7422
Balmain	25-34	16456
Balmain	35-44	14637
Balmain	45-54	11064
Balmain	55-64	8433
Balmain	65-74	5901
Balmain	75-84	2384
Balmain	85+	968
Bankstown	0-4	6792
Bankstown	5-14	12049
Bankstown	15-19	5712
Bankstown	20-24	6293
Bankstown	25-34	13102
Bankstown	35-44	11064
Bankstown	45-54	10441
Bankstown	55-64	9049
Bankstown	65-74	5800
Bankstown	75-84	3440
Bankstown	85+	1788
Barwon	0-4	5098
Barwon	5-14	10060
Barwon	15-19	4135
Barwon	20-24	4056
Barwon	25-34	8921
Barwon	35-44	8332
Barwon	45-54	10354
Barwon	55-64	10931
Barwon	65-74	8578
Barwon	75-84	4944
Barwon	85+	1939
Bathurst	0-4	4627
Bathurst	5-14	10012
Bathurst	15-19	5143
Bathurst	20-24	4995
Bathurst	25-34	8849
Bathurst	35-44	8962
Bathurst	45-54	10367
Bathurst	55-64	10323
Bathurst	65-74	8666
Bathurst	75-84	4381
Bathurst	85+	1758
Baulkham Hills	0-4	5036
Baulkham Hills	5-14	11068
Baulkham Hills	15-19	5263
Baulkham Hills	20-24	4911
Baulkham Hills	25-34	8641
Baulkham Hills	35-44	11748
Baulkham Hills	45-54	11043
Baulkham Hills	55-64	9728
Baulkham Hills	65-74	7472
Baulkham Hills	75-84	3187
Baulkham Hills	85+	1046
Bega	0-4	2934
Bega	5-14	7579
Bega	15-19	3562
Bega	20-24	2452
Bega	25-34	5062
Bega	35-44	6484
Bega	45-54	9247
Bega	55-64	12864
Bega	65-74	11590
Bega	75-84	5904
Bega	85+	2382
Blacktown	0-4	6740
Blacktown	5-14	11290
Blacktown	15-19	5507
Blacktown	20-24	6159
Blacktown	25-34	15246
Blacktown	35-44	12711
Blacktown	45-54	10371
Blacktown	55-64	9324
Blacktown	65-74	5884
