SED_NAME16	Age.min	persons
Albury	0	935
Albury	1	959
Albury	2	909
Albury	3	1053
Albury	4	964
Albury	5	957
Albury	6	995
Albury	7	1044
Albury	8	955
Albury	9	1023
Albury	10	1048
Albury	11	998
Albury	12	953
Albury	13	1012
Albury	14	992
Albury	15	918
Albury	16	950
Albury	17	1039
Albury	18	987
Albury	19	981
Albury	20	908
Albury	21	1003
Albury	22	940
Albury	23	896
Albury	24	902
Albury	25	882
Albury	26	833
Albury	27	882
Albury	28	901
Albury	29	835
Albury	30	891
Albury	31	864
Albury	32	913
Albury	33	961
Albury	34	936
Albury	35	901
Albury	36	799
Albury	37	912
Albury	38	915
Albury	39	851
Albury	40	886
Albury	41	850
Albury	42	953
Albury	43	966
Albury	44	1001
Albury	45	1103
Albury	46	1004
Albury	47	1021
Albury	48	963
Albury	49	932
Albury	50	969
Albury	51	946
Albury	52	1035
Albury	53	1061
Albury	54	1111
Albury	55	1114
Albury	56	1128
Albury	57	1127
Albury	58	1125
Albury	59	1022
Albury	60	1060
Albury	61	964
Albury	62	1034
Albury	63	1025
Albury	64	1018
Albury	65	962
Albury	66	985
Albury	67	931
Albury	68	944
Albury	69	1032
Albury	70	811
Albury	71	771
Albury	72	787
Albury	73	676
Albury	74	720
Albury	75	666
Albury	76	568
Albury	77	611
Albury	78	538
Albury	79	503
Albury	80	2003
Albury	85	1335
Albury	90	613
Albury	95	156
Albury	100	12
Auburn	0	1491
Auburn	1	1648
Auburn	2	1533
Auburn	3	1465
Auburn	4	1461
Auburn	5	1409
Auburn	6	1304
Auburn	7	1199
Auburn	8	1195
Auburn	9	1192
Auburn	10	1102
Auburn	11	1035
Auburn	12	1081
Auburn	13	1012
Auburn	14	1042
Auburn	15	1024
Auburn	16	1079
Auburn	17	1087
Auburn	18	1204
Auburn	19	1402
Auburn	20	1631
Auburn	21	1738
Auburn	22	1836
Auburn	23	1913
Auburn	24	2131
Auburn	25	2471
Auburn	26	2539
Auburn	27	2571
Auburn	28	2545
Auburn	29	2537
Auburn	30	2404
Auburn	31	2351
Auburn	32	2292
Auburn	33	2282
Auburn	34	2058
Auburn	35	1878
Auburn	36	1747
Auburn	37	1643
Auburn	38	1533
Auburn	39	1421
Auburn	40	1326
Auburn	41	1330
Auburn	42	1275
Auburn	43	1205
Auburn	44	1223
Auburn	45	1302
Auburn	46	1271
Auburn	47	1167
Auburn	48	1195
Auburn	49	1074
Auburn	50	1127
Auburn	51	1140
Auburn	52	1216
Auburn	53	1233
Auburn	54	1144
Auburn	55	1059
Auburn	56	1069
Auburn	57	1084
Auburn	58	1160
