SED_NAME16	FamilyComposition	families_with_children
Albury	Blended family with no other children present	375
Albury	Blended family with other children present	6
Albury	Intact family with no other children present	6813
Albury	Intact family with other children present	74
Albury	Other couple family with other children only	62
Albury	Step family with no other children present	541
Albury	Step family with other children present	15
Auburn	Blended family with no other children present	224
Auburn	Blended family with other children present	11
Auburn	Intact family with no other children present	11766
Auburn	Intact family with other children present	229
Auburn	Other couple family with other children only	43
Auburn	Step family with no other children present	448
Auburn	Step family with other children present	15
Ballina	Blended family with no other children present	259
Ballina	Blended family with other children present	3
Ballina	Intact family with no other children present	6109
Ballina	Intact family with other children present	60
Ballina	Other couple family with other children only	47
Ballina	Step family with no other children present	456
Ballina	Step family with other children present	5
Balmain	Blended family with no other children present	128
Balmain	Intact family with no other children present	7215
Balmain	Intact family with other children present	37
Balmain	Other couple family with other children only	9
Balmain	Step family with no other children present	444
Balmain	Step family with other children present	4
Bankstown	Blended family with no other children present	263
Bankstown	Blended family with other children present	8
Bankstown	Intact family with no other children present	10039
Bankstown	Intact family with other children present	232
Bankstown	Other couple family with other children only	56
Bankstown	Step family with no other children present	450
Bankstown	Step family with other children present	16
Barwon	Blended family with no other children present	368
Barwon	Blended family with other children present	14
Barwon	Intact family with no other children present	5742
Barwon	Intact family with other children present	113
Barwon	Other couple family with other children only	112
Barwon	Step family with no other children present	392
Barwon	Step family with other children present	18
Bathurst	Blended family with no other children present	437
Bathurst	Blended family with other children present	9
Bathurst	Intact family with no other children present	6615
Bathurst	Intact family with other children present	79
Bathurst	Other couple family with other children only	83
Bathurst	Step family with no other children present	575
Bathurst	Step family with other children present	9
Baulkham Hills	Blended family with no other children present	240
Baulkham Hills	Blended family with other children present	3
Baulkham Hills	Intact family with no other children present	12362
Baulkham Hills	Intact family with other children present	138
Baulkham Hills	Other couple family with other children only	17
Baulkham Hills	Step family with no other children present	517
Baulkham Hills	Step family with other children present	11
Bega	Blended family with no other children present	307
Bega	Blended family with other children present	4
Bega	Intact family with no other children present	4707
Bega	Intact family with other children present	65
Bega	Other couple family with other children only	66
Bega	Step family with no other children present	494
Bega	Step family with other children present	11
Blacktown	Blended family with no other children present	399
Blacktown	Blended family with other children present	13
Blacktown	Intact family with no other children present	10814
Blacktown	Intact family with other children present	240
Blacktown	Other couple family with other children only	54
Blacktown	Step family with no other children present	596
