SED_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
Albury					482
Albury	0	0	0	1	2085
Albury	0	0	1	0	599
Albury	0	0	1	1	294
Albury	0	1	0	0	3928
Albury	0	1	0	1	414
Albury	0	1	1	0	863
Albury	0	1	1	1	179
Albury	1	0	0	1	3928
Albury	1	0	1	0	1983
Albury	1	0	1	1	1485
Albury	1	1	0	0	17616
Albury	1	1	0	1	987
Albury	1	1	1	0	3779
Albury	1	1	1	1	745
Auburn					1471
Auburn	0	0	0	1	3476
Auburn	0	0	1	0	923
Auburn	0	0	1	1	734
Auburn	0	1	0	0	3150
Auburn	0	1	0	1	389
Auburn	0	1	1	0	951
Auburn	0	1	1	1	399
Auburn	1	0	0	1	8114
Auburn	1	0	1	0	3501
Auburn	1	0	1	1	3397
Auburn	1	1	0	0	26582
Auburn	1	1	0	1	1490
Auburn	1	1	1	0	6268
Auburn	1	1	1	1	2097
Ballina					489
Ballina	0	0	0	1	2311
Ballina	0	0	1	0	911
Ballina	0	0	1	1	336
Ballina	0	1	0	0	3523
Ballina	0	1	0	1	328
Ballina	0	1	1	0	786
Ballina	0	1	1	1	96
Ballina	1	0	0	1	3803
Ballina	1	0	1	0	1952
Ballina	1	0	1	1	1036
Ballina	1	1	0	0	14848
Ballina	1	1	0	1	719
Ballina	1	1	1	0	3160
Ballina	1	1	1	1	469
Balmain					988
Balmain	0	0	0	1	1925
Balmain	0	0	1	0	796
Balmain	0	0	1	1	278
Balmain	0	1	0	0	1981
Balmain	0	1	0	1	127
Balmain	0	1	1	0	365
Balmain	0	1	1	1	31
Balmain	1	0	0	1	2631
Balmain	1	0	1	0	2098
Balmain	1	0	1	1	871
Balmain	1	1	0	0	20227
Balmain	1	1	0	1	292
Balmain	1	1	1	0	2063
Balmain	1	1	1	1	133
Bankstown					1027
Bankstown	0	0	0	1	3982
Bankstown	0	0	1	0	1047
Bankstown	0	0	1	1	818
Bankstown	0	1	0	0	4244
Bankstown	0	1	0	1	677
Bankstown	0	1	1	0	1223
Bankstown	0	1	1	1	515
Bankstown	1	0	0	1	7615
Bankstown	1	0	1	0	3054
Bankstown	1	0	1	1	3019
Bankstown	1	1	0	0	22760
Bankstown	1	1	0	1	1566
Bankstown	1	1	1	0	6009
Bankstown	1	1	1	1	1778
Barwon					703
Barwon	0	0	0	1	2806
Barwon	0	0	1	0	466
Barwon	0	0	1	1	217
Barwon	0	1	0	0	5199
Barwon	0	1	0	1	668
Barwon	0	1	1	0	949
Barwon	0	1	1	1	281
Barwon	1	0	0	1	3936
Barwon	1	0	1	0	1212
Barwon	1	0	1	1	825
Barwon	1	1	0	0	15300
Barwon	1	1	0	1	1217
Barwon	1	1	1	0	2922
Barwon	1	1	1	1	598
Bathurst					505
Bathurst	0	0	0	1	2403
Bathurst	0	0	1	0	668
Bathurst	0	0	1	1	317
Bathurst	0	1	0	0	4108
Bathurst	0	1	0	1	432
Bathurst	0	1	1	0	946
Bathurst	0	1	1	1	229
Bathurst	1	0	0	1	4592
Bathurst	1	0	1	0	1826
Bathurst	1	0	1	1	1354
