SED_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Albury	0	1	8982
Albury	0	2	799
Albury	0	3	150
Albury	0	4	54
Albury	0	5	10
Albury	0	6	4
Albury	1	2	9977
Albury	1	3	3821
Albury	1	4	3656
Albury	1	5	1667
Albury	1	6	716
Auburn	0	1	5305
Auburn	0	2	888
Auburn	0	3	408
Auburn	0	4	277
Auburn	0	5	218
Auburn	0	6	283
Auburn	1	2	6688
Auburn	1	3	5168
Auburn	1	4	5147
Auburn	1	5	2897
Auburn	1	6	2882
Ballina	0	1	7728
Ballina	0	2	1039
Ballina	0	3	265
Ballina	0	4	97
Ballina	0	5	41
Ballina	0	6	11
Ballina	1	2	9215
Ballina	1	3	3812
Ballina	1	4	3446
Ballina	1	5	1378
Ballina	1	6	537
Balmain	0	1	10080
Balmain	0	2	1721
Balmain	0	3	775
Balmain	0	4	397
Balmain	0	5	143
Balmain	0	6	93
Balmain	1	2	9531
Balmain	1	3	4353
Balmain	1	4	4005
Balmain	1	5	1066
Balmain	1	6	270
Bankstown	0	1	5286
Bankstown	0	2	470
Bankstown	0	3	126
Bankstown	0	4	43
Bankstown	0	5	26
Bankstown	0	6	31
Bankstown	1	2	5395
Bankstown	1	3	4285
Bankstown	1	4	4578
Bankstown	1	5	2756
Bankstown	1	6	2455
Barwon	0	1	9132
Barwon	0	2	639
Barwon	0	3	57
Barwon	0	4	7
Barwon	0	5	4
Barwon	1	2	9462
Barwon	1	3	3542
Barwon	1	4	3132
Barwon	1	5	1625
Barwon	1	6	939
Bathurst	0	1	8136
Bathurst	0	2	745
Bathurst	0	3	113
Bathurst	0	4	43
Bathurst	0	5	8
Bathurst	0	6	3
Bathurst	1	2	9066
Bathurst	1	3	3802
Bathurst	1	4	3670
Bathurst	1	5	1683
Bathurst	1	6	807
Baulkham Hills	0	1	2958
Baulkham Hills	0	2	241
Baulkham Hills	0	3	88
Baulkham Hills	0	4	39
Baulkham Hills	0	5	29
Baulkham Hills	0	6	38
Baulkham Hills	1	2	6458
Baulkham Hills	1	3	4801
Baulkham Hills	1	4	6244
Baulkham Hills	1	5	2620
Baulkham Hills	1	6	1243
Bega	0	1	8630
Bega	0	2	616
Bega	0	3	52
Bega	0	4	15
Bega	0	5	7
Bega	1	2	11289
Bega	1	3	3178
Bega	1	4	2569
Bega	1	5	1126
Bega	1	6	610
Blacktown	0	1	5027
Blacktown	0	2	585
Blacktown	0	3	144
Blacktown	0	4	65
Blacktown	0	5	31
Blacktown	0	6	23
Blacktown	1	2	6717
Blacktown	1	3	5370
