SED_NAME16	AgeStudent	Sex	students
Albury	0-4	F	519
Albury	0-4	M	544
Albury	5-14	F	4505
Albury	5-14	M	4591
Albury	15-19	F	1713
Albury	15-19	M	1659
Albury	20-24	F	779
Albury	20-24	M	513
Albury	25+	F	1507
Albury	25+	M	760
Auburn	0-4	F	614
Auburn	0-4	M	625
Auburn	5-14	F	5054
Auburn	5-14	M	5228
Auburn	15-19	F	2264
Auburn	15-19	M	2333
Auburn	20-24	F	1919
Auburn	20-24	M	2361
Auburn	25+	F	3189
Auburn	25+	M	3176
Ballina	0-4	F	469
Ballina	0-4	M	475
Ballina	5-14	F	3692
Ballina	5-14	M	3941
Ballina	15-19	F	1405
Ballina	15-19	M	1460
Ballina	20-24	F	402
Ballina	20-24	M	295
Ballina	25+	F	1674
Ballina	25+	M	813
Balmain	0-4	F	569
Balmain	0-4	M	578
Balmain	5-14	F	3258
Balmain	5-14	M	3437
Balmain	15-19	F	1441
Balmain	15-19	M	1177
Balmain	20-24	F	2596
Balmain	20-24	M	1938
Balmain	25+	F	3070
Balmain	25+	M	2202
Bankstown	0-4	F	612
Bankstown	0-4	M	664
Bankstown	5-14	F	5148
Bankstown	5-14	M	5474
Bankstown	15-19	F	2246
Bankstown	15-19	M	2268
Bankstown	20-24	F	1295
Bankstown	20-24	M	1284
Bankstown	25+	F	2136
Bankstown	25+	M	1389
Barwon	0-4	F	608
Barwon	0-4	M	595
Barwon	5-14	F	4282
Barwon	5-14	M	4313
Barwon	15-19	F	1221
Barwon	15-19	M	1221
Barwon	20-24	F	351
Barwon	20-24	M	228
Barwon	25+	F	1172
Barwon	25+	M	458
Bathurst	0-4	F	545
Bathurst	0-4	M	560
Bathurst	5-14	F	4360
Bathurst	5-14	M	4676
Bathurst	15-19	F	1804
Bathurst	15-19	M	1804
Bathurst	20-24	F	887
Bathurst	20-24	M	638
Bathurst	25+	F	1524
Bathurst	25+	M	801
Baulkham Hills	0-4	F	663
Baulkham Hills	0-4	M	700
Baulkham Hills	5-14	F	5155
Baulkham Hills	5-14	M	5460
Baulkham Hills	15-19	F	2280
Baulkham Hills	15-19	M	2432
Baulkham Hills	20-24	F	1277
Baulkham Hills	20-24	M	1406
Baulkham Hills	25+	F	1594
Baulkham Hills	25+	M	1072
Bega	0-4	F	352
Bega	0-4	M	383
Bega	5-14	F	3260
Bega	5-14	M	3479
Bega	15-19	F	1185
Bega	15-19	M	1165
Bega	20-24	F	240
Bega	20-24	M	199
Bega	25+	F	1030
Bega	25+	M	420
Blacktown	0-4	F	645
Blacktown	0-4	M	683
Blacktown	5-14	F	4999
Blacktown	5-14	M	5382
Blacktown	15-19	F	2070
Blacktown	15-19	M	2173
Blacktown	20-24	F	1154
Blacktown	20-24	M	1247
Blacktown	25+	F	2128
Blacktown	25+	M	1436
Blue Mountains	0-4	F	545
Blue Mountains	0-4	M	527
Blue Mountains	5-14	F	4138
Blue Mountains	5-14	M	4369
Blue Mountains	15-19	F	1655
Blue Mountains	15-19	M	1774
Blue Mountains	20-24	F	673
Blue Mountains	20-24	M	640
Blue Mountains	25+	F	1858
Blue Mountains	25+	M	1019
Cabramatta	0-4	F	461
Cabramatta	0-4	M	451
Cabramatta	5-14	F	4599
Cabramatta	5-14	M	4888
Cabramatta	15-19	F	2490
Cabramatta	15-19	M	2454
Cabramatta	20-24	F	1472
Cabramatta	20-24	M	1376
Cabramatta	25+	F	1756
Cabramatta	25+	M	1155
Camden	0-4	F	855
Camden	0-4	M	848
Camden	5-14	F	6230
Camden	5-14	M	6430
Camden	15-19	F	2319
Camden	15-19	M	2224
Camden	20-24	F	894
Camden	20-24	M	789
Camden	25+	F	1524
Camden	25+	M	741
Campbelltown	0-4	F	584
Campbelltown	0-4	M	640
Campbelltown	5-14	F	4932
Campbelltown	5-14	M	5197
Campbelltown	15-19	F	1881
Campbelltown	15-19	M	1921
Campbelltown	20-24	F	898
Campbelltown	20-24	M	819
Campbelltown	25+	F	1510
Campbelltown	25+	M	852
Canterbury	0-4	F	553
Canterbury	0-4	M	599
Canterbury	5-14	F	4401
Canterbury	5-14	M	4774
Canterbury	15-19	F	2083
Canterbury	15-19	M	2109
Canterbury	20-24	F	1410
Canterbury	20-24	M	1530
Canterbury	25+	F	2388
Canterbury	25+	M	1850
Castle Hill	0-4	F	709
Castle Hill	0-4	M	683
Castle Hill	5-14	F	5957
Castle Hill	5-14	M	6301
Castle Hill	15-19	F	2628
Castle Hill	15-19	M	2723
Castle Hill	20-24	F	1142
Castle Hill	20-24	M	1268
Castle Hill	25+	F	1473
Castle Hill	25+	M	995
Cessnock	0-4	F	657
Cessnock	0-4	M	635
Cessnock	5-14	F	4749
Cessnock	5-14	M	4870
Cessnock	15-19	F	1545
Cessnock	15-19	M	1549
Cessnock	20-24	F	503
Cessnock	20-24	M	378
Cessnock	25+	F	1217
Cessnock	25+	M	564
Charlestown	0-4	F	574
Charlestown	0-4	M	610
Charlestown	5-14	F	4271
Charlestown	5-14	M	4560
Charlestown	15-19	F	1605
Charlestown	15-19	M	1723
Charlestown	20-24	F	830
Charlestown	20-24	M	758
Charlestown	25+	F	1467
Charlestown	25+	M	851
Clarence	0-4	F	487
Clarence	0-4	M	483
Clarence	5-14	F	3786
Clarence	5-14	M	4099
Clarence	15-19	F	1457
Clarence	15-19	M	1425
Clarence	20-24	F	340
Clarence	20-24	M	235
