SED_NAME16	FamilyHousehold	IncomeHousehold.max	households
Albury	0		742
Albury	0	0	209
Albury	0	7875	130
Albury	0	15750	590
Albury	0	21000	927
Albury	0	26250	1925
Albury	0	34125	1012
Albury	0	42000	881
Albury	0	52500	999
Albury	0	65625	820
Albury	0	78750	585
Albury	0	91875	365
Albury	0	105000	256
Albury	0	131250	329
Albury	0	157500	58
Albury	0	183750	25
Albury	0	210000	135
Albury	0	Inf	12
Albury	1		2351
Albury	1	0	125
Albury	1	7875	113
Albury	1	15750	137
Albury	1	21000	170
Albury	1	26250	663
Albury	1	34125	643
Albury	1	42000	1781
Albury	1	52500	1427
Albury	1	65625	1828
Albury	1	78750	1876
Albury	1	91875	1344
Albury	1	105000	1328
Albury	1	131250	2388
Albury	1	157500	1484
Albury	1	183750	880
Albury	1	210000	467
Albury	1	Inf	817
Auburn	0		696
Auburn	0	0	385
Auburn	0	7875	111
Auburn	0	15750	435
Auburn	0	21000	579
Auburn	0	26250	843
Auburn	0	34125	439
Auburn	0	42000	411
Auburn	0	52500	489
Auburn	0	65625	586
Auburn	0	78750	438
Auburn	0	91875	413
Auburn	0	105000	304
Auburn	0	131250	585
Auburn	0	157500	165
Auburn	0	183750	106
Auburn	0	210000	221
Auburn	0	Inf	176
Auburn	1		2513
Auburn	1	0	438
Auburn	1	7875	137
Auburn	1	15750	289
Auburn	1	21000	253
Auburn	1	26250	749
Auburn	1	34125	805
Auburn	1	42000	1563
Auburn	1	52500	1556
Auburn	1	65625	1948
Auburn	1	78750	1865
Auburn	1	91875	1513
Auburn	1	105000	1321
Auburn	1	131250	2668
Auburn	1	157500	1754
Auburn	1	183750	1131
Auburn	1	210000	840
Auburn	1	Inf	1446
Ballina	0		812
Ballina	0	0	153
Ballina	0	7875	113
Ballina	0	15750	450
Ballina	0	21000	798
Ballina	0	26250	1846
Ballina	0	34125	1033
Ballina	0	42000	856
Ballina	0	52500	776
Ballina	0	65625	722
Ballina	0	78750	448
Ballina	0	91875	304
Ballina	0	105000	254
Ballina	0	131250	327
Ballina	0	157500	74
Ballina	0	183750	40
Ballina	0	210000	139
Ballina	0	Inf	30
Ballina	1		2234
Ballina	1	0	108
Ballina	1	7875	79
Ballina	1	15750	135
Ballina	1	21000	143
Ballina	1	26250	538
Ballina	1	34125	633
