SED_NAME16	AgeChild	CoupleFamily	ParentsBornAus	children
Albury	0-4	0		26
Albury	0-4	0	Both	655
Albury	0-4	0	Father only	27
Albury	0-4	0	Mother only	56
Albury	0-4	0	Neither	18
Albury	0-4	1		10
Albury	0-4	1	Both	2973
Albury	0-4	1	Father only	170
Albury	0-4	1	Mother only	156
Albury	0-4	1	Neither	311
Albury	5-9	0		35
Albury	5-9	0	Both	908
Albury	5-9	0	Father only	24
Albury	5-9	0	Mother only	52
Albury	5-9	0	Neither	20
Albury	5-9	1		14
Albury	5-9	1	Both	2978
Albury	5-9	1	Father only	152
Albury	5-9	1	Mother only	166
Albury	5-9	1	Neither	279
Albury	10-12	0		21
Albury	10-12	0	Both	562
Albury	10-12	0	Father only	32
Albury	10-12	0	Mother only	52
Albury	10-12	0	Neither	14
Albury	10-12	1		13
Albury	10-12	1	Both	1771
Albury	10-12	1	Father only	89
Albury	10-12	1	Mother only	109
Albury	10-12	1	Neither	122
Albury	13-14	0		18
Albury	13-14	0	Both	395
Albury	13-14	0	Father only	17
Albury	13-14	0	Mother only	40
Albury	13-14	0	Neither	14
Albury	13-14	1		6
Albury	13-14	1	Both	1110
Albury	13-14	1	Father only	67
Albury	13-14	1	Mother only	51
Albury	13-14	1	Neither	91
Albury	15-17	0		6
Albury	15-17	0	Both	467
Albury	15-17	0	Father only	13
Albury	15-17	0	Mother only	26
Albury	15-17	0	Neither	18
Albury	15-17	1		7
Albury	15-17	1	Both	1392
Albury	15-17	1	Father only	75
Albury	15-17	1	Mother only	96
Albury	15-17	1	Neither	93
Albury	18-20	0		3
Albury	18-20	0	Both	85
Albury	18-20	0	Father only	4
Albury	18-20	0	Mother only	3
Albury	18-20	0	Neither	10
Albury	18-20	1	Both	334
Albury	18-20	1	Father only	12
Albury	18-20	1	Mother only	26
Albury	18-20	1	Neither	41
Albury	21-24	0	Both	24
Albury	21-24	0	Father only	9
Albury	21-24	0	Mother only	9
Albury	21-24	0	Neither	3
Albury	21-24	1	Both	91
Albury	21-24	1	Father only	3
Albury	21-24	1	Mother only	6
Albury	21-24	1	Neither	22
Auburn	0-4	0		31
