SSC_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SSC10001,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC10002,520,6,0,0,0,526,539,0,0,0,0,545,65,5,0,0,0,74,0,0,0,0,0,0,19,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,90,6,0,0,0,95,6,0,0,0,0,6,27,3,0,0,0,26,1180,20,0,0,0,1203
SSC10003,308,117,351,0,0,771,199,91,245,3,0,536,48,79,373,7,6,511,37,34,106,0,7,179,21,11,58,3,0,91,3,0,17,0,0,21,0,0,3,0,0,3,0,0,5,0,0,8,105,118,561,8,13,800,0,0,3,0,0,6,10,10,25,0,4,47,623,328,1184,10,12,2165
SSC10004,111,3,0,0,0,112,186,4,0,0,0,187,31,3,0,0,0,36,0,4,0,0,0,4,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,336,14,0,0,0,349
SSC10005,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC10006,241,25,0,0,0,261,288,7,4,0,0,298,136,110,7,0,7,253,3,20,0,0,0,20,39,4,0,0,0,48,0,0,0,0,0,0,5,4,0,0,0,3,3,0,0,0,0,3,185,138,7,0,7,334,8,0,0,0,0,8,18,9,0,0,0,24,734,172,3,3,4,917
SSC10007,237,0,0,30,0,268,254,0,4,5,0,266,67,4,30,0,0,105,11,0,0,0,0,11,50,0,8,3,0,65,5,0,0,0,0,5,15,0,0,5,0,16,0,0,0,0,0,0,151,4,39,10,0,204,4,0,0,0,0,4,21,0,3,0,0,21,665,8,44,40,3,767
SSC10008,13,0,0,0,0,13,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,28,0,0,0,0,28
SSC10009,304,15,0,0,0,320,747,22,3,0,0,772,467,91,0,0,0,559,6,7,0,0,0,10,35,4,0,0,0,37,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,511,101,0,0,0,616,4,0,0,0,0,7,20,0,0,0,6,30,1591,132,3,0,6,1734
SSC10010,289,4,0,0,0,289,340,3,0,0,0,346,75,13,3,0,0,87,0,0,0,0,0,0,44,3,0,0,0,56,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,0,3,129,15,3,0,0,155,7,0,0,0,0,7,18,0,0,0,0,18,786,21,3,4,0,819
SSC10011,29,0,0,0,0,29,51,0,0,0,0,51,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,4,86,0,0,0,0,86
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC10013,9,0,0,0,0,9,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SSC10014,36,187,5,0,0,228,149,512,24,0,3,685,36,99,7,0,0,145,0,0,0,0,0,0,7,21,0,0,0,25,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,39,125,10,0,0,178,0,0,0,0,0,0,16,3,0,0,0,19,235,835,37,0,4,1106
SSC10015,80,0,0,0,3,80,26,0,0,0,0,27,8,0,0,0,0,9,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,17,0,0,0,0,20,3,0,0,0,0,3,0,0,0,0,0,0,129,0,3,0,3,133
SSC10016,521,65,33,0,3,622,650,57,54,0,3,757,243,133,193,0,7,583,22,50,36,0,0,104,99,35,22,0,0,159,0,11,3,0,0,19,50,21,5,0,0,71,11,0,0,0,0,18,425,250,267,0,5,951,6,4,0,0,5,8,28,5,13,0,4,49,1625,383,362,5,21,2391
