SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC10001,0,0,0,0,10,0,0,4,3,18
SSC10002,26,0,36,880,780,374,311,1015,143,3504
SSC10003,57,24,139,1192,1248,505,326,909,376,4545
SSC10004,6,0,7,200,273,111,81,132,34,833
SSC10005,0,0,0,5,3,3,0,8,0,22
SSC10006,3,8,19,350,501,240,211,468,167,1941
SSC10007,11,12,32,318,410,212,196,316,184,1631
SSC10008,0,0,0,18,23,9,7,12,6,76
SSC10009,5,0,15,893,1150,546,456,740,177,3964
SSC10010,12,8,29,324,495,233,233,437,150,1866
SSC10011,0,0,0,46,61,22,30,39,61,259
SSC10012,0,0,0,0,3,0,0,4,0,11
SSC10013,0,0,0,8,7,3,3,5,0,32
SSC10014,8,0,18,728,819,358,259,645,104,2904
SSC10015,0,3,9,44,64,36,43,50,22,262
SSC10016,53,15,104,1339,1409,575,394,968,233,4919
SSC10017,46,18,139,925,1327,632,463,705,143,4191
SSC10018,3,3,21,147,208,99,77,163,63,764
SSC10019,0,0,0,15,20,6,6,7,3,58
SSC10020,0,0,0,3,11,10,4,10,3,45
SSC10021,4,0,11,170,170,88,83,143,47,693
SSC10022,6,4,10,303,313,176,250,755,347,2147
SSC10023,0,0,0,17,17,17,18,15,41,136
SSC10024,0,0,0,13,11,7,10,9,15,58
SSC10025,168,27,271,2303,2819,1343,1066,2298,546,10371
SSC10026,48,125,219,1048,1373,726,589,1304,594,5634
SSC10027,61,45,166,940,1203,466,294,678,468,4047
SSC10028,3,5,14,107,148,95,71,132,579,1125
SSC10029,0,0,0,22,36,16,27,23,17,143
SSC10030,10,11,35,2633,2330,472,220,1092,648,7390
SSC10031,20,3,30,690,702,300,232,572,94,2590
SSC10032,0,0,0,14,18,16,3,14,15,84
SSC10033,0,0,0,0,0,3,4,3,0,6
SSC10034,0,0,0,9,22,6,8,10,13,75
SSC10035,0,0,0,11,14,8,5,5,15,65
SSC10036,88,80,259,1330,1578,716,521,988,302,5441
SSC10037,0,3,3,9,18,6,8,5,8,57
SSC10038,43,8,65,1078,1110,473,329,1605,264,4856
SSC10039,0,0,3,5,11,5,9,10,8,40
SSC10040,0,0,0,16,34,11,13,28,11,108
SSC10041,0,0,0,21,26,23,27,28,13,132
SSC10042,0,0,0,13,19,12,3,6,7,56
SSC10043,0,0,0,9,9,6,10,9,4,34
SSC10044,0,0,0,18,36,15,13,12,9,108
SSC10045,0,0,0,87,106,64,48,39,29,369
SSC10046,179,50,366,873,1308,724,573,919,370,4763
SSC10047,0,0,0,7,18,11,11,15,3,76
SSC10048,0,0,0,5,9,3,3,6,6,33
SSC10049,19,3,42,1142,1269,575,586,1559,528,5660
SSC10050,0,0,0,4,5,4,5,0,3,26
SSC10051,0,0,0,0,0,0,3,0,0,3
SSC10052,0,0,0,6,17,4,3,0,0,29
SSC10053,0,0,0,7,3,3,0,3,12,29
SSC10054,0,0,0,19,18,8,11,7,4,58
SSC10055,0,0,3,6,19,5,3,8,10,51
SSC10056,0,0,3,31,30,19,15,15,21,128
SSC10057,0,0,0,11,7,9,3,8,15,52
SSC10058,0,0,4,12,18,7,10,6,28,81
SSC10059,3,0,5,50,49,37,18,23,16,194
SSC10060,27,31,70,594,750,442,319,705,421,3243
SSC10061,66,8,114,2393,2456,733,378,1223,699,7891
SSC10062,4,0,11,287,300,161,126,232,58,1153
SSC10063,10,0,18,448,547,252,195,378,131,1953
SSC10064,0,0,0,7,3,3,8,3,11,31
SSC10065,0,0,0,8,8,5,0,8,3,28
SSC10066,0,0,0,3,3,3,0,0,0,11
SSC10067,0,0,0,20,29,10,12,14,4,91
SSC10068,0,0,0,0,3,0,0,5,0,14
SSC10069,3,0,6,72,107,61,45,60,36,381
SSC10070,0,3,7,18,28,17,25,26,35,155
SSC10071,0,0,0,0,0,0,0,3,0,3
SSC10072,0,3,17,247,310,174,148,164,56,1107
SSC10073,9,4,23,224,326,164,118,211,79,1118
SSC10074,0,0,0,7,8,5,10,5,9,42
SSC10075,0,0,4,25,51,27,22,24,10,171
SSC10076,4,4,22,66,88,49,53,118,85,457
SSC10077,0,0,0,3,4,9,0,0,3,20
SSC10078,18,8,36,205,253,109,130,329,83,1111
SSC10079,3,0,3,23,36,36,34,38,22,189
SSC10080,0,0,0,0,3,0,0,0,0,9
SSC10081,5,4,11,64,88,49,71,69,43,384
SSC10082,0,0,0,5,8,6,4,5,5,40
SSC10083,0,0,0,5,3,0,0,4,3,18
SSC10084,0,0,0,22,26,11,13,25,17,111
SSC10085,225,92,521,4293,5344,2227,1476,4025,1860,19225
SSC10086,162,28,244,2008,1932,664,593,3002,704,8901
SSC10087,0,0,0,4,4,0,0,9,14,27
SSC10088,8,7,33,70,106,66,72,87,94,491
SSC10089,0,0,10,94,97,88,46,97,37,466
SSC10090,52,19,135,2164,2184,767,568,1530,486,7693
SSC10091,0,0,0,5,6,6,4,3,0,34
SSC10092,0,0,0,11,10,3,3,6,0,24
SSC10093,29,4,53,636,761,353,228,557,131,2670
SSC10094,8,7,16,35,83,58,54,35,22,296
SSC10095,0,0,0,18,56,27,33,38,25,194
SSC10096,0,0,0,0,3,0,0,0,9,16
SSC10097,14,5,33,427,406,181,238,991,439,2683
SSC10098,436,102,705,5040,4977,1792,1188,6221,1682,20899
SSC10099,12,0,23,65,136,55,70,158,68,550
SSC10100,0,0,0,50,59,34,42,58,25,257
SSC10101,51,9,86,520,661,319,297,810,342,2950
SSC10102,24,0,48,811,969,517,377,637,208,3520
SSC10103,40,8,87,645,735,393,271,509,112,2664
SSC10104,0,0,0,12,24,13,8,13,4,64
SSC10105,0,0,5,82,114,61,54,105,42,458
SSC10106,291,77,484,5416,4980,2142,2256,12754,2571,30121
SSC10107,0,0,3,23,16,16,15,7,9,97
SSC10108,9,5,34,489,656,312,209,240,128,2038
SSC10109,112,25,162,440,481,212,227,824,342,2529
SSC10110,0,0,0,17,18,15,10,31,22,120
SSC10111,132,29,273,2008,2422,1152,690,1207,460,7938
SSC10112,0,0,0,4,3,7,0,0,5,19
SSC10113,0,0,0,16,43,38,18,26,16,164
SSC10114,16,6,58,881,1089,513,344,549,197,3576
SSC10115,0,0,0,0,0,0,0,0,0,0
SSC10116,10,3,17,267,341,195,150,293,112,1347
SSC10117,0,0,0,11,27,13,10,12,8,92
SSC10118,4,0,4,73,73,39,43,71,14,315
SSC10119,0,0,3,40,47,27,19,35,4,164
SSC10120,0,0,3,18,23,26,20,27,15,130
SSC10121,0,0,0,0,0,0,0,3,0,0
SSC10122,0,0,0,3,0,0,0,0,0,5
SSC10123,0,0,0,5,9,3,5,3,10,34
SSC10124,0,0,0,3,3,0,0,4,4,12
SSC10125,0,0,0,0,10,0,4,6,0,17
SSC10126,0,0,0,0,0,5,0,0,3,9
SSC10127,0,0,0,0,3,0,0,3,4,7
SSC10128,0,0,0,0,9,3,0,0,0,10
SSC10129,0,0,0,15,13,7,8,7,12,68
SSC10130,0,0,0,32,33,10,15,23,9,124
SSC10131,0,0,0,0,3,0,3,3,0,14
SSC10132,4,0,4,35,17,18,23,68,9,170
SSC10133,0,0,0,0,3,0,0,0,0,6
SSC10134,0,0,0,12,8,10,4,5,13,53
SSC10135,0,0,0,7,9,6,3,4,14,37
SSC10136,0,0,0,3,10,5,7,4,3,35
SSC10137,0,0,0,3,4,7,0,10,8,26
SSC10138,0,0,0,8,9,0,4,14,3,45
SSC10139,0,0,0,0,12,7,4,3,0,31
SSC10140,0,0,0,3,3,0,0,4,7,14
SSC10141,0,0,0,3,10,3,0,0,0,16
SSC10142,0,0,0,9,6,8,7,8,6,46
SSC10143,8,3,8,74,97,60,45,71,57,407
SSC10144,0,0,0,14,26,21,16,19,29,120
SSC10145,6,3,18,145,209,119,90,168,48,775
SSC10146,0,0,3,11,15,11,0,0,3,32
SSC10147,0,0,0,32,49,38,37,30,15,197
SSC10148,0,0,0,0,4,3,0,0,0,9
SSC10149,0,0,0,0,3,0,0,0,0,9
SSC10150,0,0,0,11,17,4,5,4,4,50
SSC10151,0,0,0,14,12,14,8,7,8,68
SSC10152,0,0,0,5,4,0,0,4,4,29
SSC10153,50,17,149,1679,1946,729,498,976,429,6250
SSC10154,20,13,77,642,704,360,279,349,115,2443
SSC10155,55,22,122,966,1278,629,458,953,251,4529
SSC10156,0,0,0,4,8,5,4,0,0,14
SSC10157,0,0,3,13,30,15,6,24,13,93
SSC10158,0,0,3,5,3,3,3,5,0,19
SSC10159,0,0,0,21,31,15,20,18,24,122
SSC10160,0,0,0,14,18,8,14,5,7,73
SSC10161,0,0,0,33,35,11,25,21,38,159
SSC10162,310,312,852,1331,1806,819,629,1871,1180,7633
SSC10163,0,0,0,3,0,0,3,0,0,3
SSC10164,38,20,111,2600,2682,810,468,1196,901,8656
SSC10165,10,6,28,476,492,199,75,207,174,1623
SSC10166,7,0,10,143,168,76,74,122,15,604
SSC10167,0,0,0,71,108,58,42,52,24,354
SSC10168,16,7,31,182,257,113,123,265,140,1088
SSC10169,0,0,0,5,4,0,3,9,0,22
SSC10170,0,0,0,0,0,0,0,0,0,0
SSC10171,0,0,0,29,24,16,10,12,15,100
SSC10172,0,0,0,3,3,0,4,0,0,8
SSC10173,5,0,10,121,160,108,70,74,26,560
SSC10174,28,23,69,369,452,230,156,213,156,1580
SSC10175,0,0,0,5,13,3,4,3,3,30
SSC10176,3,0,5,18,19,7,12,14,11,88
SSC10177,111,10,155,1127,1286,637,376,937,193,4552
SSC10178,29,11,62,618,656,289,206,789,237,2791
SSC10179,0,0,0,10,3,0,0,3,0,21
SSC10180,295,76,515,4534,4463,1988,2109,9398,2565,25055
SSC10181,0,0,0,0,0,0,0,0,0,0
SSC10182,0,0,0,9,7,9,4,5,0,36
SSC10183,0,0,3,14,31,15,13,14,13,93
SSC10184,0,0,0,3,4,5,3,6,3,24
SSC10185,433,170,880,2637,3424,1778,1320,3392,1167,13723
SSC10186,4,0,4,5,7,5,4,14,5,43
SSC10187,5,0,6,336,280,116,59,201,111,1099
SSC10188,0,0,0,12,21,10,10,11,3,56
SSC10189,0,0,0,3,10,0,0,7,0,20
SSC10190,12,3,30,100,132,67,97,182,56,631
SSC10191,0,0,3,34,26,6,3,26,74,172
SSC10192,0,0,0,0,0,0,0,0,0,0
SSC10193,55,3,72,985,920,475,259,732,121,3493
SSC10194,0,0,0,263,318,124,83,276,87,1154
SSC10195,16,8,48,459,483,220,175,411,75,1827
SSC10196,18,11,46,408,480,221,151,498,125,1886
SSC10197,7,4,21,75,90,54,60,87,56,429
SSC10198,26,14,76,690,947,472,415,698,256,3471
SSC10199,43,29,102,208,306,160,164,293,173,1303
SSC10200,0,0,0,0,0,0,0,0,0,9
SSC10201,0,0,0,24,34,36,14,12,12,127
SSC10202,0,0,3,48,84,34,52,90,52,354
SSC10203,0,0,0,0,0,0,0,0,0,0
SSC10204,7,0,14,302,362,184,161,324,61,1393
SSC10205,19,16,47,268,359,188,163,321,192,1484
SSC10206,32,12,64,149,250,149,160,313,195,1216
SSC10207,33,17,95,901,1135,646,549,1157,376,4772
SSC10208,6,3,15,109,147,67,59,108,66,561
SSC10209,0,0,3,18,22,15,15,33,13,119
SSC10210,0,0,3,16,25,16,10,11,14,94
SSC10211,0,0,0,0,0,0,0,0,0,3
SSC10212,0,0,0,0,0,0,0,0,0,0
SSC10213,0,0,0,33,28,25,13,25,38,154
SSC10214,0,0,0,0,0,3,0,0,0,10
SSC10215,0,0,0,3,9,3,3,6,0,23
SSC10216,3,0,13,46,94,46,48,54,30,323
SSC10217,0,0,0,0,0,0,0,0,0,0
SSC10218,0,0,0,27,33,17,16,21,19,132
SSC10219,0,0,0,0,0,0,0,0,0,4
SSC10220,0,0,4,16,17,10,5,7,8,64
SSC10221,0,0,0,0,4,3,4,11,0,21
SSC10222,0,0,0,6,16,4,3,30,18,72
SSC10223,32,24,63,225,329,152,145,295,123,1263
SSC10224,120,25,197,1390,1356,623,641,2482,514,7000
SSC10225,0,0,0,0,3,0,0,0,0,3
SSC10226,0,0,0,9,16,8,15,8,16,69
SSC10227,329,157,681,2006,2512,1270,1001,2296,884,9970
SSC10228,11,68,113,261,353,223,169,312,240,1557
SSC10229,46,16,84,216,308,114,118,356,223,1335
SSC10230,0,0,0,9,13,4,3,0,0,30
SSC10231,99,30,223,1349,1691,602,432,1282,675,6032
SSC10232,21,12,49,187,265,154,110,260,152,1118
SSC10233,252,117,592,7148,8188,3868,2992,5703,1145,29036
SSC10234,0,0,3,52,53,25,32,30,29,222
SSC10235,4,0,6,118,153,114,72,95,44,597
SSC10236,0,0,0,0,0,0,0,0,0,0
SSC10237,111,96,317,650,810,423,290,655,303,3136
SSC10238,32,14,110,1490,1692,805,464,1138,293,5888
SSC10239,0,0,3,294,254,47,30,176,57,863
SSC10240,0,0,0,9,11,10,10,16,9,66
SSC10241,0,0,0,15,13,11,7,4,9,52
SSC10242,0,0,0,15,33,25,11,8,24,112
SSC10243,20,3,39,1729,1847,877,625,1390,269,6741
SSC10244,0,0,0,7,21,20,11,21,12,94
SSC10245,0,0,4,35,46,28,18,25,27,175
SSC10246,0,0,0,8,0,10,4,11,10,44
SSC10247,0,0,0,27,29,8,17,21,12,110
SSC10248,3,0,9,85,138,68,67,76,51,476
