SSC_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6
SSC10002,3,3,9,0,17,4,3,3,0,11,0,0,0,0,3,0,0,3,0,3,12,4,5,0,21,9,11,6,0,22,36,7,12,0,58,14,11,15,3,47,26,21,19,6,70,14,47,12,0,73,18,45,13,0,67,18,38,12,0,78,33,96,13,3,151,22,91,7,3,119,9,69,3,0,85,8,54,4,0,66,12,135,4,0,154,13,87,10,0,114,3,12,5,0,21,263,739,159,15,1177
SSC10003,4,3,6,0,18,6,0,0,0,6,0,3,0,0,4,0,0,10,0,11,39,0,13,0,47,17,3,5,0,21,55,8,20,5,91,23,6,16,3,47,40,16,23,7,85,35,23,19,0,71,18,23,23,4,57,39,27,15,0,80,70,52,21,5,147,46,67,12,0,127,39,47,8,0,96,46,55,10,0,116,132,205,7,0,348,36,80,20,0,140,14,7,0,0,20,662,614,230,29,1532
SSC10004,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,10,0,7,0,17,10,0,3,0,13,3,7,0,0,11,7,5,0,0,20,6,10,3,0,25,10,9,0,0,21,11,28,0,0,42,13,22,3,0,41,7,22,0,0,35,0,19,0,0,15,3,17,0,0,24,4,23,5,0,36,3,0,0,0,4,99,170,37,4,310
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,8
SSC10006,7,0,6,0,9,0,0,0,0,3,0,0,7,0,8,3,0,13,0,16,10,3,15,0,23,3,3,25,0,39,38,9,34,0,88,21,13,17,3,60,19,24,19,0,64,24,17,12,4,51,10,30,9,0,50,11,23,5,0,42,32,36,4,0,66,6,19,0,0,30,5,9,0,0,13,0,3,0,0,6,0,6,0,0,6,11,27,18,0,55,10,10,6,0,20,220,238,187,8,657
SSC10007,3,0,0,0,6,3,0,3,0,4,3,0,5,0,8,0,0,8,0,7,9,0,5,0,11,5,7,13,0,25,30,4,7,0,44,18,5,12,3,36,22,18,5,0,45,14,14,3,0,32,13,24,5,0,38,23,22,0,0,42,26,37,9,4,74,11,33,0,0,48,11,17,0,0,31,9,12,0,0,17,4,16,0,0,23,17,29,8,0,55,8,0,3,0,12,218,241,84,9,546
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,18,0,0,26
SSC10009,4,0,0,0,5,0,0,3,0,4,0,0,3,0,5,3,0,13,0,11,21,0,18,0,40,7,8,22,5,39,41,7,27,0,76,27,12,35,3,79,32,27,25,0,94,42,64,21,0,127,34,54,8,0,92,32,66,13,0,116,72,142,17,0,231,52,133,4,0,191,35,68,3,0,103,11,41,3,0,60,18,73,0,0,94,32,89,20,0,142,3,3,3,0,9,469,789,236,20,1513
SSC10010,3,0,0,0,6,4,0,0,0,5,0,3,5,0,8,0,0,8,0,8,10,0,10,0,24,13,3,15,0,34,39,11,19,6,69,18,14,11,3,44,26,21,7,0,58,25,25,8,0,64,20,33,6,0,57,9,31,3,0,47,20,38,4,0,61,20,28,3,0,55,4,7,0,0,14,0,13,0,0,9,0,9,0,0,13,11,32,12,0,54,0,3,3,0,10,238,271,111,10,632
