SSC_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SSC10001,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,9,..,19,21
SSC10002,1180,4130,6,25,7,18,20,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1203,4179,42,..,1240,4179
SSC10003,623,1799,29,79,299,691,328,765,503,936,391,793,290,645,0,0,1184,2375,0,0,0,0,0,0,10,25,10,25,12,36,2165,4990,188,..,2351,4990
SSC10004,336,1016,11,34,0,4,14,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,1056,22,..,372,1056
SSC10005,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,5,..,15,24
SSC10006,734,1949,162,302,13,32,172,337,3,14,0,0,0,0,0,0,3,14,0,0,0,0,0,0,3,4,3,4,4,14,917,2308,102,..,1016,2308
SSC10007,665,1731,8,11,0,0,8,11,44,72,0,0,0,0,0,0,44,72,0,0,42,56,0,0,3,0,40,59,3,6,767,1888,115,..,876,1888
SSC10008,28,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,91,7,..,39,91
SSC10009,1591,4874,135,292,0,3,132,298,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,0,0,5,6,7,1734,5183,110,..,1847,5183
SSC10010,786,2113,21,33,0,0,21,33,3,19,0,0,0,0,0,0,3,19,0,5,0,0,0,0,0,5,4,10,0,13,819,2183,78,..,894,2183
SSC10011,86,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,275,0,..,88,275
SSC10012,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,..,10,7
SSC10013,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,42,4,..,17,42
SSC10014,235,864,381,1245,455,1524,835,2770,37,122,0,0,0,0,0,0,37,122,0,0,0,0,0,0,0,0,0,0,4,9,1106,3764,15,..,1126,3764
SSC10015,129,269,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,3,7,133,282,78,..,213,282
SSC10016,1625,4421,167,270,213,419,383,683,247,380,89,149,22,36,0,0,362,569,0,0,0,0,0,0,5,13,5,13,21,27,2391,5718,247,..,2642,5718
SSC10017,1808,4976,5,16,23,45,30,60,46,87,7,5,0,0,6,6,60,101,0,0,0,0,0,0,0,0,0,0,0,0,1901,5135,158,..,2055,5135
SSC10018,354,831,3,3,0,0,3,3,14,25,0,4,0,0,0,0,15,26,3,3,0,0,0,0,0,4,6,4,3,3,378,872,57,..,433,872
SSC10019,27,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,75,9,..,39,75
SSC10020,20,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,46,5,..,21,46
SSC10021,252,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,251,827,19,..,275,827
SSC10022,684,2080,76,197,166,413,245,613,3,9,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,3,9,939,2705,56,..,993,2705
SSC10023,44,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,122,33,..,74,122
SSC10024,25,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,62,11,..,35,62
SSC10025,3686,11407,349,672,177,412,530,1088,12,20,0,0,0,0,0,0,14,25,0,0,0,0,0,0,3,10,3,10,11,14,4237,12543,246,..,4482,12543
SSC10026,1911,5420,299,553,130,274,429,828,17,35,0,0,0,0,0,0,17,35,0,0,0,0,0,0,3,3,3,3,57,83,2424,6377,150,..,2579,6377
SSC10027,1242,2968,410,638,182,304,595,940,50,68,22,34,29,35,0,0,102,136,0,0,0,0,0,0,15,37,15,37,9,15,1961,4093,443,..,2401,4093
SSC10028,249,641,0,0,3,3,3,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,248,650,18,..,270,650
SSC10029,66,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,67,161,19,..,88,161
SSC10030,122,314,434,905,793,2064,1224,2972,98,178,530,974,1577,3013,0,0,2205,4166,0,0,0,0,0,0,16,30,16,30,26,41,3592,7525,354,..,3944,7525
SSC10031,901,3016,0,3,12,27,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908,3043,44,..,952,3043
