POA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
POA2000,21,15,6,4,11,3,56,8,0,3,0,0,0,14,0,3,0,0,0,0,5,4,0,0,0,0,0,10,5,3,3,0,0,3,12,8,3,0,0,0,0,12,18,5,4,0,8,0,30,12,3,0,0,0,0,15,11,8,3,3,0,0,33,13,3,3,0,3,0,21,12,4,4,0,0,0,15,39,19,6,0,8,6,78,20,6,0,3,0,0,32,19,7,3,0,0,0,33,25,12,8,4,4,4,61,90,35,13,4,8,10,163,35,23,12,0,4,0,77,56,33,11,6,15,3,118,17,4,6,3,0,3,33,415,184,85,40,61,36,811
POA2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2007,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,3,0,0,0,0,11,3,0,0,0,0,0,9,7,3,0,0,0,0,9,6,6,0,0,0,0,13,3,7,0,0,0,3,9,8,7,0,0,0,0,12,5,5,0,0,0,3,17,20,11,0,0,0,0,36,6,0,0,0,0,0,8,3,11,0,0,0,0,15,11,8,3,0,0,0,21,23,8,7,0,0,0,36,5,4,4,0,0,0,18,4,7,0,0,0,0,11,3,0,0,0,0,0,3,112,74,25,11,14,6,239
POA2008,9,4,0,0,0,3,14,0,0,0,0,0,0,5,3,0,0,0,0,0,3,3,0,0,0,0,3,4,8,0,0,0,0,0,7,3,0,0,0,0,0,3,5,3,0,0,0,0,11,9,0,0,0,0,0,15,9,3,0,0,0,3,14,4,6,0,0,4,0,18,0,0,0,0,0,0,5,16,8,3,0,0,0,27,4,4,0,0,0,3,10,11,4,0,0,3,3,25,26,11,3,3,0,0,44,35,16,5,0,3,3,61,21,12,3,3,3,0,47,12,15,0,3,0,0,35,7,0,0,0,0,0,17,204,96,16,13,15,21,366
POA2009,15,14,3,3,6,0,48,0,0,0,0,0,0,0,3,5,0,0,0,0,3,3,0,0,0,0,0,3,3,3,4,0,0,0,9,3,4,3,0,0,0,6,18,0,4,4,0,0,30,9,6,0,0,0,0,22,19,10,3,0,5,0,28,9,13,0,0,0,0,27,13,12,4,3,0,0,25,25,24,7,6,6,0,65,11,6,3,0,0,0,28,19,13,0,3,4,0,39,23,19,3,0,0,0,54,70,39,3,0,5,4,117,41,30,6,3,3,0,77,73,33,12,7,3,3,128,10,9,3,0,0,4,25,368,237,59,31,33,19,742
POA2010,36,9,12,5,4,0,58,3,0,0,0,3,0,7,9,3,0,0,0,0,19,9,3,0,0,0,0,10,5,3,3,0,0,3,16,17,6,0,3,0,0,27,35,6,3,0,0,0,40,27,3,3,0,0,0,38,33,5,0,3,3,0,45,32,11,3,3,0,0,50,23,10,0,3,4,0,42,64,27,3,0,6,0,101,20,14,0,3,0,0,38,52,8,3,4,0,0,67,75,19,8,0,3,0,99,182,67,10,7,3,5,269,100,43,12,11,3,0,166,157,62,8,5,4,3,249,26,17,3,4,0,3,54,894,316,72,59,50,21,1409
POA2011,22,5,4,0,0,0,30,0,0,0,0,0,0,3,6,0,0,0,0,0,6,4,0,0,0,0,0,11,11,0,0,0,0,0,13,15,0,0,3,0,0,17,11,9,3,0,0,0,21,16,3,0,3,3,0,26,14,4,0,4,0,0,17,22,3,0,0,0,0,26,12,3,3,0,3,0,25,50,12,3,3,5,0,67,13,3,0,0,0,0,19,16,4,0,0,0,0,24,36,5,0,0,3,0,46,83,25,4,3,4,0,122,58,20,3,3,3,0,88,79,20,8,3,5,0,113,17,3,0,0,0,0,22,486,121,33,26,33,3,695
POA2015,14,8,0,0,0,0,27,6,0,0,0,0,0,5,0,0,0,0,0,0,7,3,3,0,0,0,0,9,3,3,0,0,4,0,8,3,4,0,0,3,0,13,20,9,0,0,0,0,27,15,16,0,3,3,0,37,8,8,0,0,0,0,20,16,19,3,0,5,0,44,20,15,3,6,0,0,43,44,31,8,6,3,3,98,24,17,0,0,0,0,39,27,27,0,0,4,0,58,51,23,3,3,0,0,84,107,90,6,4,3,0,213,46,54,3,0,0,0,103,40,42,4,0,3,0,87,7,12,3,0,0,0,24,459,369,44,30,31,12,945
POA2016,13,6,3,0,3,0,25,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,6,0,0,0,0,6,3,0,0,0,0,0,9,12,3,0,0,0,0,14,7,3,0,0,4,0,14,14,11,3,3,3,0,33,12,10,0,0,0,0,25,16,8,0,0,5,0,32,14,4,0,0,0,0,25,30,20,9,0,0,6,68,17,8,0,3,0,0,25,16,13,0,0,0,0,30,32,12,5,6,0,0,61,99,62,5,3,5,3,182,55,35,0,3,0,0,105,34,38,8,0,0,0,79,11,8,0,0,0,0,23,394,253,37,30,33,11,749
POA2017,33,11,0,0,0,13,63,3,0,3,0,0,0,10,6,0,0,0,3,0,13,4,3,0,0,0,3,8,10,9,0,0,0,0,20,19,12,5,0,0,3,34,17,12,0,0,5,0,31,13,6,0,0,3,0,32,27,13,3,3,0,3,48,39,17,5,0,4,0,62,36,13,0,3,0,3,56,86,50,11,6,9,9,169,39,24,0,4,4,6,79,60,25,3,4,5,3,103,72,46,3,6,8,7,145,192,99,17,8,10,14,336,54,36,3,0,0,0,101,45,20,4,0,0,3,75,17,20,3,0,5,0,40,779,414,54,46,58,59,1404
