POA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA2000,3,3,0,0,9,5,0,18,0,0,3,0,3,12,0,17,37,17,14,0,67,19,15,97,36,19,11,0,70,33,15,111,3,0,0,0,3,5,0,13,11,0,4,0,15,11,0,30,2891,891,349,347,4474,2608,1789,8864,0,0,0,0,0,0,0,0,2904,895,351,350,4494,2623,1796,8909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,31,0,3,0,0,3,0,0,7,3,3,0,0,3,32,3,37,7,3,4,3,10,14,4,31,2951,920,364,351,4589,2703,1816,9111
POA2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4
POA2007,0,0,0,0,0,5,0,5,4,5,0,0,10,3,10,25,53,32,19,3,106,60,46,209,57,40,21,3,121,61,54,234,25,12,3,4,44,27,17,85,96,39,24,11,173,128,106,399,502,172,67,62,810,674,620,2099,0,0,0,0,0,0,0,0,624,220,101,77,1018,821,741,2587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,10,7,30,683,260,125,83,1149,901,805,2855
POA2008,17,18,0,0,30,6,14,52,22,9,0,0,29,14,20,57,212,111,36,24,388,194,303,885,233,114,43,23,419,211,321,947,20,3,0,0,29,45,13,85,150,33,15,8,202,192,112,512,715,88,58,90,962,1265,614,2839,0,0,0,0,0,0,0,0,888,124,77,98,1194,1503,739,3434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,9,16,5,31,10,0,0,0,7,16,5,30,10,8,0,0,16,25,15,49,1152,262,121,126,1664,1763,1105,4520
POA2009,20,4,7,0,31,15,10,58,17,3,0,0,22,10,8,42,91,76,22,10,199,60,40,307,114,77,22,10,226,70,55,350,8,0,7,0,17,7,0,25,61,26,13,8,103,80,44,226,1591,703,281,92,2673,1368,658,4691,3,0,0,0,3,0,0,3,1658,736,303,98,2789,1452,694,4946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,0,0,4,3,0,5,5,3,0,0,10,3,3,13,1792,818,333,109,3060,1547,764,5363
POA2010,15,7,4,0,33,9,11,52,106,36,11,3,161,94,48,304,816,397,150,50,1418,744,686,2842,919,438,164,57,1580,837,736,3149,180,32,19,4,237,344,95,675,396,68,47,9,519,662,159,1345,2316,333,135,78,2858,3314,671,6850,3,0,0,0,3,0,0,3,2893,436,200,94,3617,4319,931,8869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,14,25,7,44,6,3,3,0,16,24,7,49,18,12,3,0,36,60,17,115,3857,899,376,154,5275,5253,1698,12234
POA2011,13,11,6,0,22,10,3,41,3,0,3,0,8,8,0,14,206,59,87,14,368,332,108,808,208,63,91,14,379,338,108,824,59,16,14,7,95,143,27,269,367,52,36,15,468,795,124,1390,2033,331,172,50,2595,3866,547,7011,0,0,0,0,0,0,0,0,2465,398,223,70,3154,4806,704,8663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,23,3,40,8,0,0,0,11,24,3,40,13,3,3,0,15,51,4,75,2701,474,323,88,3584,5234,819,9642
POA2015,44,49,8,3,106,36,21,168,179,103,36,7,323,158,60,537,277,270,80,12,637,155,129,922,461,367,120,20,965,315,186,1464,33,22,13,0,70,56,23,149,235,58,22,9,326,198,123,642,648,188,83,28,947,592,226,1761,0,0,0,0,0,0,0,0,921,266,116,37,1337,848,371,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,6,3,3,16,7,5,0,0,6,3,3,16,9,8,0,0,11,19,6,38,1435,696,243,60,2430,1215,589,4235
POA2016,18,8,3,0,25,16,5,49,103,55,19,3,186,106,51,341,325,275,102,33,733,277,317,1335,431,328,119,37,920,386,370,1676,50,3,7,4,67,85,17,170,245,46,67,22,384,489,125,1001,797,179,80,44,1099,1230,447,2773,0,0,0,0,0,3,0,4,1102,232,150,69,1551,1811,585,3945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,16,26,17,58,12,3,0,0,20,26,17,57,12,8,0,0,20,16,12,46,1570,579,277,105,2532,2251,992,5771
POA2017,11,0,5,3,17,7,0,30,44,40,16,9,107,64,30,209,148,141,164,23,471,180,99,747,187,183,180,28,583,245,128,957,36,5,5,0,53,123,24,200,142,54,89,9,285,359,47,695,2815,870,383,184,4251,2739,1775,8769,0,0,0,0,0,0,0,0,2995,925,475,195,4594,3222,1852,9661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,3,5,11,0,7,0,0,10,3,5,11,3,0,3,0,6,21,5,33,3201,1112,659,233,5204,3490,1992,10688
