POA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2000,0,3,0,5,0,0,0,0,0,9,0,0,27,144,16,16,3,0,0,206,0,0,5,30,3,4,3,4,0,47,0,0,3,33,4,5,6,8,3,61,0,0,17,76,13,12,5,3,0,127,0,0,6,43,13,16,5,4,0,83,0,0,0,3,0,0,3,0,0,9,0,0,6,27,3,0,4,0,0,45,0,0,88,318,12,19,12,0,0,447,10,9,504,3197,84,15,7,0,0,3828,0,0,0,0,4,0,0,0,0,6,0,0,6,33,6,8,0,0,0,54,7,13,27,118,37,26,15,3,0,250,0,8,156,203,29,26,7,3,0,435,0,0,5,20,5,3,3,0,0,34,0,0,0,5,0,0,0,0,0,13,13,4,217,665,81,62,38,18,14,1118,102,88,756,2123,425,288,185,60,28,4050,697,550,5829,14826,2142,1674,1108,428,159,27411
POA2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,5,0,0,17,5,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,16,0,3,121,13,3,0,0,0,0,146,0,19,1132,74,12,12,6,3,0,1259
POA2007,0,0,3,0,3,0,0,0,0,6,0,5,9,62,6,5,3,0,0,91,0,0,0,12,0,3,0,0,0,21,0,0,0,8,0,0,3,3,0,12,0,0,26,24,4,8,3,0,0,61,0,0,3,12,3,7,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,3,16,0,0,0,0,0,27,0,3,25,90,9,3,0,0,0,133,0,0,47,364,18,7,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,9,0,0,15,19,0,4,0,0,0,48,0,0,47,79,5,11,3,0,4,154,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,3,4,139,263,14,8,7,3,0,443,35,25,341,515,69,50,38,20,8,1094,200,173,3441,3846,479,333,219,113,42,8845
POA2008,0,0,3,0,3,0,0,0,0,8,0,0,21,70,4,9,4,3,0,110,0,0,0,16,0,4,0,0,0,25,0,0,3,15,4,0,0,0,0,17,0,0,65,75,10,4,0,0,0,157,0,0,15,23,3,3,0,0,0,47,0,0,0,3,3,0,0,0,0,5,0,0,16,16,3,0,0,0,0,32,0,0,34,86,7,0,0,0,0,124,0,0,45,268,13,0,0,0,0,328,0,0,0,4,0,0,0,0,0,6,0,0,0,9,4,0,0,0,0,18,0,0,37,84,10,0,3,0,0,133,3,4,64,74,14,16,7,4,0,179,0,0,0,3,0,0,0,0,0,5,0,0,5,3,0,0,0,0,0,5,0,3,134,387,26,14,17,0,0,583,16,16,453,620,79,61,50,6,4,1316,207,201,4584,5208,680,473,262,75,20,11712
POA2009,0,0,0,9,0,0,0,0,0,8,0,0,15,110,30,20,4,0,0,174,0,0,0,31,4,10,8,0,0,52,0,0,8,30,11,11,9,3,0,70,0,0,7,55,8,9,4,5,0,84,0,0,3,35,16,4,3,0,0,61,0,0,0,11,3,3,0,0,0,15,0,0,3,16,0,6,3,0,0,30,3,4,12,78,11,3,6,0,0,114,3,3,22,220,29,12,0,0,0,287,0,0,0,8,3,3,3,0,0,13,0,0,3,30,3,3,0,0,0,42,4,18,12,72,20,13,13,0,0,155,0,0,17,74,18,19,12,0,0,139,0,0,0,4,3,3,0,0,0,10,0,0,0,6,5,0,0,0,0,10,5,5,158,666,78,49,37,13,7,1017,50,57,151,608,159,152,80,39,4,1294,606,581,1436,6444,1371,1218,808,279,62,12813
POA2010,0,0,3,6,15,4,4,0,0,39,0,3,13,166,38,29,12,0,0,253,0,0,3,63,0,13,11,0,0,92,0,0,3,93,25,26,11,4,3,166,0,0,8,69,21,9,10,0,0,113,0,0,9,149,25,31,13,3,0,228,0,0,0,3,3,3,5,3,3,20,0,0,5,25,13,0,5,0,0,44,0,0,4,78,6,0,0,0,0,90,4,4,99,700,58,21,3,0,0,892,0,0,0,10,5,0,0,0,0,21,0,0,5,26,6,4,6,0,0,49,5,4,47,357,62,33,16,6,0,534,0,0,30,111,21,25,19,9,0,225,0,0,3,28,10,4,0,4,0,51,0,0,0,5,6,0,0,0,0,22,3,8,142,1105,143,87,95,86,36,1701,102,86,395,2130,517,399,232,113,38,4006,691,663,2608,15344,3528,2435,1444,731,294,27734
POA2011,0,0,3,12,7,10,0,0,0,32,0,3,17,117,32,26,7,0,3,204,0,0,7,48,7,10,7,5,0,79,0,0,4,64,20,14,15,12,8,137,0,0,3,58,3,13,3,0,0,83,0,0,7,97,39,20,14,9,0,181,0,0,0,10,5,3,4,7,3,27,0,0,0,16,7,3,0,0,0,25,0,0,3,30,0,5,0,0,0,42,0,4,18,154,29,12,4,0,0,224,0,0,0,0,0,3,3,0,0,7,0,0,0,36,7,3,3,3,0,49,5,9,22,212,47,33,24,4,0,350,0,0,3,34,20,18,7,6,3,94,0,0,3,21,8,0,3,4,3,38,0,0,0,13,0,0,0,0,0,15,6,7,81,816,109,102,95,57,29,1305,53,66,940,2277,468,338,212,118,72,4542,392,395,2315,10770,2591,2151,1462,690,428,21196
POA2015,0,0,0,3,0,0,0,0,0,4,0,5,8,74,10,9,0,0,0,100,0,0,0,17,0,3,0,0,0,16,0,0,0,31,16,6,7,0,0,67,0,4,5,25,3,3,0,0,0,49,0,0,3,44,7,8,3,0,0,65,0,0,0,5,8,0,0,0,0,12,0,0,4,15,3,0,0,0,0,23,0,0,3,25,0,0,0,0,0,31,3,7,5,36,13,7,0,0,0,63,0,0,0,5,3,4,0,0,0,10,0,0,0,4,5,0,0,0,0,9,0,3,10,52,12,9,5,0,0,95,3,0,3,49,15,21,11,6,0,104,0,0,0,9,0,3,0,0,0,13,0,0,0,11,0,0,0,0,0,12,7,13,34,350,64,38,26,7,4,541,44,42,93,460,113,55,24,14,7,843,548,557,964,5339,1244,740,351,139,36,9918
POA2016,0,0,0,12,4,4,0,3,0,22,0,0,5,63,17,7,6,3,0,112,0,0,3,13,8,4,5,3,3,39,0,0,13,30,14,6,3,0,0,70,0,0,17,30,8,3,0,0,0,59,0,0,0,41,12,3,4,0,0,70,0,0,0,3,0,7,5,4,0,22,0,0,0,24,5,3,3,0,0,40,0,0,0,24,4,3,3,0,0,30,0,0,4,90,12,8,8,0,0,129,0,0,0,3,4,0,3,0,0,10,0,3,3,17,3,5,3,5,0,46,4,4,51,106,18,14,3,0,0,208,0,3,27,49,13,13,14,3,0,118,0,0,0,3,4,4,3,0,0,16,0,0,0,0,0,0,0,0,0,4,3,7,67,463,85,85,92,91,34,937,52,26,165,673,201,162,121,91,28,1517,468,446,1446,6239,1703,1309,855,576,177,13213
POA2017,0,0,0,12,0,0,0,0,0,16,0,0,19,121,25,18,14,0,3,214,0,0,0,54,0,10,14,7,0,84,0,0,11,70,8,8,17,0,0,121,3,3,32,84,15,9,5,0,0,146,0,3,9,90,20,15,16,3,0,152,0,0,0,10,0,3,10,4,0,29,0,0,3,24,0,0,4,0,0,35,3,0,20,128,11,8,3,4,0,172,4,0,15,114,17,8,0,0,0,154,0,0,0,4,0,3,0,0,0,9,0,3,6,32,14,3,6,0,0,59,9,12,138,142,21,6,9,0,0,332,0,0,18,67,21,53,19,7,4,190,0,0,3,17,3,0,0,0,0,25,0,0,3,13,6,0,0,0,0,21,30,59,221,1074,129,134,197,167,39,2048,104,98,502,1237,257,254,187,110,35,2791,1035,794,5358,12044,1964,1545,1170,630,153,24695
