POA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
POA2000,125,235,196,1054,23,1626,0,0,0,8,0,8,7445,24,74,29,85,7661,49,5,3,11,0,72,73,9,10,11,0,107,1431,182,156,1115,47,2925,217,0,12,0,0,231,229,4,0,10,7,253,252,26,13,109,6,407,107,19,10,29,0,164,42,5,0,3,0,55,899,3,4,0,4,914,351,55,44,567,18,1031,417,39,18,73,3,547,1365,0,5,0,7,1378,90,9,13,14,0,127,14,0,0,0,0,16,17,4,8,10,0,38,24,3,4,0,0,31,54,4,3,0,3,66,83,3,3,14,0,102,127,10,7,6,0,150,221,56,56,342,9,682,32,3,3,3,0,44,29,0,0,3,0,36,181,4,4,4,0,186,52,0,3,0,3,54,58,0,0,0,0,58,461,0,11,0,7,475,40,8,5,25,0,81,7402,66,71,84,55,7675,205,3,4,17,3821,4050,19986,461,435,2472,4055,27411
POA2006,14,76,53,314,0,454,0,0,0,4,0,4,77,3,3,0,0,81,0,0,0,0,0,7,5,3,0,5,0,17,90,56,54,270,3,474,0,0,0,0,0,3,3,0,0,4,0,12,12,6,5,27,0,52,0,3,0,6,0,11,0,0,0,0,0,3,22,0,0,0,0,20,32,29,24,147,0,232,8,5,3,34,0,47,12,0,0,0,0,16,3,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,11,0,3,0,0,12,3,0,0,3,0,8,3,0,3,0,0,5,26,15,23,102,0,167,0,0,0,0,0,0,10,0,0,0,0,17,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,7,0,14,40,21,20,15,0,95,5,0,0,3,148,154,299,126,107,579,147,1259
POA2007,30,93,101,350,6,588,3,3,0,8,0,19,3642,15,25,10,19,3709,14,0,0,0,0,11,35,3,5,7,0,52,350,76,56,359,18,854,94,0,4,3,3,106,108,0,0,3,0,108,61,7,9,33,0,113,15,9,3,6,0,32,16,0,0,3,0,22,270,0,3,0,0,272,99,16,21,170,0,299,129,14,11,17,0,165,330,0,3,0,0,338,22,0,0,5,0,29,6,0,0,0,0,8,9,0,0,4,0,18,9,0,0,0,0,14,25,4,3,0,0,36,37,3,0,7,0,45,39,0,0,3,0,40,55,17,24,104,0,205,13,0,0,0,0,15,14,0,0,0,0,16,78,0,0,6,0,81,22,0,0,0,0,22,19,0,0,3,4,23,154,0,0,0,0,162,7,0,0,7,0,14,1461,32,39,27,11,1573,39,0,3,11,1025,1083,6615,182,186,782,1090,8845
POA2008,53,189,192,796,11,1236,0,3,0,16,0,26,4127,15,29,23,17,4207,18,6,0,6,0,31,59,6,10,15,0,90,659,197,156,856,19,1884,114,3,8,0,0,128,100,10,7,18,0,140,131,28,18,113,3,287,42,9,5,19,0,82,22,7,3,6,0,36,267,5,3,5,0,276,199,75,43,458,9,780,185,21,16,77,0,287,208,0,0,0,0,211,37,6,11,8,0,54,13,0,0,3,0,17,4,4,0,10,0,19,15,0,0,3,0,19,67,6,7,4,0,81,51,10,0,15,0,75,57,5,3,4,0,66,130,41,62,350,0,587,6,0,0,0,0,15,23,6,3,0,0,29,120,3,3,0,0,126,49,0,0,0,0,50,24,0,3,0,0,29,198,0,0,0,0,202,16,3,5,21,0,45,1725,63,63,82,11,1931,39,3,0,12,1277,1326,7733,409,363,1872,1330,11712
POA2009,55,247,256,1192,34,1795,0,0,0,19,0,21,2167,29,73,44,35,2343,25,7,6,7,0,42,61,10,7,31,0,113,1061,164,165,1126,38,2555,208,6,9,3,3,235,171,9,4,19,0,199,146,25,26,114,4,320,85,18,9,34,0,144,35,11,3,5,0,51,470,10,8,6,4,492,332,54,50,556,11,1009,443,55,18,98,0,617,525,10,11,5,9,559,70,10,4,16,0,96,31,3,0,4,0,35,17,12,3,6,0,40,21,4,4,10,0,33,72,12,12,3,0,100,91,6,11,16,0,129,100,0,8,12,0,121,264,43,45,358,11,714,67,4,0,4,0,80,25,3,6,0,0,39,153,0,3,0,0,158,46,3,0,0,0,49,61,5,0,0,0,65,181,6,6,3,3,196,26,8,5,22,0,60,2050,85,91,80,21,2316,69,3,0,17,1136,1227,7932,514,506,2581,1280,12813
POA2010,152,744,514,3003,46,4460,3,3,0,30,3,39,1905,63,59,65,20,2116,83,10,3,17,0,115,250,60,34,62,3,404,2958,763,505,3615,82,7929,259,3,35,3,0,304,495,35,18,50,3,603,486,90,57,371,14,1015,285,58,30,113,6,502,97,16,9,31,0,150,394,15,10,7,3,425,1037,261,170,1940,25,3431,719,153,49,253,7,1181,232,7,3,3,0,243,84,20,15,44,0,159,46,4,0,0,0,59,87,22,13,37,0,161,86,10,3,0,5,103,184,32,29,15,4,258,222,30,18,63,3,336,224,20,8,36,0,286,730,228,141,1210,30,2336,65,4,0,6,0,78,118,12,5,3,0,131,334,11,14,19,3,377,64,3,4,0,0,72,60,6,0,0,0,67,266,4,8,4,0,283,104,22,10,68,0,207,3982,235,195,243,30,4686,118,11,4,46,3926,4099,13206,1709,1137,7537,4140,27734
POA2011,110,527,421,2425,41,3524,0,3,4,34,0,38,750,32,38,31,3,850,65,16,4,21,0,109,162,25,17,49,0,256,2131,567,438,3129,61,6325,222,8,27,0,0,255,326,18,13,65,7,434,433,57,42,315,11,848,152,40,16,77,0,287,81,19,7,17,0,133,278,7,8,4,0,298,709,208,133,1695,28,2770,532,92,48,205,7,881,128,0,4,0,3,136,82,17,10,28,0,129,37,9,0,0,0,42,30,10,3,25,0,70,70,5,3,3,0,84,177,21,12,7,0,210,188,21,13,43,3,272,165,17,6,14,3,206,566,156,119,1039,15,1894,47,7,3,0,0,58,85,4,8,6,0,103,254,3,12,19,3,290,31,3,6,0,0,39,70,3,0,0,0,74,118,0,4,0,0,125,76,22,11,46,0,154,2139,167,130,215,18,2676,65,9,3,36,4418,4537,8226,1209,899,6277,4587,21196
POA2015,71,402,295,1659,33,2455,0,7,0,56,0,63,765,31,39,36,6,879,38,10,0,15,0,66,54,25,16,44,4,143,901,347,250,1514,31,3048,110,9,20,0,0,144,107,20,4,26,3,160,133,37,33,172,3,382,99,34,11,57,3,205,22,15,10,13,0,60,133,8,4,4,3,156,361,141,68,830,17,1423,186,56,20,134,3,399,61,0,0,3,0,64,49,9,14,21,0,91,24,0,3,3,0,36,21,12,10,24,0,64,49,8,0,3,0,64,106,19,10,3,0,136,51,14,9,20,0,100,61,0,9,15,4,85,252,91,69,517,7,943,42,3,3,4,0,46,29,3,0,0,0,34,93,5,3,9,0,109,33,3,6,3,0,35,16,0,0,0,0,16,173,0,0,6,3,188,29,8,0,31,0,71,1064,123,108,110,11,1421,27,0,0,32,791,846,4127,797,579,3520,890,9918
POA2016,92,427,280,1680,36,2513,3,6,3,68,4,80,1176,24,36,36,8,1276,53,8,3,8,3,75,73,29,10,45,0,156,1171,394,273,1825,46,3703,120,4,18,4,0,144,169,17,12,29,4,232,211,44,31,195,15,499,214,25,14,57,5,317,46,8,3,19,3,80,206,6,4,4,0,218,463,129,106,971,22,1689,256,53,22,116,6,451,117,0,0,3,0,125,156,25,0,34,0,215,18,0,5,0,0,21,30,6,6,13,0,67,66,3,6,0,4,80,105,8,18,3,3,136,86,12,11,19,0,135,145,5,10,8,0,172,305,87,84,619,25,1118,68,0,3,3,0,81,36,14,0,0,0,54,157,3,0,5,0,172,41,0,0,0,0,40,62,0,0,0,0,59,131,3,4,0,0,142,41,7,4,36,0,89,1688,124,98,154,20,2093,68,7,3,41,1393,1511,6199,861,616,3992,1548,13213
POA2017,137,421,345,2046,56,3001,3,9,3,117,0,133,6835,40,53,40,32,6997,74,11,3,11,0,100,130,28,22,38,0,217,1865,401,321,2048,58,4686,250,3,28,3,8,296,180,7,3,28,3,230,359,45,40,209,4,655,170,47,19,81,3,321,62,9,0,10,0,81,354,11,6,4,0,370,863,134,68,1056,16,2144,445,78,37,152,4,721,489,3,6,3,3,508,98,12,7,26,3,155,44,4,3,0,0,47,31,14,6,18,0,74,73,18,10,8,0,109,125,20,16,10,4,177,165,16,7,31,0,223,447,8,8,18,4,483,448,101,78,607,19,1261,88,8,4,4,3,105,80,12,3,3,0,90,211,4,3,8,3,235,49,3,3,3,0,59,93,5,9,3,0,105,275,4,7,6,3,290,59,15,6,42,0,117,3187,161,120,158,28,3666,108,5,8,33,2608,2756,15537,965,718,4636,2834,24695
