POA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
POA2000,6,5,3,8,20,10,5,101,0,3,6,9,0,9,7,14,6,12,22,39,43,36,31,225,0,0,0,3,9,21,48,43,16,24,39,44,55,68,58,426,0,0,0,0,19,42,145,209,70,84,105,122,170,201,177,1330,0,0,0,7,8,9,5,4,0,0,3,0,0,0,3,43,0,0,7,14,49,62,56,65,19,17,27,15,40,17,24,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,3,4,3,0,0,0,3,0,8,6,0,41,0,0,7,28,34,47,57,34,5,12,19,7,20,17,11,303,0,0,0,0,0,3,4,3,8,0,3,6,3,8,4,41,0,0,0,3,20,43,28,31,9,16,8,14,20,12,7,206,0,0,3,0,9,0,10,5,4,0,3,3,7,4,5,47,0,0,0,3,11,17,27,23,7,4,9,5,8,0,11,127
POA2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,5,12,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,5
POA2007,3,0,5,0,5,0,0,26,0,0,0,0,0,0,0,5,5,5,4,13,18,6,5,64,0,0,0,0,3,13,25,17,4,3,11,4,13,18,34,143,0,0,0,0,4,3,44,57,16,22,16,23,30,51,45,312,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,11,0,0,0,3,7,17,32,16,8,6,11,13,23,17,15,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,3,24,0,0,0,5,12,16,28,11,10,9,3,3,7,9,6,109,0,0,0,0,0,0,3,0,0,0,4,0,5,3,0,23,0,0,0,0,12,22,12,8,6,3,3,3,6,13,3,91,0,0,0,0,0,3,3,6,0,0,0,3,0,0,0,21,0,0,0,0,8,3,12,11,0,0,4,15,8,8,0,61
POA2008,0,4,5,0,3,0,0,25,0,3,0,3,0,0,6,3,5,7,7,8,13,8,4,77,0,0,0,0,3,7,12,18,6,3,5,7,13,14,9,101,0,0,0,0,4,9,23,38,8,8,11,27,24,29,10,185,0,3,4,0,0,0,0,0,0,0,0,3,0,3,0,21,0,0,3,7,10,21,15,27,4,14,21,33,34,32,4,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,6,0,3,26,0,0,3,13,32,30,37,15,11,9,12,10,20,6,3,194,0,0,0,0,0,0,0,3,0,0,0,9,7,3,0,18,0,0,0,0,8,24,13,16,3,3,7,3,12,12,0,110,0,0,0,0,4,0,0,6,0,3,0,3,0,0,0,25,0,0,0,3,0,13,21,19,3,4,19,18,27,19,4,157
POA2009,7,8,6,0,14,3,3,100,0,5,16,3,5,3,7,23,6,19,28,27,26,16,17,207,0,0,0,0,3,22,38,26,4,6,17,22,32,33,31,234,0,0,0,3,11,25,64,80,22,35,38,45,67,66,48,505,0,0,0,3,3,7,4,3,0,0,0,0,0,0,0,26,0,0,8,19,46,42,60,36,4,0,6,12,3,3,8,245,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,3,3,6,0,0,3,3,3,9,3,39,0,3,3,17,41,22,72,52,21,15,16,14,20,11,12,315,0,0,0,0,0,3,0,3,0,4,0,0,5,0,0,21,0,0,0,6,20,54,26,16,3,7,7,10,13,14,8,174,0,0,0,3,10,6,3,9,4,0,0,3,3,3,0,52,0,0,4,4,8,12,22,14,3,0,0,5,4,0,3,84
POA2010,28,34,16,20,30,23,0,307,0,12,14,26,10,0,16,36,13,37,35,38,32,9,14,302,0,0,0,4,5,24,64,35,3,19,12,16,11,15,19,238,0,0,0,0,11,20,43,33,7,21,17,16,17,15,18,217,0,0,0,14,11,8,3,4,0,0,0,0,0,0,3,33,0,0,3,12,36,55,55,13,3,8,10,3,8,6,3,224,0,15,6,5,7,0,5,0,0,0,0,0,0,0,0,42,0,6,6,5,3,3,3,11,12,3,6,12,19,8,5,113,3,3,20,55,137,149,218,104,37,46,54,39,22,25,36,952,0,0,0,0,0,3,3,5,0,0,3,3,0,4,0,29,0,0,0,4,24,81,46,17,13,7,15,16,9,10,9,253,0,0,3,0,18,12,13,8,3,0,4,5,14,4,0,92,0,0,0,6,19,10,42,16,3,0,3,6,4,3,0,113
POA2011,18,10,14,9,11,0,3,170,0,4,18,15,3,5,18,24,15,15,27,36,32,21,15,254,0,0,0,3,7,17,37,18,3,4,5,0,7,3,5,118,0,0,0,0,11,9,26,20,3,6,8,0,0,8,9,112,0,0,0,5,3,3,3,0,0,0,0,0,3,0,0,29,0,0,3,8,30,21,16,18,3,3,8,3,0,0,9,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,4,0,3,7,8,4,3,3,7,9,10,5,87,3,4,15,60,122,146,145,98,24,27,16,36,29,19,23,770,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,12,43,25,36,11,9,5,14,21,18,8,204,3,4,5,3,14,13,8,8,7,3,4,4,7,3,4,79,0,0,3,10,9,14,17,7,3,0,0,4,3,3,11,83
POA2015,9,10,10,3,7,3,3,118,0,3,3,3,0,0,3,7,7,0,10,9,3,0,0,46,0,0,0,3,3,10,16,4,0,3,4,4,3,3,0,43,0,0,0,3,6,10,14,11,0,0,0,0,3,0,0,56,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,20,0,0,0,5,3,14,20,13,0,3,0,3,5,0,4,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,20,0,0,4,8,47,41,101,62,12,17,17,12,13,10,16,365,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,14,36,21,8,0,5,0,0,9,3,0,100,0,0,0,0,4,4,3,3,0,0,0,0,0,0,0,16,0,0,0,0,3,3,7,4,0,4,3,4,0,12,0,49
POA2016,8,8,4,18,15,3,5,145,0,3,5,4,6,0,3,13,9,7,15,12,15,3,3,93,0,0,0,0,0,17,19,6,0,3,3,4,3,3,12,74,0,0,0,0,12,17,19,23,8,3,3,7,5,3,0,98,0,3,20,34,10,8,5,0,0,0,0,0,3,0,0,88,0,0,0,3,11,23,35,14,3,3,9,3,8,3,7,131,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,19,0,5,7,0,4,3,3,3,0,0,0,3,0,0,0,33,0,0,3,21,67,84,97,44,4,17,21,15,21,7,18,436,0,0,0,0,0,0,3,0,0,3,0,3,3,0,0,14,0,0,0,8,22,35,8,8,4,4,0,6,7,10,3,112,0,0,0,6,12,6,3,0,3,0,3,0,0,0,0,39,0,0,3,4,7,7,7,10,0,0,0,8,9,7,0,59
POA2017,68,74,45,36,12,18,8,420,0,5,7,12,6,6,13,24,11,16,23,21,15,12,11,169,0,0,0,0,8,13,29,8,3,8,4,4,3,5,7,88,0,0,0,3,25,48,106,68,24,16,15,28,34,16,21,418,0,0,0,16,9,4,0,4,0,0,0,0,0,0,3,41,0,0,0,10,23,53,74,50,3,3,11,11,13,0,5,247,0,6,6,3,0,0,0,0,0,0,0,0,0,0,0,17,0,4,3,0,0,3,3,7,4,4,0,6,6,0,3,46,0,0,4,37,55,67,113,95,26,32,28,31,41,13,13,558,0,0,0,0,4,0,3,3,0,7,0,3,3,0,0,27,0,0,0,6,28,78,19,25,9,10,11,9,4,11,3,214,0,0,5,5,16,17,17,4,0,3,0,6,7,3,4,84,0,0,0,6,9,10,31,23,10,13,14,11,19,13,0,146
