LGA_NAME16	medianTotalPersonalIncome
Albury (C)	33384
Armidale Regional (A)	29172
Ballina (A)	31252
Balranald (A)	32448
Bathurst Regional (A)	33592
Bega Valley (A)	27976
Bellingen (A)	26780
Berrigan (A)	27248
Blacktown (C)	34944
Bland (A)	30160
Blayney (A)	32240
Blue Mountains (C)	35776
Bogan (A)	32968
Botany Bay (C)	37440
Bourke (A)	37388
Brewarrina (A)	22828
Broken Hill (C)	27404
Burwood (A)	28704
Byron (A)	30992
Cabonne (A)	32812
Camden (A)	42692
Campbelltown (C) (NSW)	32864
Canada Bay (A)	45864
Canterbury-Bankstown (A)	26104
Carrathool (A)	35412
Central Coast (C) (NSW)	31200
Central Darling (A)	23920
Cessnock (C)	28080
Clarence Valley (A)	24804
Cobar (A)	36712
Coffs Harbour (C)	29432
Coolamon (A)	30888
Coonamble (A)	26988
Cowra (A)	26468
Cumberland (A)	26052
Dungog (A)	30056
Edward River (A)	30940
Eurobodalla (A)	26624
Fairfield (C)	22828
Federation (A)	29068
Forbes (A)	29692
Georges River (A)	33280
Gilgandra (A)	27924
Glen Innes Severn (A)	24856
Goulburn Mulwaree (A)	32500
Greater Hume Shire (A)	31200
Griffith (C)	35048
Gundagai (A)	28028
Gunnedah (A)	32136
Gwydir (A)	25428
Hawkesbury (C)	37856
Hay (A)	30524
Hilltops (A)	27976
Hornsby (A)	41236
Hunters Hill (A)	50804
Inner West (A)	49764
Inverell (A)	26468
Junee (A)	31200
Kempsey (A)	24648
Kiama (A)	35516
Ku-ring-gai (A)	48984
Kyogle (A)	23920
Lachlan (A)	28912
Lake Macquarie (C)	31668
Lane Cove (A)	59748
Leeton (A)	31564
Lismore (C)	28600
Lithgow (C)	26520
Liverpool (C)	30368
Liverpool Plains (A)	27716
Lockhart (A)	30420
Maitland (C)	33488
Mid-Coast (A)	24752
Mid-Western Regional (A)	28444
Moree Plains (A)	34788
Mosman (A)	67340
Murray River (A)	29016
Murrumbidgee (A)	34268
Muswellbrook (A)	33280
Nambucca (A)	24284
Narrabri (A)	32864
Narrandera (A)	29900
Narromine (A)	30472
Newcastle (C)	34320
North Sydney (A)	72072
Northern Beaches (A)	47632
Oberon (A)	31772
Orange (C)	34684
Parkes (A)	28808
Parramatta (C)	37544
Penrith (C)	37856
Port Macquarie-Hastings (A)	28080
Port Stephens (A)	29692
Queanbeyan-Palerang Regional (A)	48516
Randwick (C)	43368
Richmond Valley (A)	25532
Rockdale (C)	34632
Ryde (C)	38376
Shellharbour (C)	30108
Shoalhaven (C)	26572
Singleton (A)	35568
Snowy Monaro Regional (A)	35100
Snowy Valleys (A)	30004
Strathfield (A)	35464
Sutherland Shire (A)	43524
Sydney (C)	49556
Tamworth Regional (A)	32916
Temora (A)	28392
Tenterfield (A)	23608
The Hills Shire (A)	43004
Tweed (A)	28028
Upper Hunter Shire (A)	32760
Upper Lachlan Shire (A)	31668
Uralla (A)	28704
Wagga Wagga (C)	36192
Walcha (A)	30004
Walgett (A)	24128
Warren (A)	33748
Warrumbungle Shire (A)	24908
Waverley (A)	59852
Weddin (A)	25584
Wentworth (A)	28860
Western Plains Regional (A)	34320
Willoughby (C)	49192
Wingecarribee (A)	33540
Wollondilly (A)	38376
Wollongong (C)	30368
Woollahra (A)	70980
Yass Valley (A)	45188
Unincorporated NSW	37284
No usual address (NSW)	21060
Migratory - Offshore - Shipping (NSW)	28080
Alpine (S)	29224
Ararat (RC)	28912
Ballarat (C)	30680
Banyule (C)	37856
Bass Coast (S)	26364
Baw Baw (S)	30420
Bayside (C)	46644
Benalla (RC)	27924
Boroondara (C)	45188
Brimbank (C)	25324
Buloke (S)	24596
Campaspe (S)	29172
Cardinia (S)	35360
Casey (C)	33280
Central Goldfields (S)	23504
Colac-Otway (S)	29848
Corangamite (S)	28184
Darebin (C)	33800
East Gippsland (S)	26312
Frankston (C)	34320
Gannawarra (S)	25896
Glen Eira (C)	40560
Glenelg (S)	27872
Golden Plains (S)	32656
Greater Bendigo (C)	31408
Greater Dandenong (C)	24700
Greater Geelong (C)	31200
Greater Shepparton (C)	30576
Hepburn (S)	27664
Hindmarsh (S)	25844
Hobsons Bay (C)	36608
Horsham (RC)	32084
Hume (C)	27508
Indigo (S)	33332
Kingston (C) (Vic.)	36608
Knox (C)	34528
Latrobe (C) (Vic.)	28288
Loddon (S)	24284
Macedon Ranges (S)	36504
Manningham (C)	32708
Mansfield (S)	30160
Maribyrnong (C)	36556
Maroondah (C)	36192
Melbourne (C)	33384
Melton (C)	34216
Mildura (RC)	28860
Mitchell (S)	33696
Moira (S)	27248
Monash (C)	29588
Moonee Valley (C)	38688
Moorabool (S)	33020
Moreland (C)	35360
Mornington Peninsula (S)	32760
Mount Alexander (S)	28600
Moyne (S)	32240
Murrindindi (S)	28756
Nillumbik (S)	40768
Northern Grampians (S)	26676
Port Phillip (C)	56524
Pyrenees (S)	24544
Queenscliffe (B)	34892
South Gippsland (S)	27924
Southern Grampians (S)	29952
Stonnington (C)	54184
Strathbogie (S)	28392
Surf Coast (S)	37544
Swan Hill (RC)	30160
Towong (S)	27820
Wangaratta (RC)	30940
Warrnambool (C)	32136
Wellington (S)	29224
West Wimmera (S)	28860
Whitehorse (C)	32188
Whittlesea (C)	30732
