LGA_NAME16	MaxSchoolingCompleted	adults
Albury (C)	Did not go to school	287
Albury (C)	Year 8	2076
Albury (C)	Year 9	3287
Albury (C)	Year 10	10414
Albury (C)	Year 11	4413
Albury (C)	Year 12	17096
Armidale Regional (A)	Did not go to school	77
Armidale Regional (A)	Year 8	1169
Armidale Regional (A)	Year 9	1651
Armidale Regional (A)	Year 10	5166
Armidale Regional (A)	Year 11	1431
Armidale Regional (A)	Year 12	12270
Ballina (A)	Did not go to school	92
Ballina (A)	Year 8	1672
Ballina (A)	Year 9	2851
Ballina (A)	Year 10	9963
Ballina (A)	Year 11	2414
Ballina (A)	Year 12	14511
Balranald (A)	Did not go to school	15
Balranald (A)	Year 8	183
Balranald (A)	Year 9	186
Balranald (A)	Year 10	439
Balranald (A)	Year 11	208
Balranald (A)	Year 12	514
Bathurst Regional (A)	Did not go to school	98
Bathurst Regional (A)	Year 8	1466
Bathurst Regional (A)	Year 9	2475
Bathurst Regional (A)	Year 10	9053
Bathurst Regional (A)	Year 11	2202
Bathurst Regional (A)	Year 12	14024
Bega Valley (A)	Did not go to school	56
Bega Valley (A)	Year 8	1525
Bega Valley (A)	Year 9	2252
Bega Valley (A)	Year 10	7926
Bega Valley (A)	Year 11	2652
Bega Valley (A)	Year 12	10548
Bellingen (A)	Did not go to school	25
Bellingen (A)	Year 8	528
Bellingen (A)	Year 9	961
Bellingen (A)	Year 10	2991
Bellingen (A)	Year 11	760
Bellingen (A)	Year 12	4217
Berrigan (A)	Did not go to school	25
Berrigan (A)	Year 8	539
Berrigan (A)	Year 9	736
Berrigan (A)	Year 10	1809
Berrigan (A)	Year 11	918
Berrigan (A)	Year 12	2069
Blacktown (C)	Did not go to school	3004
Blacktown (C)	Year 8	12616
Blacktown (C)	Year 9	15160
Blacktown (C)	Year 10	52041
Blacktown (C)	Year 11	15112
Blacktown (C)	Year 12	143974
Bland (A)	Did not go to school	7
Bland (A)	Year 8	319
Bland (A)	Year 9	469
Bland (A)	Year 10	1596
Bland (A)	Year 11	310
Bland (A)	Year 12	1325
Blayney (A)	Did not go to school	8
Blayney (A)	Year 8	341
Blayney (A)	Year 9	497
Blayney (A)	Year 10	1885
Blayney (A)	Year 11	393
Blayney (A)	Year 12	2044
Blue Mountains (C)	Did not go to school	138
Blue Mountains (C)	Year 8	1582
Blue Mountains (C)	Year 9	3601
Blue Mountains (C)	Year 10	15192
Blue Mountains (C)	Year 11	3950
Blue Mountains (C)	Year 12	34409
Bogan (A)	Did not go to school	3
Bogan (A)	Year 8	146
Bogan (A)	Year 9	215
Bogan (A)	Year 10	673
Bogan (A)	Year 11	155
Bogan (A)	Year 12	645
Botany Bay (C)	Did not go to school	556
Botany Bay (C)	Year 8	1904
Botany Bay (C)	Year 9	1514
Botany Bay (C)	Year 10	5515
Botany Bay (C)	Year 11	1745
Botany Bay (C)	Year 12	24186
Bourke (A)	Did not go to school	16
Bourke (A)	Year 8	134
Bourke (A)	Year 9	204
Bourke (A)	Year 10	467
Bourke (A)	Year 11	151
Bourke (A)	Year 12	573
Brewarrina (A)	Did not go to school	7
Brewarrina (A)	Year 8	141
Brewarrina (A)	Year 9	165
Brewarrina (A)	Year 10	365
Brewarrina (A)	Year 11	96
Brewarrina (A)	Year 12	312
Broken Hill (C)	Did not go to school	38
Broken Hill (C)	Year 8	1353
Broken Hill (C)	Year 9	1759
Broken Hill (C)	Year 10	4885
Broken Hill (C)	Year 11	1133
Broken Hill (C)	Year 12	3674
Burwood (A)	Did not go to school	656
Burwood (A)	Year 8	1584
Burwood (A)	Year 9	970
Burwood (A)	Year 10	3034
Burwood (A)	Year 11	1110
Burwood (A)	Year 12	22516
Byron (A)	Did not go to school	58
Byron (A)	Year 8	670
Byron (A)	Year 9	1196
Byron (A)	Year 10	5374
Byron (A)	Year 11	1863
Byron (A)	Year 12	13315
Cabonne (A)	Did not go to school	31
Cabonne (A)	Year 8	652
Cabonne (A)	Year 9	929
Cabonne (A)	Year 10	3285
Cabonne (A)	Year 11	715
Cabonne (A)	Year 12	3912
Camden (A)	Did not go to school	267
Camden (A)	Year 8	2052
Camden (A)	Year 9	4182
Camden (A)	Year 10	17051
Camden (A)	Year 11	4117
Camden (A)	Year 12	28094
Campbelltown (C) (NSW)	Did not go to school	1159
Campbelltown (C) (NSW)	Year 8	5551
Campbelltown (C) (NSW)	Year 9	9109
Campbelltown (C) (NSW)	Year 10	31299
Campbelltown (C) (NSW)	Year 11	8161
Campbelltown (C) (NSW)	Year 12	58394
Canada Bay (A)	Did not go to school	817
Canada Bay (A)	Year 8	3047
Canada Bay (A)	Year 9	2481
Canada Bay (A)	Year 10	9090
Canada Bay (A)	Year 11	2748
Canada Bay (A)	Year 12	50366
Canterbury-Bankstown (A)	Did not go to school	8070
Canterbury-Bankstown (A)	Year 8	19596
Canterbury-Bankstown (A)	Year 9	13987
Canterbury-Bankstown (A)	Year 10	45825
Canterbury-Bankstown (A)	Year 11	13366
Canterbury-Bankstown (A)	Year 12	153256
Carrathool (A)	Did not go to school	13
Carrathool (A)	Year 8	167
Carrathool (A)	Year 9	200
Carrathool (A)	Year 10	638
Carrathool (A)	Year 11	167
Carrathool (A)	Year 12	735
Central Coast (C) (NSW)	Did not go to school	808
Central Coast (C) (NSW)	Year 8	12032
