LGA_NAME16	OnlyEnglishSpokenHome	persons
Stirling (C)	0	57372
Stirling (C)	1	139376
Subiaco (C)	0	4337
Subiaco (C)	1	13691
Swan (C)	0	27736
Swan (C)	1	97071
Tammin (S)	0	14
Tammin (S)	1	335
Three Springs (S)	0	28
Three Springs (S)	1	516
Toodyay (S)	0	155
Toodyay (S)	1	3870
Trayning (S)	0	3
Trayning (S)	1	286
Upper Gascoyne (S)	0	17
Upper Gascoyne (S)	1	226
Victoria Park (T)	0	9430
Victoria Park (T)	1	22385
Victoria Plains (S)	0	37
Victoria Plains (S)	1	789
Vincent (C)	0	7353
Vincent (C)	1	23562
Wagin (S)	0	32
Wagin (S)	1	1639
Wandering (S)	0	10
Wandering (S)	1	384
Wanneroo (C)	0	38255
Wanneroo (C)	1	139269
Waroona (S)	0	235
Waroona (S)	1	3453
West Arthur (S)	0	7
West Arthur (S)	1	729
Westonia (S)	0	16
Westonia (S)	1	246
Wickepin (S)	0	9
Wickepin (S)	1	658
Williams (S)	0	19
Williams (S)	1	872
Wiluna (S)	0	220
Wiluna (S)	1	383
Wongan-Ballidu (S)	0	49
Wongan-Ballidu (S)	1	1231
Woodanilling (S)	0	9
Woodanilling (S)	1	379
Wyalkatchem (S)	0	8
Wyalkatchem (S)	1	442
Wyndham-East Kimberley (S)	0	846
Wyndham-East Kimberley (S)	1	5410
Yalgoo (S)	0	21
Yalgoo (S)	1	254
Yilgarn (S)	0	50
Yilgarn (S)	1	981
York (S)	0	85
York (S)	1	3127
No usual address (WA)	0	585
No usual address (WA)	1	3819
Migratory - Offshore - Shipping (WA)	0	53
Migratory - Offshore - Shipping (WA)	1	309
Break O'Day (M)	0	128
Break O'Day (M)	1	5521
Brighton (M)	0	311
Brighton (M)	1	15088
Burnie (C)	0	552
Burnie (C)	1	17287
Central Coast (M) (Tas.)	0	371
Central Coast (M) (Tas.)	1	19743
Central Highlands (M) (Tas.)	0	27
Central Highlands (M) (Tas.)	1	1969
Circular Head (M)	0	173
Circular Head (M)	1	7144
Clarence (C)	0	2235
Clarence (C)	1	49469
Derwent Valley (M)	0	162
Derwent Valley (M)	1	9202
Devonport (C)	0	728
Devonport (C)	1	22521
Dorset (M)	0	123
Dorset (M)	1	6017
Flinders (M) (Tas.)	0	14
Flinders (M) (Tas.)	1	839
George Town (M)	0	111
George Town (M)	1	6063
Glamorgan/Spring Bay (M)	0	129
Glamorgan/Spring Bay (M)	1	3906
Glenorchy (C)	0	4384
Glenorchy (C)	1	38787
Hobart (C)	0	7592
Hobart (C)	1	39877
Huon Valley (M)	0	562
Huon Valley (M)	1	14537
Kentish (M)	0	199
Kentish (M)	1	5527
King Island (M)	0	71
King Island (M)	1	1383
Kingborough (M)	0	2169
Kingborough (M)	1	32091
Latrobe (M) (Tas.)	0	214
Latrobe (M) (Tas.)	1	9827
Launceston (C)	0	4648
Launceston (C)	1	56019
Meander Valley (M)	0	494
Meander Valley (M)	1	17590
Northern Midlands (M)	0	201
Northern Midlands (M)	1	11645
Sorell (M)	0	298
Sorell (M)	1	13240
Southern Midlands (M)	0	63
Southern Midlands (M)	1	5566
Tasman (M)	0	38
Tasman (M)	1	2065
Waratah/Wynyard (M)	0	218
Waratah/Wynyard (M)	1	12513
West Coast (M)	0	112
West Coast (M)	1	3721
West Tamar (M)	0	895
West Tamar (M)	1	20517
No usual address (Tas.)	0	67
No usual address (Tas.)	1	680
Migratory - Offshore - Shipping (Tas.)	0	10
Migratory - Offshore - Shipping (Tas.)	1	60
Alice Springs (T)	0	4691
Alice Springs (T)	1	16979
Barkly (R)	0	3306
Barkly (R)	1	2662
Belyuen (S)	0	132
Belyuen (S)	1	22
Central Desert (R)	0	2882
Central Desert (R)	1	500
Coomalie (S)	0	96
Coomalie (S)	1	960
Darwin (C)	0	21139
Darwin (C)	1	49114
East Arnhem (R)	0	8064
East Arnhem (R)	1	441
Katherine (T)	0	1402
Katherine (T)	1	6311
Litchfield (M)	0	1415
Litchfield (M)	1	17816
MacDonnell (R)	0	3629
MacDonnell (R)	1	859
Palmerston (C)	0	5069
Palmerston (C)	1	25788
Roper Gulf (R)	0	4127
Roper Gulf (R)	1	1797
Tiwi Islands (R)	0	2061
Tiwi Islands (R)	1	271
Victoria Daly (R)	0	1365
Victoria Daly (R)	1	955
Wagait (S)	0	18
Wagait (S)	1	413
West Arnhem (R)	0	4257
West Arnhem (R)	1	1169
West Daly (R)	0	2542
West Daly (R)	1	280
Unincorporated NT	0	867
Unincorporated NT	1	4913
No usual address (NT)	0	455
No usual address (NT)	1	1364
Migratory - Offshore - Shipping (NT)	0	37
Migratory - Offshore - Shipping (NT)	1	27
Unincorporated ACT	0	86585
Unincorporated ACT	1	288639
No usual address (ACT)	0	82
No usual address (ACT)	1	355
Unincorp. Other Territories	0	2118
Unincorp. Other Territories	1	1688
No usual address (OT)	0	10
No usual address (OT)	1	40
Migratory - Offshore - Shipping (OT)	1	4
