LGA_NAME16	OnlyEnglishSpokenHome	persons
Goulburn Mulwaree (A)	1	25746
Greater Hume Shire (A)	0	204
Greater Hume Shire (A)	1	9495
Griffith (C)	0	5351
Griffith (C)	1	17858
Gundagai (A)	0	218
Gundagai (A)	1	10152
Gunnedah (A)	0	271
Gunnedah (A)	1	11000
Gwydir (A)	0	58
Gwydir (A)	1	4685
Hawkesbury (C)	0	3857
Hawkesbury (C)	1	57007
Hay (A)	0	112
Hay (A)	1	2483
Hilltops (A)	0	632
Hilltops (A)	1	16623
Hornsby (A)	0	44377
Hornsby (A)	1	93165
Hunters Hill (A)	0	2723
Hunters Hill (A)	1	10532
Inner West (A)	0	51719
Inner West (A)	1	117284
Inverell (A)	0	517
Inverell (A)	1	14655
Junee (A)	0	194
Junee (A)	1	4759
Kempsey (A)	0	651
Kempsey (A)	1	25255
Kiama (A)	0	925
Kiama (A)	1	19210
Ku-ring-gai (A)	0	32752
Ku-ring-gai (A)	1	81070
Kyogle (A)	0	240
Kyogle (A)	1	7878
Lachlan (A)	0	134
Lachlan (A)	1	5366
Lake Macquarie (C)	0	8752
Lake Macquarie (C)	1	180098
Lane Cove (A)	0	9516
Lane Cove (A)	1	24896
Leeton (A)	0	818
Leeton (A)	1	9366
Lismore (C)	0	1989
Lismore (C)	1	37762
Lithgow (C)	0	727
Lithgow (C)	1	17905
Liverpool (C)	0	106090
Liverpool (C)	1	84511
Liverpool Plains (A)	0	87
Liverpool Plains (A)	1	6910
Lockhart (A)	0	41
Lockhart (A)	1	2821
Maitland (C)	0	3065
Maitland (C)	1	70392
Mid-Coast (A)	0	2362
Mid-Coast (A)	1	81652
Mid-Western Regional (A)	0	651
Mid-Western Regional (A)	1	21047
Moree Plains (A)	0	465
Moree Plains (A)	1	11075
Mosman (A)	0	4306
Mosman (A)	1	22190
Murray River (A)	0	288
Murray River (A)	1	10488
Murrumbidgee (A)	0	126
Murrumbidgee (A)	1	3309
Muswellbrook (A)	0	560
Muswellbrook (A)	1	14181
Nambucca (A)	0	459
Nambucca (A)	1	17278
Narrabri (A)	0	230
Narrabri (A)	1	11424
Narrandera (A)	0	147
Narrandera (A)	1	5095
Narromine (A)	0	80
Narromine (A)	1	5752
Newcastle (C)	0	15386
Newcastle (C)	1	131814
North Sydney (A)	0	15055
North Sydney (A)	1	47433
Northern Beaches (A)	0	38204
Northern Beaches (A)	1	201772
Oberon (A)	0	178
Oberon (A)	1	4462
Orange (C)	0	2409
Orange (C)	1	35416
Parkes (A)	0	409
Parkes (A)	1	12931
Parramatta (C)	0	117613
Parramatta (C)	1	94332
Penrith (C)	0	33084
Penrith (C)	1	151300
Port Macquarie-Hastings (A)	0	2401
Port Macquarie-Hastings (A)	1	71257
Port Stephens (A)	0	2366
Port Stephens (A)	1	62212
Queanbeyan-Palerang Regional (A)	0	6791
Queanbeyan-Palerang Regional (A)	1	45218
Randwick (C)	0	45113
Randwick (C)	1	83952
Richmond Valley (A)	0	394
Richmond Valley (A)	1	20630
Rockdale (C)	0	61549
Rockdale (C)	1	41160
Ryde (C)	0	55899
Ryde (C)	1	55443
Shellharbour (C)	0	7107
Shellharbour (C)	1	57950
Shoalhaven (C)	0	4009
Shoalhaven (C)	1	88148
Singleton (A)	0	715
Singleton (A)	1	20595
Snowy Monaro Regional (A)	0	1068
Snowy Monaro Regional (A)	1	17287
Snowy Valleys (A)	0	504
Snowy Valleys (A)	1	12480
Strathfield (A)	0	25869
Strathfield (A)	1	11783
Sutherland Shire (A)	0	28410
Sutherland Shire (A)	1	181626
Sydney (C)	0	75390
Sydney (C)	1	107287
