LGA_NAME16	Age5yr	Indigenous	persons
Albury (C)	0-4		203
Albury (C)	0-4	0	2893
Albury (C)	0-4	1	188
Albury (C)	5-9		173
Albury (C)	5-9	0	2817
Albury (C)	5-9	1	177
Albury (C)	10-14		185
Albury (C)	10-14	0	2790
Albury (C)	10-14	1	180
Albury (C)	15-19		191
Albury (C)	15-19	0	2910
Albury (C)	15-19	1	151
Albury (C)	20-24		274
Albury (C)	20-24	0	3094
Albury (C)	20-24	1	143
Albury (C)	25-29		247
Albury (C)	25-29	0	2887
Albury (C)	25-29	1	88
Albury (C)	30-34		218
Albury (C)	30-34	0	2968
Albury (C)	30-34	1	84
Albury (C)	35-39		184
Albury (C)	35-39	0	2816
Albury (C)	35-39	1	70
Albury (C)	40-44		204
Albury (C)	40-44	0	2861
Albury (C)	40-44	1	63
Albury (C)	45-49		213
Albury (C)	45-49	0	3038
Albury (C)	45-49	1	72
Albury (C)	50-54		185
Albury (C)	50-54	0	2928
Albury (C)	50-54	1	60
Albury (C)	55-59		216
Albury (C)	55-59	0	3060
Albury (C)	55-59	1	45
Albury (C)	60-64		232
Albury (C)	60-64	0	2781
Albury (C)	60-64	1	38
Albury (C)	65+		754
Albury (C)	65+	0	8337
Albury (C)	65+	1	52
Armidale Regional (A)	0-4		94
Armidale Regional (A)	0-4	0	1303
Armidale Regional (A)	0-4	1	276
Armidale Regional (A)	5-9		106
Armidale Regional (A)	5-9	0	1393
Armidale Regional (A)	5-9	1	258
Armidale Regional (A)	10-14		93
Armidale Regional (A)	10-14	0	1579
Armidale Regional (A)	10-14	1	240
Armidale Regional (A)	15-19		200
Armidale Regional (A)	15-19	0	2121
Armidale Regional (A)	15-19	1	233
Armidale Regional (A)	20-24		257
Armidale Regional (A)	20-24	0	2319
Armidale Regional (A)	20-24	1	219
Armidale Regional (A)	25-29		147
Armidale Regional (A)	25-29	0	1543
Armidale Regional (A)	25-29	1	129
Armidale Regional (A)	30-34		110
Armidale Regional (A)	30-34	0	1406
Armidale Regional (A)	30-34	1	124
Armidale Regional (A)	35-39		89
Armidale Regional (A)	35-39	0	1263
Armidale Regional (A)	35-39	1	112
Armidale Regional (A)	40-44		111
Armidale Regional (A)	40-44	0	1426
Armidale Regional (A)	40-44	1	102
Armidale Regional (A)	45-49		119
Armidale Regional (A)	45-49	0	1482
Armidale Regional (A)	45-49	1	113
Armidale Regional (A)	50-54		162
Armidale Regional (A)	50-54	0	1673
Armidale Regional (A)	50-54	1	101
Armidale Regional (A)	55-59		149
Armidale Regional (A)	55-59	0	1690
Armidale Regional (A)	55-59	1	88
Armidale Regional (A)	60-64		108
Armidale Regional (A)	60-64	0	1450
Armidale Regional (A)	60-64	1	68
Armidale Regional (A)	65+		377
Armidale Regional (A)	65+	0	4498
Armidale Regional (A)	65+	1	119
Ballina (A)	0-4		122
Ballina (A)	0-4	0	1814
Ballina (A)	0-4	1	134
Ballina (A)	5-9		146
Ballina (A)	5-9	0	2152
Ballina (A)	5-9	1	158
Ballina (A)	10-14		146
Ballina (A)	10-14	0	2111
Ballina (A)	10-14	1	152
Ballina (A)	15-19		136
Ballina (A)	15-19	0	2110
Ballina (A)	15-19	1	135
Ballina (A)	20-24		96
Ballina (A)	20-24	0	1371
Ballina (A)	20-24	1	105
Ballina (A)	25-29		104
Ballina (A)	25-29	0	1426
Ballina (A)	25-29	1	84
Ballina (A)	30-34		115
Ballina (A)	30-34	0	1773
Ballina (A)	30-34	1	72
Ballina (A)	35-39		132
Ballina (A)	35-39	0	1897
Ballina (A)	35-39	1	62
Ballina (A)	40-44		161
Ballina (A)	40-44	0	2314
Ballina (A)	40-44	1	102
Ballina (A)	45-49		168
Ballina (A)	45-49	0	2532
Ballina (A)	45-49	1	87
Ballina (A)	50-54		207
Ballina (A)	50-54	0	2692
Ballina (A)	50-54	1	71
Ballina (A)	55-59		221
Ballina (A)	55-59	0	2928
Ballina (A)	55-59	1	60
Ballina (A)	60-64		234
Ballina (A)	60-64	0	2941
Ballina (A)	60-64	1	50
Ballina (A)	65+		688
Ballina (A)	65+	0	9671
Ballina (A)	65+	1	98
Balranald (A)	0-4		13
Balranald (A)	0-4	0	116
Balranald (A)	0-4	1	16
Balranald (A)	5-9		27
Balranald (A)	5-9	0	128
Balranald (A)	5-9	1	36
Balranald (A)	10-14		11
Balranald (A)	10-14	0	120
Balranald (A)	10-14	1	28
Balranald (A)	15-19		17
Balranald (A)	15-19	0	102
Balranald (A)	15-19	1	20
Balranald (A)	20-24		12
Balranald (A)	20-24	0	104
Balranald (A)	20-24	1	11
Balranald (A)	25-29		15
Balranald (A)	25-29	0	96
Balranald (A)	25-29	1	9
Balranald (A)	30-34		11
Balranald (A)	30-34	0	89
Balranald (A)	30-34	1	10
Balranald (A)	35-39		11
Balranald (A)	35-39	0	106
Balranald (A)	35-39	1	13
Balranald (A)	40-44		12
Balranald (A)	40-44	0	113
Balranald (A)	40-44	1	15
Balranald (A)	45-49		10
Balranald (A)	45-49	0	111
Balranald (A)	45-49	1	10
Balranald (A)	50-54		20
Balranald (A)	50-54	0	130
Balranald (A)	50-54	1	12
Balranald (A)	55-59		18
Balranald (A)	55-59	0	162
Balranald (A)	55-59	1	6
Balranald (A)	60-64		24
Balranald (A)	60-64	0	154
Balranald (A)	60-64	1	10
Balranald (A)	65+		44
Balranald (A)	65+	0	313
Balranald (A)	65+	1	10
Bathurst Regional (A)	0-4		137
Bathurst Regional (A)	0-4	0	2126
Bathurst Regional (A)	0-4	1	284
Bathurst Regional (A)	5-9		135
Bathurst Regional (A)	5-9	0	2372
Bathurst Regional (A)	5-9	1	278
Bathurst Regional (A)	10-14		146
Bathurst Regional (A)	10-14	0	2391
Bathurst Regional (A)	10-14	1	246
Bathurst Regional (A)	15-19		246
Bathurst Regional (A)	15-19	0	2539
Bathurst Regional (A)	15-19	1	193
Bathurst Regional (A)	20-24		302
Bathurst Regional (A)	20-24	0	2607
Bathurst Regional (A)	20-24	1	238
Bathurst Regional (A)	25-29		157
Bathurst Regional (A)	25-29	0	2303
Bathurst Regional (A)	25-29	1	230
Bathurst Regional (A)	30-34		126
Bathurst Regional (A)	30-34	0	2205
Bathurst Regional (A)	30-34	1	149
Bathurst Regional (A)	35-39		121
Bathurst Regional (A)	35-39	0	2064
Bathurst Regional (A)	35-39	1	127
Bathurst Regional (A)	40-44		158
Bathurst Regional (A)	40-44	0	2281
Bathurst Regional (A)	40-44	1	132
Bathurst Regional (A)	45-49		175
Bathurst Regional (A)	45-49	0	2396
Bathurst Regional (A)	45-49	1	100
Bathurst Regional (A)	50-54		171
Bathurst Regional (A)	50-54	0	2330
Bathurst Regional (A)	50-54	1	62
Bathurst Regional (A)	55-59		180
Bathurst Regional (A)	55-59	0	2376
Bathurst Regional (A)	55-59	1	58
Bathurst Regional (A)	60-64		167
Bathurst Regional (A)	60-64	0	2158
Bathurst Regional (A)	60-64	1	57
Bathurst Regional (A)	65+		616
Bathurst Regional (A)	65+	0	6071
Bathurst Regional (A)	65+	1	85
Bega Valley (A)	0-4		91
Bega Valley (A)	0-4	0	1262
Bega Valley (A)	0-4	1	120
Bega Valley (A)	5-9		143
Bega Valley (A)	5-9	0	1603
Bega Valley (A)	5-9	1	123
Bega Valley (A)	10-14		131
Bega Valley (A)	10-14	0	1640
Bega Valley (A)	10-14	1	146
Bega Valley (A)	15-19		127
Bega Valley (A)	15-19	0	1559
Bega Valley (A)	15-19	1	105
Bega Valley (A)	20-24		86
Bega Valley (A)	20-24	0	1028
Bega Valley (A)	20-24	1	79
Bega Valley (A)	25-29		80
Bega Valley (A)	25-29	0	1008
Bega Valley (A)	25-29	1	47
Bega Valley (A)	30-34		114
Bega Valley (A)	30-34	0	1179
Bega Valley (A)	30-34	1	52
Bega Valley (A)	35-39		100
Bega Valley (A)	35-39	0	1273
Bega Valley (A)	35-39	1	47
Bega Valley (A)	40-44		127
Bega Valley (A)	40-44	0	1520
Bega Valley (A)	40-44	1	61
Bega Valley (A)	45-49		171
Bega Valley (A)	45-49	0	1919
Bega Valley (A)	45-49	1	54
Bega Valley (A)	50-54		220
Bega Valley (A)	50-54	0	2239
Bega Valley (A)	50-54	1	49
Bega Valley (A)	55-59		225
Bega Valley (A)	55-59	0	2778
Bega Valley (A)	55-59	1	49
Bega Valley (A)	60-64		226
Bega Valley (A)	60-64	0	2831
Bega Valley (A)	60-64	1	45
Bega Valley (A)	65+		672
Bega Valley (A)	65+	0	7867
Bega Valley (A)	65+	1	64
Bellingen (A)	0-4		37
Bellingen (A)	0-4	0	523
Bellingen (A)	0-4	1	56
Bellingen (A)	5-9		64
Bellingen (A)	5-9	0	690
Bellingen (A)	5-9	1	51
Bellingen (A)	10-14		78
Bellingen (A)	10-14	0	660
Bellingen (A)	10-14	1	53
Bellingen (A)	15-19		44
Bellingen (A)	15-19	0	630
Bellingen (A)	15-19	1	53
Bellingen (A)	20-24		33
Bellingen (A)	20-24	0	336
Bellingen (A)	20-24	1	25
Bellingen (A)	25-29		36
Bellingen (A)	25-29	0	386
Bellingen (A)	25-29	1	31
Bellingen (A)	30-34		31
Bellingen (A)	30-34	0	447
Bellingen (A)	30-34	1	21
Bellingen (A)	35-39		43
Bellingen (A)	35-39	0	504
Bellingen (A)	35-39	1	17
Bellingen (A)	40-44		45
Bellingen (A)	40-44	0	688
Bellingen (A)	40-44	1	28
Bellingen (A)	45-49		76
Bellingen (A)	45-49	0	747
Bellingen (A)	45-49	1	24
Bellingen (A)	50-54		59
Bellingen (A)	50-54	0	894
