LGA_NAME16	Sex	persons
Albury (C)	F	26411
Albury (C)	M	24662
Armidale Regional (A)	F	15220
Armidale Regional (A)	M	14227
Ballina (A)	F	21658
Ballina (A)	M	20127
Balranald (A)	F	1115
Balranald (A)	M	1177
Bathurst Regional (A)	F	20605
Bathurst Regional (A)	M	20695
Bega Valley (A)	F	17001
Bega Valley (A)	M	16252
Bellingen (A)	F	6548
Bellingen (A)	M	6123
Berrigan (A)	F	4236
Berrigan (A)	M	4224
Blacktown (C)	F	169390
Blacktown (C)	M	167574
Bland (A)	F	2988
Bland (A)	M	2971
Blayney (A)	F	3647
Blayney (A)	M	3613
Blue Mountains (C)	F	39782
Blue Mountains (C)	M	37119
Bogan (A)	F	1334
Bogan (A)	M	1355
Botany Bay (C)	F	23420
Botany Bay (C)	M	23229
Bourke (A)	F	1329
Bourke (A)	M	1301
Brewarrina (A)	F	802
Brewarrina (A)	M	849
Broken Hill (C)	F	9091
Broken Hill (C)	M	8615
Burwood (A)	F	19028
Burwood (A)	M	17785
Byron (A)	F	16361
Byron (A)	M	15197
Cabonne (A)	F	6699
Cabonne (A)	M	6692
Camden (A)	F	39884
Camden (A)	M	38336
Campbelltown (C) (NSW)	F	79999
Campbelltown (C) (NSW)	M	77002
Canada Bay (A)	F	45666
Canada Bay (A)	M	42348
Canterbury-Bankstown (A)	F	173977
Canterbury-Bankstown (A)	M	172327
Carrathool (A)	F	1303
Carrathool (A)	M	1421
Central Coast (C) (NSW)	F	168972
Central Coast (C) (NSW)	M	158768
Central Darling (A)	F	859
Central Darling (A)	M	973
Cessnock (C)	F	27928
Cessnock (C)	M	27633
Clarence Valley (A)	F	25530
Clarence Valley (A)	M	25140
Cobar (A)	F	2255
Cobar (A)	M	2394
Coffs Harbour (C)	F	37629
Coffs Harbour (C)	M	35319
Coolamon (A)	F	2156
Coolamon (A)	M	2160
Coonamble (A)	F	1970
Coonamble (A)	M	1947
Cowra (A)	F	6308
Cowra (A)	M	6157
Cumberland (A)	F	105000
Cumberland (A)	M	111080
Dungog (A)	F	4479
Dungog (A)	M	4497
Edward River (A)	F	4492
Edward River (A)	M	4353
Eurobodalla (A)	F	18955
Eurobodalla (A)	M	18270
Fairfield (C)	F	100855
Fairfield (C)	M	97959
Federation (A)	F	6174
Federation (A)	M	6102
Forbes (A)	F	4784
Forbes (A)	M	4806
Georges River (A)	F	75086
Georges River (A)	M	71755
Gilgandra (A)	F	2142
Gilgandra (A)	M	2089
Glen Innes Severn (A)	F	4453
Glen Innes Severn (A)	M	4380
Goulburn Mulwaree (A)	F	14631
Goulburn Mulwaree (A)	M	14982
Greater Hume Shire (A)	F	5170
