LGA_NAME16	FamilyHousehold	IncomeHousehold.max	households
Albury (C)	0		464
Albury (C)	0	0	147
Albury (C)	0	7875	94
Albury (C)	0	15750	401
Albury (C)	0	21000	642
Albury (C)	0	26250	1206
Albury (C)	0	34125	697
Albury (C)	0	42000	633
Albury (C)	0	52500	684
Albury (C)	0	65625	572
Albury (C)	0	78750	418
Albury (C)	0	91875	258
Albury (C)	0	105000	182
Albury (C)	0	131250	254
Albury (C)	0	157500	44
Albury (C)	0	183750	20
Albury (C)	0	210000	98
Albury (C)	0	Inf	13
Albury (C)	1		1372
Albury (C)	1	0	71
Albury (C)	1	7875	55
Albury (C)	1	15750	92
Albury (C)	1	21000	113
Albury (C)	1	26250	396
Albury (C)	1	34125	409
Albury (C)	1	42000	1046
Albury (C)	1	52500	880
Albury (C)	1	65625	1133
Albury (C)	1	78750	1174
Albury (C)	1	91875	881
Albury (C)	1	105000	870
Albury (C)	1	131250	1594
Albury (C)	1	157500	1026
Albury (C)	1	183750	642
Albury (C)	1	210000	342
Albury (C)	1	Inf	575
Armidale Regional (A)	0		275
Armidale Regional (A)	0	0	76
Armidale Regional (A)	0	7875	58
Armidale Regional (A)	0	15750	221
Armidale Regional (A)	0	21000	306
Armidale Regional (A)	0	26250	607
Armidale Regional (A)	0	34125	349
Armidale Regional (A)	0	42000	348
Armidale Regional (A)	0	52500	286
Armidale Regional (A)	0	65625	281
Armidale Regional (A)	0	78750	160
Armidale Regional (A)	0	91875	149
Armidale Regional (A)	0	105000	116
Armidale Regional (A)	0	131250	159
Armidale Regional (A)	0	157500	20
Armidale Regional (A)	0	183750	9
Armidale Regional (A)	0	210000	49
Armidale Regional (A)	0	Inf	8
Armidale Regional (A)	1		796
Armidale Regional (A)	1	0	56
Armidale Regional (A)	1	7875	28
Armidale Regional (A)	1	15750	60
Armidale Regional (A)	1	21000	55
Armidale Regional (A)	1	26250	204
Armidale Regional (A)	1	34125	248
Armidale Regional (A)	1	42000	575
Armidale Regional (A)	1	52500	511
Armidale Regional (A)	1	65625	599
Armidale Regional (A)	1	78750	628
Armidale Regional (A)	1	91875	469
Armidale Regional (A)	1	105000	465
Armidale Regional (A)	1	131250	784
Armidale Regional (A)	1	157500	487
Armidale Regional (A)	1	183750	304
Armidale Regional (A)	1	210000	188
Armidale Regional (A)	1	Inf	346
Ballina (A)	0		430
Ballina (A)	0	0	89
Ballina (A)	0	7875	51
Ballina (A)	0	15750	238
Ballina (A)	0	21000	467
Ballina (A)	0	26250	1107
Ballina (A)	0	34125	612
Ballina (A)	0	42000	497
Ballina (A)	0	52500	434
Ballina (A)	0	65625	409
Ballina (A)	0	78750	221
Ballina (A)	0	91875	164
Ballina (A)	0	105000	143
Ballina (A)	0	131250	163
Ballina (A)	0	157500	25
Ballina (A)	0	183750	13
Ballina (A)	0	210000	73
Ballina (A)	0	Inf	8
Ballina (A)	1		1173
Ballina (A)	1	0	55
Ballina (A)	1	7875	37
Ballina (A)	1	15750	80
Ballina (A)	1	21000	73
Ballina (A)	1	26250	307
Ballina (A)	1	34125	339
Ballina (A)	1	42000	1108
Ballina (A)	1	52500	824
Ballina (A)	1	65625	1170
Ballina (A)	1	78750	1050
Ballina (A)	1	91875	709
Ballina (A)	1	105000	762
Ballina (A)	1	131250	1290
Ballina (A)	1	157500	750
Ballina (A)	1	183750	467
Ballina (A)	1	210000	264
Ballina (A)	1	Inf	592
Balranald (A)	0		30
Balranald (A)	0	0	12
Balranald (A)	0	7875	4
Balranald (A)	0	15750	9
Balranald (A)	0	21000	34
Balranald (A)	0	26250	47
Balranald (A)	0	34125	20
Balranald (A)	0	42000	24
Balranald (A)	0	52500	16
Balranald (A)	0	65625	16
Balranald (A)	0	78750	9
Balranald (A)	0	91875	7
Balranald (A)	0	105000	3
Balranald (A)	0	131250	3
Balranald (A)	0	210000	7
Balranald (A)	1		101
Balranald (A)	1	0	10
Balranald (A)	1	15750	6
Balranald (A)	1	26250	8
Balranald (A)	1	34125	20
Balranald (A)	1	42000	40
Balranald (A)	1	52500	45
Balranald (A)	1	65625	50
Balranald (A)	1	78750	58
Balranald (A)	1	91875	57
Balranald (A)	1	105000	39
Balranald (A)	1	131250	55
Balranald (A)	1	157500	41
Balranald (A)	1	183750	10
Balranald (A)	1	210000	3
Balranald (A)	1	Inf	20
Bathurst Regional (A)	0		322
Bathurst Regional (A)	0	0	96
Bathurst Regional (A)	0	7875	55
Bathurst Regional (A)	0	15750	261
Bathurst Regional (A)	0	21000	349
Bathurst Regional (A)	0	26250	849
Bathurst Regional (A)	0	34125	436
Bathurst Regional (A)	0	42000	374
Bathurst Regional (A)	0	52500	395
Bathurst Regional (A)	0	65625	381
Bathurst Regional (A)	0	78750	278
Bathurst Regional (A)	0	91875	216
Bathurst Regional (A)	0	105000	178
Bathurst Regional (A)	0	131250	175
Bathurst Regional (A)	0	157500	27
Bathurst Regional (A)	0	183750	12
Bathurst Regional (A)	0	210000	58
Bathurst Regional (A)	0	Inf	8
Bathurst Regional (A)	1		1106
Bathurst Regional (A)	1	0	54
Bathurst Regional (A)	1	7875	43
Bathurst Regional (A)	1	15750	76
Bathurst Regional (A)	1	21000	78
Bathurst Regional (A)	1	26250	270
Bathurst Regional (A)	1	34125	320
Bathurst Regional (A)	1	42000	724
Bathurst Regional (A)	1	52500	623
Bathurst Regional (A)	1	65625	823
Bathurst Regional (A)	1	78750	872
Bathurst Regional (A)	1	91875	660
Bathurst Regional (A)	1	105000	645
Bathurst Regional (A)	1	131250	1256
Bathurst Regional (A)	1	157500	899
Bathurst Regional (A)	1	183750	619
Bathurst Regional (A)	1	210000	339
Bathurst Regional (A)	1	Inf	525
