LGA_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	families
Albury (C)					167
Albury (C)	0	0	0	1	676
Albury (C)	0	0	1	0	213
Albury (C)	0	0	1	1	59
Albury (C)	0	1	0	0	1039
Albury (C)	0	1	0	1	77
Albury (C)	0	1	1	0	168
Albury (C)	0	1	1	1	26
Albury (C)	1	0	0	1	799
Albury (C)	1	0	1	0	416
Albury (C)	1	0	1	1	239
Albury (C)	1	1	0	0	2982
Albury (C)	1	1	0	1	130
Albury (C)	1	1	1	0	509
Albury (C)	1	1	1	1	78
Armidale Regional (A)					126
Armidale Regional (A)	0	0	0	1	389
Armidale Regional (A)	0	0	1	0	125
Armidale Regional (A)	0	0	1	1	27
Armidale Regional (A)	0	1	0	0	543
Armidale Regional (A)	0	1	0	1	45
Armidale Regional (A)	0	1	1	0	95
Armidale Regional (A)	0	1	1	1	18
Armidale Regional (A)	1	0	0	1	416
Armidale Regional (A)	1	0	1	0	237
Armidale Regional (A)	1	0	1	1	94
Armidale Regional (A)	1	1	0	0	1515
Armidale Regional (A)	1	1	0	1	74
Armidale Regional (A)	1	1	1	0	284
Armidale Regional (A)	1	1	1	1	52
Ballina (A)					138
Ballina (A)	0	0	0	1	662
Ballina (A)	0	0	1	0	206
Ballina (A)	0	0	1	1	65
Ballina (A)	0	1	0	0	735
Ballina (A)	0	1	0	1	71
Ballina (A)	0	1	1	0	136
Ballina (A)	0	1	1	1	12
Ballina (A)	1	0	0	1	764
Ballina (A)	1	0	1	0	399
Ballina (A)	1	0	1	1	161
Ballina (A)	1	1	0	0	2172
Ballina (A)	1	1	0	1	92
Ballina (A)	1	1	1	0	438
Ballina (A)	1	1	1	1	59
Balranald (A)					13
Balranald (A)	0	0	0	1	32
Balranald (A)	0	0	1	0	7
Balranald (A)	0	1	0	0	34
Balranald (A)	0	1	0	1	3
Balranald (A)	0	1	1	0	10
Balranald (A)	1	0	0	1	42
Balranald (A)	1	0	1	0	15
Balranald (A)	1	0	1	1	9
Balranald (A)	1	1	0	0	128
Balranald (A)	1	1	0	1	9
Balranald (A)	1	1	1	0	24
Balranald (A)	1	1	1	1	5
Bathurst Regional (A)					131
Bathurst Regional (A)	0	0	0	1	531
Bathurst Regional (A)	0	0	1	0	166
Bathurst Regional (A)	0	0	1	1	56
Bathurst Regional (A)	0	1	0	0	837
Bathurst Regional (A)	0	1	0	1	60
Bathurst Regional (A)	0	1	1	0	136
Bathurst Regional (A)	0	1	1	1	21
Bathurst Regional (A)	1	0	0	1	727
Bathurst Regional (A)	1	0	1	0	324
Bathurst Regional (A)	1	0	1	1	170
Bathurst Regional (A)	1	1	0	0	2366
Bathurst Regional (A)	1	1	0	1	132
Bathurst Regional (A)	1	1	1	0	510
Bathurst Regional (A)	1	1	1	1	81
Bega Valley (A)					81
Bega Valley (A)	0	0	0	1	423
Bega Valley (A)	0	0	1	0	126
Bega Valley (A)	0	0	1	1	42
Bega Valley (A)	0	1	0	0	529
Bega Valley (A)	0	1	0	1	47
Bega Valley (A)	0	1	1	0	102
Bega Valley (A)	0	1	1	1	12
Bega Valley (A)	1	0	0	1	559
Bega Valley (A)	1	0	1	0	216
Bega Valley (A)	1	0	1	1	112
Bega Valley (A)	1	1	0	0	1562
Bega Valley (A)	1	1	0	1	88
Bega Valley (A)	1	1	1	0	307
Bega Valley (A)	1	1	1	1	43
Bellingen (A)					28
Bellingen (A)	0	0	0	1	209
Bellingen (A)	0	0	1	0	74
Bellingen (A)	0	0	1	1	19
Bellingen (A)	0	1	0	0	265
Bellingen (A)	0	1	0	1	29
Bellingen (A)	0	1	1	0	56
Bellingen (A)	0	1	1	1	8
Bellingen (A)	1	0	0	1	217
Bellingen (A)	1	0	1	0	105
Bellingen (A)	1	0	1	1	39
Bellingen (A)	1	1	0	0	640
Bellingen (A)	1	1	0	1	30
Bellingen (A)	1	1	1	0	132
Bellingen (A)	1	1	1	1	10
Berrigan (A)					16
Berrigan (A)	0	0	0	1	82
Berrigan (A)	0	0	1	0	31
Berrigan (A)	0	0	1	1	10
Berrigan (A)	0	1	0	0	128
Berrigan (A)	0	1	0	1	16
Berrigan (A)	0	1	1	0	20
Berrigan (A)	0	1	1	1	4
Berrigan (A)	1	0	0	1	133
Berrigan (A)	1	0	1	0	54
Berrigan (A)	1	0	1	1	28
Berrigan (A)	1	1	0	0	395
Berrigan (A)	1	1	0	1	26
Berrigan (A)	1	1	1	0	75
Berrigan (A)	1	1	1	1	12
Blacktown (C)					1455
Blacktown (C)	0	0	0	1	5958
