LGA_NAME16	Age	HoursHousekeeping	Sex	adults
Albury (C)	15-19		F	141
Albury (C)	15-19		M	146
Albury (C)	15-19	0	F	507
Albury (C)	15-19	0	M	624
Albury (C)	15-19	<5	F	741
Albury (C)	15-19	<5	M	694
Albury (C)	15-19	5-14	F	210
Albury (C)	15-19	5-14	M	123
Albury (C)	15-19	15-29	F	29
Albury (C)	15-19	15-29	M	17
Albury (C)	15-19	30+	F	9
Albury (C)	15-19	30+	M	9
Albury (C)	20-24		F	160
Albury (C)	20-24		M	170
Albury (C)	20-24	0	F	336
Albury (C)	20-24	0	M	543
Albury (C)	20-24	<5	F	562
Albury (C)	20-24	<5	M	645
Albury (C)	20-24	5-14	F	532
Albury (C)	20-24	5-14	M	275
Albury (C)	20-24	15-29	F	129
Albury (C)	20-24	15-29	M	42
Albury (C)	20-24	30+	F	95
Albury (C)	20-24	30+	M	18
Albury (C)	25-34		F	247
Albury (C)	25-34		M	279
Albury (C)	25-34	0	F	320
Albury (C)	25-34	0	M	638
Albury (C)	25-34	<5	F	590
Albury (C)	25-34	<5	M	1075
Albury (C)	25-34	5-14	F	1041
Albury (C)	25-34	5-14	M	940
Albury (C)	25-34	15-29	F	525
Albury (C)	25-34	15-29	M	182
Albury (C)	25-34	30+	F	580
Albury (C)	25-34	30+	M	81
Albury (C)	35-44		F	229
Albury (C)	35-44		M	252
Albury (C)	35-44	0	F	299
Albury (C)	35-44	0	M	479
Albury (C)	35-44	<5	F	293
Albury (C)	35-44	<5	M	888
Albury (C)	35-44	5-14	F	1002
Albury (C)	35-44	5-14	M	987
Albury (C)	35-44	15-29	F	759
Albury (C)	35-44	15-29	M	263
Albury (C)	35-44	30+	F	659
Albury (C)	35-44	30+	M	108
Albury (C)	45-54		F	216
Albury (C)	45-54		M	275
Albury (C)	45-54	0	F	359
Albury (C)	45-54	0	M	614
Albury (C)	45-54	<5	F	419
Albury (C)	45-54	<5	M	868
Albury (C)	45-54	5-14	F	1197
Albury (C)	45-54	5-14	M	1048
Albury (C)	45-54	15-29	F	722
Albury (C)	45-54	15-29	M	261
Albury (C)	45-54	30+	F	423
Albury (C)	45-54	30+	M	98
