LGA_NAME16	EduInstitutionType	Sex	students
Albury (C)		F	2227
Albury (C)		M	2036
Albury (C)	Infants/Primary	F	2041
Albury (C)	Infants/Primary	M	2112
Albury (C)	Pre-school	F	427
Albury (C)	Pre-school	M	437
Albury (C)	Secondary	F	1646
Albury (C)	Secondary	M	1590
Albury (C)	Technical or Further Educational Institution	F	669
Albury (C)	Technical or Further Educational Institution	M	534
Albury (C)	University or other tertiary	F	1147
Albury (C)	University or other tertiary	M	562
Armidale Regional (A)		F	1336
Armidale Regional (A)		M	1221
Armidale Regional (A)	Infants/Primary	F	1181
Armidale Regional (A)	Infants/Primary	M	1172
Armidale Regional (A)	Pre-school	F	223
Armidale Regional (A)	Pre-school	M	263
Armidale Regional (A)	Secondary	F	1078
Armidale Regional (A)	Secondary	M	1089
Armidale Regional (A)	Technical or Further Educational Institution	F	281
Armidale Regional (A)	Technical or Further Educational Institution	M	272
Armidale Regional (A)	University or other tertiary	F	1794
Armidale Regional (A)	University or other tertiary	M	1331
Ballina (A)		F	1858
Ballina (A)		M	1634
Ballina (A)	Infants/Primary	F	1454
Ballina (A)	Infants/Primary	M	1693
Ballina (A)	Pre-school	F	346
Ballina (A)	Pre-school	M	349
Ballina (A)	Secondary	F	1344
Ballina (A)	Secondary	M	1333
Ballina (A)	Technical or Further Educational Institution	F	454
Ballina (A)	Technical or Further Educational Institution	M	312
Ballina (A)	University or other tertiary	F	653
Ballina (A)	University or other tertiary	M	359
Balranald (A)		F	131
Balranald (A)		M	150
Balranald (A)	Infants/Primary	F	110
Balranald (A)	Infants/Primary	M	108
Balranald (A)	Pre-school	F	18
Balranald (A)	Pre-school	M	23
Balranald (A)	Secondary	F	55
Balranald (A)	Secondary	M	78
Balranald (A)	Technical or Further Educational Institution	F	9
Balranald (A)	Technical or Further Educational Institution	M	5
Balranald (A)	University or other tertiary	F	14
Balranald (A)	University or other tertiary	M	6
Bathurst Regional (A)		F	1790
Bathurst Regional (A)		M	2477
Bathurst Regional (A)	Infants/Primary	F	1780
Bathurst Regional (A)	Infants/Primary	M	1894
Bathurst Regional (A)	Pre-school	F	368
Bathurst Regional (A)	Pre-school	M	402
Bathurst Regional (A)	Secondary	F	1405
Bathurst Regional (A)	Secondary	M	1519
Bathurst Regional (A)	Technical or Further Educational Institution	F	539
Bathurst Regional (A)	Technical or Further Educational Institution	M	376
Bathurst Regional (A)	University or other tertiary	F	1253
Bathurst Regional (A)	University or other tertiary	M	818
Bega Valley (A)		F	1630
Bega Valley (A)		M	1487
Bega Valley (A)	Infants/Primary	F	1135
Bega Valley (A)	Infants/Primary	M	1239
Bega Valley (A)	Pre-school	F	227
Bega Valley (A)	Pre-school	M	249
Bega Valley (A)	Secondary	F	955
Bega Valley (A)	Secondary	M	928
Bega Valley (A)	Technical or Further Educational Institution	F	268
Bega Valley (A)	Technical or Further Educational Institution	M	203
Bega Valley (A)	University or other tertiary	F	345
Bega Valley (A)	University or other tertiary	M	134
Bellingen (A)		F	571
Bellingen (A)		M	496
Bellingen (A)	Infants/Primary	F	505
Bellingen (A)	Infants/Primary	M	495
Bellingen (A)	Pre-school	F	110
Bellingen (A)	Pre-school	M	111
Bellingen (A)	Secondary	F	417
Bellingen (A)	Secondary	M	411
Bellingen (A)	Technical or Further Educational Institution	F	128
Bellingen (A)	Technical or Further Educational Institution	M	83
Bellingen (A)	University or other tertiary	F	194
Bellingen (A)	University or other tertiary	M	78
Berrigan (A)		F	484
Berrigan (A)		M	459
Berrigan (A)	Infants/Primary	F	309
Berrigan (A)	Infants/Primary	M	310
Berrigan (A)	Pre-school	F	80
Berrigan (A)	Pre-school	M	75
Berrigan (A)	Secondary	F	214
Berrigan (A)	Secondary	M	210
Berrigan (A)	Technical or Further Educational Institution	F	54
Berrigan (A)	Technical or Further Educational Institution	M	53
Berrigan (A)	University or other tertiary	F	77
Berrigan (A)	University or other tertiary	M	28
Blacktown (C)		F	11738
Blacktown (C)		M	11911
Blacktown (C)	Infants/Primary	F	15983
Blacktown (C)	Infants/Primary	M	17157
Blacktown (C)	Pre-school	F	3047
Blacktown (C)	Pre-school	M	3350
Blacktown (C)	Secondary	F	12016
Blacktown (C)	Secondary	M	12391
Blacktown (C)	Technical or Further Educational Institution	F	3724
Blacktown (C)	Technical or Further Educational Institution	M	3095
Blacktown (C)	University or other tertiary	F	8431
Blacktown (C)	University or other tertiary	M	7134
Bland (A)		F	392
Bland (A)		M	372
Bland (A)	Infants/Primary	F	290
Bland (A)	Infants/Primary	M	280
Bland (A)	Pre-school	F	49
Bland (A)	Pre-school	M	52
Bland (A)	Secondary	F	179
Bland (A)	Secondary	M	162
Bland (A)	Technical or Further Educational Institution	F	55
Bland (A)	Technical or Further Educational Institution	M	39
Bland (A)	University or other tertiary	F	41
Bland (A)	University or other tertiary	M	20
Blayney (A)		F	299
Blayney (A)		M	305
Blayney (A)	Infants/Primary	F	336
Blayney (A)	Infants/Primary	M	348
Blayney (A)	Pre-school	F	70
Blayney (A)	Pre-school	M	78
Blayney (A)	Secondary	F	281
Blayney (A)	Secondary	M	251
Blayney (A)	Technical or Further Educational Institution	F	82
Blayney (A)	Technical or Further Educational Institution	M	56
Blayney (A)	University or other tertiary	F	108
Blayney (A)	University or other tertiary	M	47
Blue Mountains (C)		F	2308
Blue Mountains (C)		M	2015
Blue Mountains (C)	Infants/Primary	F	3199
Blue Mountains (C)	Infants/Primary	M	3350
Blue Mountains (C)	Pre-school	F	711
Blue Mountains (C)	Pre-school	M	732
Blue Mountains (C)	Secondary	F	2531
Blue Mountains (C)	Secondary	M	2689
Blue Mountains (C)	Technical or Further Educational Institution	F	829
Blue Mountains (C)	Technical or Further Educational Institution	M	750
Blue Mountains (C)	University or other tertiary	F	2059
