LGA_NAME16	MotorVehicles.min	occupied_private_dwellings
Albury (C)		728
Albury (C)	0	1534
Albury (C)	1	7329
Albury (C)	2	6990
Albury (C)	3	2035
Albury (C)	4	884
Armidale Regional (A)		391
Armidale Regional (A)	0	766
Armidale Regional (A)	1	3817
Armidale Regional (A)	2	3527
Armidale Regional (A)	3	1163
Armidale Regional (A)	4	615
Ballina (A)		629
Ballina (A)	0	898
Ballina (A)	1	6052
Ballina (A)	2	6167
Ballina (A)	3	1695
Ballina (A)	4	782
Balranald (A)		38
Balranald (A)	0	66
Balranald (A)	1	220
Balranald (A)	2	290
Balranald (A)	3	122
Balranald (A)	4	72
Bathurst Regional (A)		539
Bathurst Regional (A)	0	917
Bathurst Regional (A)	1	4734
Bathurst Regional (A)	2	5223
Bathurst Regional (A)	3	1924
Bathurst Regional (A)	4	1076
Bega Valley (A)		632
Bega Valley (A)	0	577
Bega Valley (A)	1	4872
Bega Valley (A)	2	4986
Bega Valley (A)	3	1540
Bega Valley (A)	4	613
Bellingen (A)		226
Bellingen (A)	0	222
Bellingen (A)	1	1905
Bellingen (A)	2	1823
Bellingen (A)	3	542
Bellingen (A)	4	250
Berrigan (A)		188
Berrigan (A)	0	150
Berrigan (A)	1	1196
Berrigan (A)	2	1123
Berrigan (A)	3	395
Berrigan (A)	4	203
Blacktown (C)		3669
Blacktown (C)	0	7098
Blacktown (C)	1	32797
Blacktown (C)	2	38390
Blacktown (C)	3	12844
Blacktown (C)	4	6308
Bland (A)		115
Bland (A)	0	100
Bland (A)	1	687
Bland (A)	2	760
Bland (A)	3	336
Bland (A)	4	181
Blayney (A)		154
Blayney (A)	0	93
Blayney (A)	1	746
Blayney (A)	2	978
Blayney (A)	3	428
Blayney (A)	4	257
Blue Mountains (C)		752
Blue Mountains (C)	0	1846
Blue Mountains (C)	1	10651
Blue Mountains (C)	2	10423
Blue Mountains (C)	3	3235
Blue Mountains (C)	4	1730
Bogan (A)		55
Bogan (A)	0	78
Bogan (A)	1	303
Bogan (A)	2	331
Bogan (A)	3	128
Bogan (A)	4	74
Botany Bay (C)		651
Botany Bay (C)	0	2505
Botany Bay (C)	1	7001
Botany Bay (C)	2	4690
Botany Bay (C)	3	1119
Botany Bay (C)	4	450
Bourke (A)		68
Bourke (A)	0	100
Bourke (A)	1	307
Bourke (A)	2	245
Bourke (A)	3	72
Bourke (A)	4	47
Brewarrina (A)		41
Brewarrina (A)	0	126
Brewarrina (A)	1	189
Brewarrina (A)	2	106
Brewarrina (A)	3	49
Brewarrina (A)	4	37
Broken Hill (C)		416
Broken Hill (C)	0	690
Broken Hill (C)	1	2936
Broken Hill (C)	2	2260
Broken Hill (C)	3	630
Broken Hill (C)	4	255
Burwood (A)		468
Burwood (A)	0	2487
Burwood (A)	1	4848
Burwood (A)	2	2928
Burwood (A)	3	802
Burwood (A)	4	426
Byron (A)		540
Byron (A)	0	411
Byron (A)	1	4114
Byron (A)	2	4407
Byron (A)	3	1281
Byron (A)	4	614
Cabonne (A)		211
