LGA_NAME16	AustCitizen	persons
Albury (C)	0	6044
Albury (C)	1	45032
Armidale Regional (A)	0	4223
Armidale Regional (A)	1	25226
Ballina (A)	0	4460
Ballina (A)	1	37330
Balranald (A)	0	313
Balranald (A)	1	1974
Bathurst Regional (A)	0	5240
Bathurst Regional (A)	1	36060
Bega Valley (A)	0	3491
Bega Valley (A)	1	29762
Bellingen (A)	0	1298
Bellingen (A)	1	11370
Berrigan (A)	0	1048
Berrigan (A)	1	7414
Blacktown (C)	0	64909
Blacktown (C)	1	272053
Bland (A)	0	810
Bland (A)	1	5145
Blayney (A)	0	642
Blayney (A)	1	6615
Blue Mountains (C)	0	7622
Blue Mountains (C)	1	69282
Bogan (A)	0	370
Bogan (A)	1	2322
Botany Bay (C)	0	12162
Botany Bay (C)	1	34492
Bourke (A)	0	572
Bourke (A)	1	2062
Brewarrina (A)	0	189
Brewarrina (A)	1	1462
Broken Hill (C)	0	1716
Broken Hill (C)	1	15992
Burwood (A)	0	13135
Burwood (A)	1	23674
Byron (A)	0	5972
Byron (A)	1	25584
Cabonne (A)	0	1153
Cabonne (A)	1	12233
Camden (A)	0	8095
Camden (A)	1	70123
Campbelltown (C) (NSW)	0	25992
Campbelltown (C) (NSW)	1	131014
Canada Bay (A)	0	21734
Canada Bay (A)	1	66281
Canterbury-Bankstown (A)	0	70878
Canterbury-Bankstown (A)	1	275424
Carrathool (A)	0	400
Carrathool (A)	1	2319
Central Coast (C) (NSW)	0	35733
Central Coast (C) (NSW)	1	292003
Central Darling (A)	0	314
Central Darling (A)	1	1519
Cessnock (C)	0	6042
Cessnock (C)	1	49518
Clarence Valley (A)	0	5097
Clarence Valley (A)	1	45574
Cobar (A)	0	736
Cobar (A)	1	3911
Coffs Harbour (C)	0	9508
Coffs Harbour (C)	1	63436
Coolamon (A)	0	486
Coolamon (A)	1	3829
Coonamble (A)	0	631
Coonamble (A)	1	3287
Cowra (A)	0	1214
Cowra (A)	1	11246
Cumberland (A)	0	59725
Cumberland (A)	1	156354
Dungog (A)	0	756
Dungog (A)	1	8219
Edward River (A)	0	1147
Edward River (A)	1	7704
Eurobodalla (A)	0	4044
Eurobodalla (A)	1	33188
Fairfield (C)	0	37608
Fairfield (C)	1	161209
Federation (A)	0	1310
Federation (A)	1	10967
Forbes (A)	0	969
Forbes (A)	1	8618
Georges River (A)	0	35658
Georges River (A)	1	111183
Gilgandra (A)	0	386
Gilgandra (A)	1	3850
Glen Innes Severn (A)	0	1199
Glen Innes Severn (A)	1	7637
Goulburn Mulwaree (A)	0	3642
Goulburn Mulwaree (A)	1	25967
Greater Hume Shire (A)	0	888
Greater Hume Shire (A)	1	9463
Griffith (C)	0	4802
Griffith (C)	1	20839
Gundagai (A)	0	963
Gundagai (A)	1	10178
Gunnedah (A)	0	1242
Gunnedah (A)	1	10973
Gwydir (A)	0	597
Gwydir (A)	1	4661
Hawkesbury (C)	0	6642
Hawkesbury (C)	1	57950
Hay (A)	0	438
Hay (A)	1	2508
Hilltops (A)	0	1683
Hilltops (A)	1	16815
Hornsby (A)	0	22954
Hornsby (A)	1	119713
Hunters Hill (A)	0	1679
Hunters Hill (A)	1	12320
Inner West (A)	0	39279
Inner West (A)	1	142764
Inverell (A)	0	1786
Inverell (A)	1	14697
Junee (A)	0	1556
Junee (A)	1	4739
Kempsey (A)	0	3658
Kempsey (A)	1	25227
Kiama (A)	0	2281
Kiama (A)	1	19183
Ku-ring-gai (A)	0	19646
Ku-ring-gai (A)	1	98407
Kyogle (A)	0	1087
Kyogle (A)	1	7853
Lachlan (A)	0	826
Lachlan (A)	1	5368
Lake Macquarie (C)	0	15350
Lake Macquarie (C)	1	182021
Lane Cove (A)	0	7142
Lane Cove (A)	1	28909
Leeton (A)	0	1480
Leeton (A)	1	9688
Lismore (C)	0	4800
Lismore (C)	1	38335
Lithgow (C)	0	3072
Lithgow (C)	1	18018
Liverpool (C)	0	35957
Liverpool (C)	1	168369
Liverpool Plains (A)	0	834
Liverpool Plains (A)	1	6853
Lockhart (A)	0	314
Lockhart (A)	1	2805
Maitland (C)	0	6492
Maitland (C)	1	70813
Mid-Coast (A)	0	8742
Mid-Coast (A)	1	81561
Mid-Western Regional (A)	0	3060
Mid-Western Regional (A)	1	21016
Moree Plains (A)	0	1925
Moree Plains (A)	1	11234
Mosman (A)	0	5815
Mosman (A)	1	22660
Murray River (A)	0	1211
Murray River (A)	1	10469
Murrumbidgee (A)	0	552
Murrumbidgee (A)	1	3284
Muswellbrook (A)	0	2023
Muswellbrook (A)	1	14063
Nambucca (A)	0	1970
Nambucca (A)	1	17242
Narrabri (A)	0	1678
Narrabri (A)	1	11406
Narrandera (A)	0	745
Narrandera (A)	1	5108
Narromine (A)	0	724
Narromine (A)	1	5720
Newcastle (C)	0	17368
Newcastle (C)	1	138043
North Sydney (A)	0	17396
North Sydney (A)	1	50262
Northern Beaches (A)	0	41352
Northern Beaches (A)	1	211526
Oberon (A)	0	871
Oberon (A)	1	4430
Orange (C)	0	4286
Orange (C)	1	36058
Parkes (A)	0	1642
Parkes (A)	1	12966
Parramatta (C)	0	67114
Parramatta (C)	1	159035
Penrith (C)	0	27057
Penrith (C)	1	169009
Port Macquarie-Hastings (A)	0	7815
Port Macquarie-Hastings (A)	1	70724
Port Stephens (A)	0	7356
Port Stephens (A)	1	62200
Queanbeyan-Palerang Regional (A)	0	7322
Queanbeyan-Palerang Regional (A)	1	48705
Randwick (C)	0	41097
Randwick (C)	1	99563
Richmond Valley (A)	0	2185
Richmond Valley (A)	1	20622
Rockdale (C)	0	28892
Rockdale (C)	1	80512
Ryde (C)	0	30331
Ryde (C)	1	85971
Shellharbour (C)	0	6860
Shellharbour (C)	1	61600
Shoalhaven (C)	0	11068
Shoalhaven (C)	1	88582
Singleton (A)	0	2544
Singleton (A)	1	20443
Snowy Monaro Regional (A)	0	2701
Snowy Monaro Regional (A)	1	17517
Snowy Valleys (A)	0	1930
Snowy Valleys (A)	1	12465
Strathfield (A)	0	13680
Strathfield (A)	1	26632
Sutherland Shire (A)	0	21536
Sutherland Shire (A)	1	196928
Sydney (C)	0	91840
Sydney (C)	1	116534
Tamworth Regional (A)	0	6678
Tamworth Regional (A)	1	52985
Temora (A)	0	428
Temora (A)	1	5682
Tenterfield (A)	0	843
Tenterfield (A)	1	5785
The Hills Shire (A)	0	22112
The Hills Shire (A)	1	135131
Tweed (A)	0	11240
Tweed (A)	1	80131
Upper Hunter Shire (A)	0	1850
Upper Hunter Shire (A)	1	12262
Upper Lachlan Shire (A)	0	768
Upper Lachlan Shire (A)	1	6927
Uralla (A)	0	500
Uralla (A)	1	5548
Wagga Wagga (C)	0	6707
Wagga Wagga (C)	1	55678
Walcha (A)	0	398
Walcha (A)	1	2694
Walgett (A)	0	926
Walgett (A)	1	5181
Warren (A)	0	336
Warren (A)	1	2396
Warrumbungle Shire (A)	0	1185
Warrumbungle Shire (A)	1	8199
Waverley (A)	0	19041
Waverley (A)	1	47771
Weddin (A)	0	402
Weddin (A)	1	3262
Wentworth (A)	0	821
Wentworth (A)	1	5973
Western Plains Regional (A)	0	6542
Western Plains Regional (A)	1	43535
Willoughby (C)	0	19324
Willoughby (C)	1	54978
Wingecarribee (A)	0	5539
Wingecarribee (A)	1	42343
Wollondilly (A)	0	4326
Wollondilly (A)	1	44193
Wollongong (C)	0	27061
Wollongong (C)	1	176569
Woollahra (A)	0	11484
Woollahra (A)	1	42756
Yass Valley (A)	0	1437
Yass Valley (A)	1	14705
Unincorporated NSW	0	154
Unincorporated NSW	1	902
No usual address (NSW)	0	5085
No usual address (NSW)	1	7203
Migratory - Offshore - Shipping (NSW)	0	87
Migratory - Offshore - Shipping (NSW)	1	325
Alpine (S)	0	1542
Alpine (S)	1	10795
Ararat (RC)	0	1912
Ararat (RC)	1	9688
Ballarat (C)	0	10565
Ballarat (C)	1	91121
Banyule (C)	0	16648
Banyule (C)	1	105217
Bass Coast (S)	0	3900
Bass Coast (S)	1	28904
Baw Baw (S)	0	5077
Baw Baw (S)	1	43402
Bayside (C)	0	14143
Bayside (C)	1	82944
Benalla (RC)	0	1450
Benalla (RC)	1	12411
Boroondara (C)	0	30785
Boroondara (C)	1	136446
Brimbank (C)	0	44167
Brimbank (C)	1	150152
Buloke (S)	0	694
Buloke (S)	1	5507
Campaspe (S)	0	3742
Campaspe (S)	1	33319
Cardinia (S)	0	12763
Cardinia (S)	1	81365
Casey (C)	0	58125
Casey (C)	1	241176
Central Goldfields (S)	0	1258
Central Goldfields (S)	1	11737
Colac-Otway (S)	0	2294
Colac-Otway (S)	1	18678
Corangamite (S)	0	1696
Corangamite (S)	1	14355
Darebin (C)	0	32411
Darebin (C)	1	114308
East Gippsland (S)	0	5290
East Gippsland (S)	1	39750
Frankston (C)	0	20073
Frankston (C)	1	114070
Gannawarra (S)	0	944
