LGA_NAME16	AustCitizen	Sex	persons
Albury (C)	0	F	3083
Albury (C)	0	M	2961
Albury (C)	1	F	23328
Albury (C)	1	M	21701
Armidale Regional (A)	0	F	2147
Armidale Regional (A)	0	M	2071
Armidale Regional (A)	1	F	13073
Armidale Regional (A)	1	M	12156
Ballina (A)	0	F	2327
Ballina (A)	0	M	2131
Ballina (A)	1	F	19331
Ballina (A)	1	M	17996
Balranald (A)	0	F	162
Balranald (A)	0	M	160
Balranald (A)	1	F	953
Balranald (A)	1	M	1017
Bathurst Regional (A)	0	F	2243
Bathurst Regional (A)	0	M	3000
Bathurst Regional (A)	1	F	18362
Bathurst Regional (A)	1	M	17695
Bega Valley (A)	0	F	1780
Bega Valley (A)	0	M	1712
Bega Valley (A)	1	F	15221
Bega Valley (A)	1	M	14540
Bellingen (A)	0	F	663
Bellingen (A)	0	M	630
Bellingen (A)	1	F	5885
Bellingen (A)	1	M	5493
Berrigan (A)	0	F	506
Berrigan (A)	0	M	541
Berrigan (A)	1	F	3730
Berrigan (A)	1	M	3683
Blacktown (C)	0	F	32598
Blacktown (C)	0	M	32309
Blacktown (C)	1	F	136792
Blacktown (C)	1	M	135265
Bland (A)	0	F	414
Bland (A)	0	M	401
Bland (A)	1	F	2574
Bland (A)	1	M	2570
Blayney (A)	0	F	310
Blayney (A)	0	M	341
Blayney (A)	1	F	3337
Blayney (A)	1	M	3272
Blue Mountains (C)	0	F	3931
Blue Mountains (C)	0	M	3683
Blue Mountains (C)	1	F	35851
Blue Mountains (C)	1	M	33436
Bogan (A)	0	F	180
Bogan (A)	0	M	184
Bogan (A)	1	F	1154
Bogan (A)	1	M	1171
Botany Bay (C)	0	F	6052
Botany Bay (C)	0	M	6107
Botany Bay (C)	1	F	17368
Botany Bay (C)	1	M	17122
Bourke (A)	0	F	286
Bourke (A)	0	M	281
Bourke (A)	1	F	1043
Bourke (A)	1	M	1020
Brewarrina (A)	0	F	77
Brewarrina (A)	0	M	111
Brewarrina (A)	1	F	725
Brewarrina (A)	1	M	738
Broken Hill (C)	0	F	851
Broken Hill (C)	0	M	866
Broken Hill (C)	1	F	8240
Broken Hill (C)	1	M	7749
Burwood (A)	0	F	6723
Burwood (A)	0	M	6414
Burwood (A)	1	F	12305
Burwood (A)	1	M	11371
Byron (A)	0	F	3052
Byron (A)	0	M	2921
Byron (A)	1	F	13309
Byron (A)	1	M	12276
Cabonne (A)	0	F	585
Cabonne (A)	0	M	574
Cabonne (A)	1	F	6114
Cabonne (A)	1	M	6118
Camden (A)	0	F	4150
Camden (A)	0	M	3953
Camden (A)	1	F	35734
Camden (A)	1	M	34383
Campbelltown (C) (NSW)	0	F	13555
Campbelltown (C) (NSW)	0	M	12435
Campbelltown (C) (NSW)	1	F	66444
Campbelltown (C) (NSW)	1	M	64567
Canada Bay (A)	0	F	11326
Canada Bay (A)	0	M	10409
Canada Bay (A)	1	F	34340
Canada Bay (A)	1	M	31939
Canterbury-Bankstown (A)	0	F	34881
Canterbury-Bankstown (A)	0	M	36002
Canterbury-Bankstown (A)	1	F	139096
Canterbury-Bankstown (A)	1	M	136325
Carrathool (A)	0	F	197
Carrathool (A)	0	M	208
Carrathool (A)	1	F	1106
Carrathool (A)	1	M	1213
Central Coast (C) (NSW)	0	F	18523
Central Coast (C) (NSW)	0	M	17214
Central Coast (C) (NSW)	1	F	150449
Central Coast (C) (NSW)	1	M	141554
Central Darling (A)	0	F	134
Central Darling (A)	0	M	175
Central Darling (A)	1	F	725
Central Darling (A)	1	M	798
Cessnock (C)	0	F	2719
Cessnock (C)	0	M	3324
Cessnock (C)	1	F	25209
Cessnock (C)	1	M	24309
Clarence Valley (A)	0	F	2450
Clarence Valley (A)	0	M	2648
Clarence Valley (A)	1	F	23080
Clarence Valley (A)	1	M	22492
Cobar (A)	0	F	351
Cobar (A)	0	M	383
Cobar (A)	1	F	1904
Cobar (A)	1	M	2011
Coffs Harbour (C)	0	F	4883
Coffs Harbour (C)	0	M	4631
Coffs Harbour (C)	1	F	32746
Coffs Harbour (C)	1	M	30688
Coolamon (A)	0	F	247
Coolamon (A)	0	M	237
Coolamon (A)	1	F	1909
Coolamon (A)	1	M	1923
Coonamble (A)	0	F	323
Coonamble (A)	0	M	315
Coonamble (A)	1	F	1647
Coonamble (A)	1	M	1632
Cowra (A)	0	F	632
Cowra (A)	0	M	584
Cowra (A)	1	F	5676
Cowra (A)	1	M	5573
Cumberland (A)	0	F	26612
Cumberland (A)	0	M	33109
Cumberland (A)	1	F	78388
Cumberland (A)	1	M	77971
Dungog (A)	0	F	368
Dungog (A)	0	M	389
Dungog (A)	1	F	4111
Dungog (A)	1	M	4108
Edward River (A)	0	F	558
Edward River (A)	0	M	580
Edward River (A)	1	F	3934
Edward River (A)	1	M	3773
Eurobodalla (A)	0	F	2008
Eurobodalla (A)	0	M	2027
Eurobodalla (A)	1	F	16947
Eurobodalla (A)	1	M	16243
Fairfield (C)	0	F	19298
Fairfield (C)	0	M	18310
Fairfield (C)	1	F	81557
Fairfield (C)	1	M	79649
Federation (A)	0	F	651
Federation (A)	0	M	659
Federation (A)	1	F	5523
Federation (A)	1	M	5443
Forbes (A)	0	F	485
Forbes (A)	0	M	488
Forbes (A)	1	F	4299
Forbes (A)	1	M	4318
Georges River (A)	0	F	18366
Georges River (A)	0	M	17294
Georges River (A)	1	F	56720
Georges River (A)	1	M	54461
Gilgandra (A)	0	F	186
Gilgandra (A)	0	M	193
Gilgandra (A)	1	F	1956
Gilgandra (A)	1	M	1896
Glen Innes Severn (A)	0	F	552
Glen Innes Severn (A)	0	M	650
Glen Innes Severn (A)	1	F	3901
Glen Innes Severn (A)	1	M	3730
Goulburn Mulwaree (A)	0	F	1516
Goulburn Mulwaree (A)	0	M	2134
Goulburn Mulwaree (A)	1	F	13115
Goulburn Mulwaree (A)	1	M	12848
Greater Hume Shire (A)	0	F	464
Greater Hume Shire (A)	0	M	434
Greater Hume Shire (A)	1	F	4706
Greater Hume Shire (A)	1	M	4753
Griffith (C)	0	F	2350
Griffith (C)	0	M	2450
Griffith (C)	1	F	10497
Griffith (C)	1	M	10345
Gundagai (A)	0	F	466
Gundagai (A)	0	M	492
Gundagai (A)	1	F	5158
Gundagai (A)	1	M	5022
Gunnedah (A)	0	F	613
Gunnedah (A)	0	M	622
Gunnedah (A)	1	F	5494
Gunnedah (A)	1	M	5483
Gwydir (A)	0	F	289
Gwydir (A)	0	M	300
Gwydir (A)	1	F	2303
Gwydir (A)	1	M	2357
Hawkesbury (C)	0	F	3372
Hawkesbury (C)	0	M	3269
Hawkesbury (C)	1	F	29263
Hawkesbury (C)	1	M	28683
Hay (A)	0	F	218
Hay (A)	0	M	217
Hay (A)	1	F	1243
Hay (A)	1	M	1263
Hilltops (A)	0	F	900
Hilltops (A)	0	M	772
Hilltops (A)	1	F	8502
Hilltops (A)	1	M	8316
Hornsby (A)	0	F	12102
Hornsby (A)	0	M	10847
Hornsby (A)	1	F	60925
Hornsby (A)	1	M	58787
Hunters Hill (A)	0	F	861
Hunters Hill (A)	0	M	823
Hunters Hill (A)	1	F	6155
Hunters Hill (A)	1	M	6164
Inner West (A)	0	F	19666
Inner West (A)	0	M	19612
Inner West (A)	1	F	73636
Inner West (A)	1	M	69124
Inverell (A)	0	F	922
Inverell (A)	0	M	858
Inverell (A)	1	F	7501
Inverell (A)	1	M	7203
Junee (A)	0	F	334
Junee (A)	0	M	1217
Junee (A)	1	F	2386
Junee (A)	1	M	2357
Kempsey (A)	0	F	1675
Kempsey (A)	0	M	1980
Kempsey (A)	1	F	12764
Kempsey (A)	1	M	12467
Kiama (A)	0	F	1186
Kiama (A)	0	M	1092
Kiama (A)	1	F	9750
Kiama (A)	1	M	9436
Ku-ring-gai (A)	0	F	10577
Ku-ring-gai (A)	0	M	9069
Ku-ring-gai (A)	1	F	50817
Ku-ring-gai (A)	1	M	47588
Kyogle (A)	0	F	519
Kyogle (A)	0	M	567
Kyogle (A)	1	F	3892
Kyogle (A)	1	M	3962
Lachlan (A)	0	F	405
Lachlan (A)	0	M	426
Lachlan (A)	1	F	2694
Lachlan (A)	1	M	2674
Lake Macquarie (C)	0	F	7920
Lake Macquarie (C)	0	M	7435
Lake Macquarie (C)	1	F	93157
Lake Macquarie (C)	1	M	88859
Lane Cove (A)	0	F	3709
Lane Cove (A)	0	M	3425
Lane Cove (A)	1	F	14604
Lane Cove (A)	1	M	14308
Leeton (A)	0	F	743
Leeton (A)	0	M	733
Leeton (A)	1	F	4890
Leeton (A)	1	M	4797
Lismore (C)	0	F	2443
Lismore (C)	0	M	2354
Lismore (C)	1	F	19717
Lismore (C)	1	M	18621
Lithgow (C)	0	F	1351
Lithgow (C)	0	M	1723
Lithgow (C)	1	F	9050
Lithgow (C)	1	M	8966
Liverpool (C)	0	F	18227
Liverpool (C)	0	M	17731
Liverpool (C)	1	F	84748
Liverpool (C)	1	M	83620
Liverpool Plains (A)	0	F	440
Liverpool Plains (A)	0	M	393
Liverpool Plains (A)	1	F	3375
Liverpool Plains (A)	1	M	3477
Lockhart (A)	0	F	177
Lockhart (A)	0	M	139
Lockhart (A)	1	F	1402
Lockhart (A)	1	M	1398
Maitland (C)	0	F	3322
Maitland (C)	0	M	3176
Maitland (C)	1	F	36249
Maitland (C)	1	M	34560
Mid-Coast (A)	0	F	4518
