LGA_NAME16	persons
Horsham (RC)	19642
Hume (C)	197376
Indigo (S)	15952
Kingston (C) (Vic.)	151389
Knox (C)	154110
Latrobe (C) (Vic.)	73257
Loddon (S)	7516
Macedon Ranges (S)	46100
Manningham (C)	116255
Mansfield (S)	8584
Maribyrnong (C)	82288
Maroondah (C)	110376
Melbourne (C)	135959
Melton (C)	135443
Mildura (RC)	53878
Mitchell (S)	40918
Moira (S)	29112
Monash (C)	182618
Moonee Valley (C)	116671
Moorabool (S)	31818
Moreland (C)	162558
Mornington Peninsula (S)	154999
Mount Alexander (S)	18761
Moyne (S)	16495
Murrindindi (S)	13732
Nillumbik (S)	61273
Northern Grampians (S)	11439
Port Phillip (C)	100863
Pyrenees (S)	7238
Queenscliffe (B)	2853
South Gippsland (S)	28703
Southern Grampians (S)	15944
Stonnington (C)	103832
Strathbogie (S)	10274
Surf Coast (S)	29397
Swan Hill (RC)	20584
Towong (S)	5985
Wangaratta (RC)	28310
Warrnambool (C)	33655
Wellington (S)	42983
West Wimmera (S)	3903
Whitehorse (C)	162078
Whittlesea (C)	197491
Wodonga (C)	39351
Wyndham (C)	217122
Yarra (C)	86657
Yarra Ranges (S)	149537
Yarriambiack (S)	6674
Unincorporated Vic	876
No usual address (Vic.)	7565
Migratory - Offshore - Shipping (Vic.)	29
Aurukun (S)	1269
Balonne (S)	4377
Banana (S)	14319
Barcaldine (R)	2865
Barcoo (S)	267
Blackall-Tambo (R)	1903
Boulia (S)	426
Brisbane (C)	1131155
Bulloo (S)	353
Bundaberg (R)	92897
Burdekin (S)	17074
Burke (S)	328
Cairns (R)	156901
Carpentaria (S)	1958
Cassowary Coast (R)	28726
Central Highlands (R) (Qld)	27999
Charters Towers (R)	11876
Cherbourg (S)	1269
Cloncurry (S)	3032
Cook (S)	4226
Croydon (S)	294
Diamantina (S)	291
Doomadgee (S)	1405
Douglas (S)	11714
Etheridge (S)	799
Flinders (S) (Qld)	1536
Fraser Coast (R)	101504
Gladstone (R)	61640
Gold Coast (C)	555721
Goondiwindi (R)	10630
Gympie (R)	49559
Hinchinbrook (S)	10885
Hope Vale (S)	918
Ipswich (C)	193733
Isaac (R)	20940
Kowanyama (S)	944
Livingstone (S)	36272
Lockhart River (S)	712
Lockyer Valley (R)	38609
Logan (C)	303386
Longreach (R)	3660
Mackay (R)	114969
McKinlay (S)	796
Mapoon (S)	310
Maranoa (R)	12666
Mareeba (S)	21557
Moreton Bay (R)	425302
Mornington (S)	1143
Mount Isa (C)	18671
Murweh (S)	4307
Napranum (S)	957
Noosa (S)	52149
North Burnett (R)	10478
Northern Peninsula Area (R)	2796
Palm Island (S)	2446
Paroo (S)	1640
Pormpuraaw (S)	749
Quilpie (S)	813
Redland (C)	147010
Richmond (S)	791
Rockhampton (R)	79726
Scenic Rim (R)	40072
Somerset (R)	24597
South Burnett (R)	32186
Southern Downs (R)	35110
Sunshine Coast (R)	294367
Tablelands (R)	24827
Toowoomba (R)	160779
Torres (S)	3610
Torres Strait Island (R)	4514
Townsville (C)	186757
Weipa (T)	3905
Western Downs (R)	33444
