LGA_NAME16	Age	NeedsAssistance	Sex	persons
Albury (C)	0-4		F	128
Albury (C)	0-4		M	96
Albury (C)	0-4	0	F	1442
Albury (C)	0-4	0	M	1576
Albury (C)	0-4	1	F	21
Albury (C)	0-4	1	M	22
Albury (C)	5-14		F	185
Albury (C)	5-14		M	211
Albury (C)	5-14	0	F	2838
Albury (C)	5-14	0	M	2837
Albury (C)	5-14	1	F	97
Albury (C)	5-14	1	M	160
Albury (C)	15-19		F	93
Albury (C)	15-19		M	117
Albury (C)	15-19	0	F	1504
Albury (C)	15-19	0	M	1446
Albury (C)	15-19	1	F	40
Albury (C)	15-19	1	M	49
Albury (C)	20-24		F	140
Albury (C)	20-24		M	159
Albury (C)	20-24	0	F	1627
Albury (C)	20-24	0	M	1478
Albury (C)	20-24	1	F	37
Albury (C)	20-24	1	M	62
Albury (C)	25-34		F	263
Albury (C)	25-34		M	268
Albury (C)	25-34	0	F	2961
Albury (C)	25-34	0	M	2836
Albury (C)	25-34	1	F	72
Albury (C)	25-34	1	M	91
Albury (C)	35-44		F	221
Albury (C)	35-44		M	222
Albury (C)	35-44	0	F	2907
Albury (C)	35-44	0	M	2647
Albury (C)	35-44	1	F	102
Albury (C)	35-44	1	M	99
Albury (C)	45-54		F	218
Albury (C)	45-54		M	265
Albury (C)	45-54	0	F	2964
Albury (C)	45-54	0	M	2770
Albury (C)	45-54	1	F	153
Albury (C)	45-54	1	M	135
Albury (C)	55-64		F	242
Albury (C)	55-64		M	237
Albury (C)	55-64	0	F	2915
Albury (C)	55-64	0	M	2644
Albury (C)	55-64	1	F	167
Albury (C)	55-64	1	M	168
Albury (C)	65-74		F	186
Albury (C)	65-74		M	190
Albury (C)	65-74	0	F	2188
Albury (C)	65-74	0	M	1934
Albury (C)	65-74	1	F	200
Albury (C)	65-74	1	M	205
Albury (C)	75-84		F	193
Albury (C)	75-84		M	115
Albury (C)	75-84	0	F	1162
Albury (C)	75-84	0	M	918
Albury (C)	75-84	1	F	302
Albury (C)	75-84	1	M	217
Albury (C)	85+		F	85
Albury (C)	85+		M	57
Albury (C)	85+	0	F	329
Albury (C)	85+	0	M	251
Albury (C)	85+	1	F	423
Albury (C)	85+	1	M	179
Armidale Regional (A)	0-4		F	69
Armidale Regional (A)	0-4		M	56
Armidale Regional (A)	0-4	0	F	751
Armidale Regional (A)	0-4	0	M	770
Armidale Regional (A)	0-4	1	F	5
Armidale Regional (A)	0-4	1	M	18
Armidale Regional (A)	5-14		F	114
Armidale Regional (A)	5-14		M	119
Armidale Regional (A)	5-14	0	F	1677
Armidale Regional (A)	5-14	0	M	1639
Armidale Regional (A)	5-14	1	F	37
Armidale Regional (A)	5-14	1	M	80
Armidale Regional (A)	15-19		F	110
Armidale Regional (A)	15-19		M	100
Armidale Regional (A)	15-19	0	F	1173
Armidale Regional (A)	15-19	0	M	1121
Armidale Regional (A)	15-19	1	F	18
Armidale Regional (A)	15-19	1	M	37
Armidale Regional (A)	20-24		F	141
Armidale Regional (A)	20-24		M	128
Armidale Regional (A)	20-24	0	F	1261
Armidale Regional (A)	20-24	0	M	1212
Armidale Regional (A)	20-24	1	F	23
Armidale Regional (A)	20-24	1	M	24
Armidale Regional (A)	25-34		F	140
Armidale Regional (A)	25-34		M	143
