LGA_NAME16	HomeCensusNight	Sex	persons
Albury (C)	0	F	1597
Albury (C)	0	M	1639
Albury (C)	1	F	24811
Albury (C)	1	M	23024
Armidale Regional (A)	0	F	1079
Armidale Regional (A)	0	M	1062
Armidale Regional (A)	1	F	14144
Armidale Regional (A)	1	M	13166
Ballina (A)	0	F	1113
Ballina (A)	0	M	1141
Ballina (A)	1	F	20545
Ballina (A)	1	M	18988
Balranald (A)	0	F	57
Balranald (A)	0	M	57
Balranald (A)	1	F	1059
Balranald (A)	1	M	1113
Bathurst Regional (A)	0	F	1066
Bathurst Regional (A)	0	M	1217
Bathurst Regional (A)	1	F	19541
Bathurst Regional (A)	1	M	19480
Bega Valley (A)	0	F	1285
Bega Valley (A)	0	M	1366
Bega Valley (A)	1	F	15715
Bega Valley (A)	1	M	14885
Bellingen (A)	0	F	355
Bellingen (A)	0	M	361
Bellingen (A)	1	F	6187
Bellingen (A)	1	M	5761
Berrigan (A)	0	F	311
Berrigan (A)	0	M	332
Berrigan (A)	1	F	3924
Berrigan (A)	1	M	3889
Blacktown (C)	0	F	4039
Blacktown (C)	0	M	4621
Blacktown (C)	1	F	165348
Blacktown (C)	1	M	162954
Bland (A)	0	F	210
Bland (A)	0	M	170
Bland (A)	1	F	2781
Bland (A)	1	M	2800
Blayney (A)	0	F	183
Blayney (A)	0	M	224
Blayney (A)	1	F	3463
Blayney (A)	1	M	3387
Blue Mountains (C)	0	F	1859
Blue Mountains (C)	0	M	1897
Blue Mountains (C)	1	F	37922
Blue Mountains (C)	1	M	35222
Bogan (A)	0	F	110
Bogan (A)	0	M	118
Bogan (A)	1	F	1228
Bogan (A)	1	M	1237
Botany Bay (C)	0	F	684
Botany Bay (C)	0	M	799
Botany Bay (C)	1	F	22742
Botany Bay (C)	1	M	22433
Bourke (A)	0	F	109
Bourke (A)	0	M	108
Bourke (A)	1	F	1221
Bourke (A)	1	M	1188
Brewarrina (A)	0	F	60
Brewarrina (A)	0	M	65
Brewarrina (A)	1	F	736
Brewarrina (A)	1	M	787
Broken Hill (C)	0	F	648
Broken Hill (C)	0	M	724
Broken Hill (C)	1	F	8445
Broken Hill (C)	1	M	7896
Burwood (A)	0	F	585
Burwood (A)	0	M	525
Burwood (A)	1	F	18445
Burwood (A)	1	M	17261
Byron (A)	0	F	968
Byron (A)	0	M	1003
Byron (A)	1	F	15391
Byron (A)	1	M	14196
Cabonne (A)	0	F	360
Cabonne (A)	0	M	417
Cabonne (A)	1	F	6333
Cabonne (A)	1	M	6273
Camden (A)	0	F	1124
Camden (A)	0	M	1329
Camden (A)	1	F	38760
Camden (A)	1	M	37007
Campbelltown (C) (NSW)	0	F	2401
Campbelltown (C) (NSW)	0	M	2604
Campbelltown (C) (NSW)	1	F	77595
Campbelltown (C) (NSW)	1	M	74405
Canada Bay (A)	0	F	1555
Canada Bay (A)	0	M	1651
Canada Bay (A)	1	F	44112
Canada Bay (A)	1	M	40700
Canterbury-Bankstown (A)	0	F	4601
Canterbury-Bankstown (A)	0	M	4897
Canterbury-Bankstown (A)	1	F	169379
Canterbury-Bankstown (A)	1	M	167424
Carrathool (A)	0	F	105
Carrathool (A)	0	M	113
Carrathool (A)	1	F	1197
Carrathool (A)	1	M	1304
Central Coast (C) (NSW)	0	F	7474
Central Coast (C) (NSW)	0	M	8052
Central Coast (C) (NSW)	1	F	161500
Central Coast (C) (NSW)	1	M	150710
Central Darling (A)	0	F	78
Central Darling (A)	0	M	89
Central Darling (A)	1	F	784
Central Darling (A)	1	M	879
Cessnock (C)	0	F	1343
Cessnock (C)	0	M	1466
