LGA_NAME16	medianTotalFamilyIncome
Albury (C)	79664
Armidale Regional (A)	76180
Ballina (A)	74152
Balranald (A)	74776
Bathurst Regional (A)	84864
Bega Valley (A)	64584
Bellingen (A)	63336
Berrigan (A)	65052
Blacktown (C)	94484
Bland (A)	70720
Blayney (A)	82212
Blue Mountains (C)	97032
Bogan (A)	81172
Botany Bay (C)	99892
Bourke (A)	81224
Brewarrina (A)	47996
Broken Hill (C)	66508
Burwood (A)	89700
Byron (A)	72228
Cabonne (A)	84136
Camden (A)	112372
Campbelltown (C) (NSW)	83044
Canada Bay (A)	122772
Canterbury-Bankstown (A)	74724
Carrathool (A)	79976
Central Coast (C) (NSW)	81120
Central Darling (A)	55900
Cessnock (C)	73528
Clarence Valley (A)	58916
Cobar (A)	99996
Coffs Harbour (C)	69992
Coolamon (A)	73736
Coonamble (A)	63336
Cowra (A)	63700
Cumberland (A)	74672
Dungog (A)	76648
Edward River (A)	72748
Eurobodalla (A)	61568
Fairfield (C)	65676
Federation (A)	67548
Forbes (A)	68952
Georges River (A)	94484
Gilgandra (A)	62348
Glen Innes Severn (A)	57772
Goulburn Mulwaree (A)	78260
Greater Hume Shire (A)	74828
Griffith (C)	80860
Gundagai (A)	66560
Gunnedah (A)	82472
Gwydir (A)	61256
Hawkesbury (C)	99632
Hay (A)	69888
Hilltops (A)	65572
Hornsby (A)	123344
Hunters Hill (A)	171652
Inner West (A)	129896
Inverell (A)	61412
Junee (A)	73320
Kempsey (A)	57564
Kiama (A)	94640
Ku-ring-gai (A)	158392
Kyogle (A)	55952
Lachlan (A)	66508
Lake Macquarie (C)	83720
Lane Cove (A)	154492
Leeton (A)	75712
Lismore (C)	70252
Lithgow (C)	69056
Liverpool (C)	86476
Liverpool Plains (A)	66924
Lockhart (A)	73216
Maitland (C)	86528
Mid-Coast (A)	57616
Mid-Western Regional (A)	74516
Moree Plains (A)	76960
Mosman (A)	190892
Murray River (A)	69316
Murrumbidgee (A)	75972
Muswellbrook (A)	86580
Nambucca (A)	56160
Narrabri (A)	79612
Narrandera (A)	70148
Narromine (A)	70616
Newcastle (C)	92456
North Sydney (A)	166920
Northern Beaches (A)	131456
Oberon (A)	78468
Orange (C)	86060
Parkes (A)	73424
Parramatta (C)	100516
Penrith (C)	96616
Port Macquarie-Hastings (A)	67600
Port Stephens (A)	74412
Queanbeyan-Palerang Regional (A)	119756
Randwick (C)	125892
Richmond Valley (A)	61932
Rockdale (C)	90792
Ryde (C)	109512
Shellharbour (C)	81224
Shoalhaven (C)	63752
Singleton (A)	103012
Snowy Monaro Regional (A)	81588
Snowy Valleys (A)	73736
Strathfield (A)	98488
Sutherland Shire (A)	120224
Sydney (C)	131248
Tamworth Regional (A)	75192
Temora (A)	69108
Tenterfield (A)	52780
The Hills Shire (A)	128128
Tweed (A)	69264
Upper Hunter Shire (A)	82628
Upper Lachlan Shire (A)	77896
Uralla (A)	69784
Wagga Wagga (C)	87464
Walcha (A)	69108
Walgett (A)	54028
Warren (A)	76336
Warrumbungle Shire (A)	57356
Waverley (A)	151684
Weddin (A)	62036
Wentworth (A)	68016
Western Plains Regional (A)	79300
Willoughby (C)	138892
Wingecarribee (A)	85228
Wollondilly (A)	105664
Wollongong (C)	88920
Woollahra (A)	188552
Yass Valley (A)	115128
Unincorporated NSW	74204
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Alpine (S)	68744
Ararat (RC)	65676
Ballarat (C)	77428
Banyule (C)	105716
Bass Coast (S)	61984
Baw Baw (S)	76024
Bayside (C)	143780
Benalla (RC)	64064
Boroondara (C)	137904
Brimbank (C)	70616
Buloke (S)	57720
Campaspe (S)	70148
Cardinia (S)	88400
Casey (C)	86060
Central Goldfields (S)	52052
Colac-Otway (S)	70824
Corangamite (S)	67652
Darebin (C)	92768
East Gippsland (S)	61984
Frankston (C)	85748
Gannawarra (S)	61776
Glen Eira (C)	116896
Glenelg (S)	70824
Golden Plains (S)	84760
Greater Bendigo (C)	75504
Greater Dandenong (C)	65520
Greater Geelong (C)	81952
Greater Shepparton (C)	73684
Hepburn (S)	66924
Hindmarsh (S)	63284
Hobsons Bay (C)	99892
Horsham (RC)	73216
Hume (C)	76596
Indigo (S)	80080
Kingston (C) (Vic.)	100776
Knox (C)	94640
Latrobe (C) (Vic.)	73580
Loddon (S)	58032
Macedon Ranges (S)	100464
Manningham (C)	98540
Mansfield (S)	69576
Maribyrnong (C)	99476
Maroondah (C)	98540
Melbourne (C)	107224
Melton (C)	87516
Mildura (RC)	69680
Mitchell (S)	84240
Moira (S)	66716
Monash (C)	94068
Moonee Valley (C)	109096
Moorabool (S)	86840
Moreland (C)	95836
Mornington Peninsula (S)	84292
Mount Alexander (S)	68172
Moyne (S)	77272
Murrindindi (S)	72176
Nillumbik (S)	119964
Northern Grampians (S)	65364
Port Phillip (C)	133068
Pyrenees (S)	59696
Queenscliffe (B)	81692
South Gippsland (S)	68640
Southern Grampians (S)	71240
Stonnington (C)	139360
Strathbogie (S)	67236
Surf Coast (S)	97552
Swan Hill (RC)	70616
Towong (S)	69680
Wangaratta (RC)	72072
Warrnambool (C)	78156
Wellington (S)	73268
West Wimmera (S)	67704
Whitehorse (C)	99632
Whittlesea (C)	81588
Wodonga (C)	80600
Wyndham (C)	89128
Yarra (C)	130468
Yarra Ranges (S)	92040
Yarriambiack (S)	61308
Unincorporated Vic	74360
No usual address (Vic.)	
Migratory - Offshore - Shipping (Vic.)	
Aurukun (S)	35256
Balonne (S)	77220
Banana (S)	98540
Barcaldine (R)	78728
Barcoo (S)	87724
Blackall-Tambo (R)	65832
Boulia (S)	80756
Brisbane (C)	108732
