LGA_NAME16	BornAust	persons
Albury (C)	0	5540
Albury (C)	1	41590
Armidale Regional (A)	0	3631
Armidale Regional (A)	1	23396
Ballina (A)	0	4609
Ballina (A)	1	33984
Balranald (A)	0	144
Balranald (A)	1	1869
Bathurst Regional (A)	0	3565
Bathurst Regional (A)	1	34538
Bega Valley (A)	0	3860
Bega Valley (A)	1	26446
Bellingen (A)	0	1495
Bellingen (A)	1	10173
Berrigan (A)	0	651
Berrigan (A)	1	6866
Blacktown (C)	0	136294
Blacktown (C)	1	182150
Bland (A)	0	287
Bland (A)	1	4890
Blayney (A)	0	451
Blayney (A)	1	6206
Blue Mountains (C)	0	12954
Blue Mountains (C)	1	60029
Bogan (A)	0	128
Bogan (A)	1	2233
Botany Bay (C)	0	20687
Botany Bay (C)	1	22686
Bourke (A)	0	101
Bourke (A)	1	1969
Brewarrina (A)	0	35
Brewarrina (A)	1	1448
Broken Hill (C)	0	800
Broken Hill (C)	1	15364
Burwood (A)	0	21067
Burwood (A)	1	13758
Byron (A)	0	5637
Byron (A)	1	21560
Cabonne (A)	0	796
Cabonne (A)	1	11515
Camden (A)	0	13768
Camden (A)	1	60543
Campbelltown (C) (NSW)	0	49325
Campbelltown (C) (NSW)	1	97314
Canada Bay (A)	0	35675
Canada Bay (A)	1	46864
Canterbury-Bankstown (A)	0	152698
Canterbury-Bankstown (A)	1	171649
Carrathool (A)	0	263
Carrathool (A)	1	2180
Central Coast (C) (NSW)	0	48054
Central Coast (C) (NSW)	1	258376
Central Darling (A)	0	81
Central Darling (A)	1	1457
Cessnock (C)	0	3492
Cessnock (C)	1	47595
Clarence Valley (A)	0	3819
Clarence Valley (A)	1	42432
Cobar (A)	0	326
Cobar (A)	1	3716
Coffs Harbour (C)	0	10145
Coffs Harbour (C)	1	57154
Coolamon (A)	0	164
Coolamon (A)	1	3645
Coonamble (A)	0	104
Coonamble (A)	1	3160
Cowra (A)	0	754
Cowra (A)	1	10532
Cumberland (A)	0	112879
Cumberland (A)	1	90056
Dungog (A)	0	434
Dungog (A)	1	7772
Edward River (A)	0	568
Edward River (A)	1	7262
Eurobodalla (A)	0	4969
Eurobodalla (A)	1	28881
Fairfield (C)	0	107149
Fairfield (C)	1	80775
Federation (A)	0	845
Federation (A)	1	10208
Forbes (A)	0	386
Forbes (A)	1	8216
Georges River (A)	0	66916
Georges River (A)	1	73047
Gilgandra (A)	0	158
Gilgandra (A)	1	3679
Glen Innes Severn (A)	0	581
Glen Innes Severn (A)	1	7219
Goulburn Mulwaree (A)	0	2945
Goulburn Mulwaree (A)	1	24472
Greater Hume Shire (A)	0	614
Greater Hume Shire (A)	1	8918
Griffith (C)	0	4819
Griffith (C)	1	18126
Gundagai (A)	0	615
Gundagai (A)	1	9536
Gunnedah (A)	0	583
Gunnedah (A)	1	10502
Gwydir (A)	0	212
Gwydir (A)	1	4433
Hawkesbury (C)	0	7938
Hawkesbury (C)	1	52539
Hay (A)	0	188
Hay (A)	1	2350
Hilltops (A)	0	1145
Hilltops (A)	1	15814
Hornsby (A)	0	52795
Hornsby (A)	1	84949
Hunters Hill (A)	0	3684
Hunters Hill (A)	1	9508
Inner West (A)	0	62406
Inner West (A)	1	105719
Inverell (A)	0	1044
Inverell (A)	1	13875
Junee (A)	0	469
Junee (A)	1	5191
Kempsey (A)	0	2052
Kempsey (A)	1	23939
Kiama (A)	0	2962
Kiama (A)	1	17036
Ku-ring-gai (A)	0	45965
Ku-ring-gai (A)	1	67679
Kyogle (A)	0	850
Kyogle (A)	1	7144
Lachlan (A)	0	236
Lachlan (A)	1	5163
Lake Macquarie (C)	0	19694
Lake Macquarie (C)	1	168252
Lane Cove (A)	0	13067
Lane Cove (A)	1	21270
Leeton (A)	0	903
Leeton (A)	1	9091
Lismore (C)	0	4048
Lismore (C)	1	35360
Lithgow (C)	0	1966
Lithgow (C)	1	16782
Liverpool (C)	0	83346
Liverpool (C)	1	105550
Liverpool Plains (A)	0	342
Liverpool Plains (A)	1	6505
Lockhart (A)	0	147
Lockhart (A)	1	2643
Maitland (C)	0	6151
Maitland (C)	1	66989
Mid-Coast (A)	0	8449
Mid-Coast (A)	1	74289
Mid-Western Regional (A)	0	1811
Mid-Western Regional (A)	1	19525
Moree Plains (A)	0	688
Moree Plains (A)	1	10675
Mosman (A)	0	9515
Mosman (A)	1	16952
Murray River (A)	0	814
Murray River (A)	1	9785
Murrumbidgee (A)	0	231
Murrumbidgee (A)	1	3107
Muswellbrook (A)	0	1271
Muswellbrook (A)	1	13589
Nambucca (A)	0	1760
Nambucca (A)	1	15653
Narrabri (A)	0	550
Narrabri (A)	1	10905
Narrandera (A)	0	274
Narrandera (A)	1	4859
Narromine (A)	0	235
Narromine (A)	1	5484
Newcastle (C)	0	21638
Newcastle (C)	1	126387
North Sydney (A)	0	25680
North Sydney (A)	1	36674
Northern Beaches (A)	0	73076
Northern Beaches (A)	1	166494
Oberon (A)	0	481
Oberon (A)	1	4173
Orange (C)	0	3784
Orange (C)	1	33654
Parkes (A)	0	779
Parkes (A)	1	12328
Parramatta (C)	0	112203
Parramatta (C)	1	101064
Penrith (C)	0	42400
