LGA_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Albury (C)	0	1	6020
Albury (C)	0	2	609
Albury (C)	0	3	129
Albury (C)	0	4	46
Albury (C)	0	5	11
Albury (C)	0	6	4
Albury (C)	1	2	6126
Albury (C)	1	3	2615
Albury (C)	1	4	2493
Albury (C)	1	5	1033
Albury (C)	1	6	415
Armidale Regional (A)	0	1	2983
Armidale Regional (A)	0	2	319
Armidale Regional (A)	0	3	97
Armidale Regional (A)	0	4	47
Armidale Regional (A)	0	5	18
Armidale Regional (A)	0	6	4
Armidale Regional (A)	1	2	3346
Armidale Regional (A)	1	3	1343
Armidale Regional (A)	1	4	1242
Armidale Regional (A)	1	5	591
Armidale Regional (A)	1	6	290
Ballina (A)	0	1	4594
Ballina (A)	0	2	448
Ballina (A)	0	3	74
Ballina (A)	0	4	24
Ballina (A)	0	5	9
Ballina (A)	1	2	5786
Ballina (A)	1	3	2167
Ballina (A)	1	4	1964
Ballina (A)	1	5	822
Ballina (A)	1	6	332
Balranald (A)	0	1	224
Balranald (A)	0	2	13
Balranald (A)	1	2	270
Balranald (A)	1	3	112
Balranald (A)	1	4	79
Balranald (A)	1	5	73
Balranald (A)	1	6	38
Bathurst Regional (A)	0	1	3884
Bathurst Regional (A)	0	2	448
Bathurst Regional (A)	0	3	91
Bathurst Regional (A)	0	4	43
Bathurst Regional (A)	0	5	10
Bathurst Regional (A)	0	6	3
Bathurst Regional (A)	1	2	4458
Bathurst Regional (A)	1	3	2037
Bathurst Regional (A)	1	4	2053
Bathurst Regional (A)	1	5	937
Bathurst Regional (A)	1	6	452
Bega Valley (A)	0	1	4018
Bega Valley (A)	0	2	297
Bega Valley (A)	0	3	21
Bega Valley (A)	0	4	8
Bega Valley (A)	1	2	5167
Bega Valley (A)	1	3	1574
Bega Valley (A)	1	4	1293
Bega Valley (A)	1	5	557
Bega Valley (A)	1	6	284
Bellingen (A)	0	1	1440
Bellingen (A)	0	2	153
Bellingen (A)	0	3	10
Bellingen (A)	1	2	1777
Bellingen (A)	1	3	659
Bellingen (A)	1	4	583
Bellingen (A)	1	5	231
Bellingen (A)	1	6	114
Berrigan (A)	0	1	1075
Berrigan (A)	0	2	82
Berrigan (A)	0	3	3
Berrigan (A)	1	2	1219
Berrigan (A)	1	3	321
Berrigan (A)	1	4	321
Berrigan (A)	1	5	162
Berrigan (A)	1	6	82
Blacktown (C)	0	1	15362
Blacktown (C)	0	2	1710
Blacktown (C)	0	3	348
Blacktown (C)	0	4	164
Blacktown (C)	0	5	75
Blacktown (C)	0	6	67
Blacktown (C)	1	2	22954
Blacktown (C)	1	3	19689
