LGA_NAME16	Age	Sex	persons
Ballina (A)	55-64	M	3036
Ballina (A)	65-74	F	2805
Ballina (A)	65-74	M	2699
Ballina (A)	75-84	F	1773
Ballina (A)	75-84	M	1437
Ballina (A)	85+	F	1104
Ballina (A)	85+	M	655
Balranald (A)	0-4	F	71
Balranald (A)	0-4	M	80
Balranald (A)	5-14	F	162
Balranald (A)	5-14	M	172
Balranald (A)	15-19	F	56
Balranald (A)	15-19	M	74
Balranald (A)	20-24	F	56
Balranald (A)	20-24	M	81
Balranald (A)	25-34	F	136
Balranald (A)	25-34	M	99
Balranald (A)	35-44	F	130
Balranald (A)	35-44	M	147
Balranald (A)	45-54	F	132
Balranald (A)	45-54	M	156
Balranald (A)	55-64	F	186
Balranald (A)	55-64	M	194
Balranald (A)	65-74	F	86
Balranald (A)	65-74	M	119
Balranald (A)	75-84	F	76
Balranald (A)	75-84	M	59
Balranald (A)	85+	F	22
Balranald (A)	85+	M	12
Bathurst Regional (A)	0-4	F	1209
Bathurst Regional (A)	0-4	M	1339
Bathurst Regional (A)	5-14	F	2691
Bathurst Regional (A)	5-14	M	2883
Bathurst Regional (A)	15-19	F	1460
Bathurst Regional (A)	15-19	M	1515
Bathurst Regional (A)	20-24	F	1544
Bathurst Regional (A)	20-24	M	1604
Bathurst Regional (A)	25-34	F	2399
Bathurst Regional (A)	25-34	M	2765
Bathurst Regional (A)	35-44	F	2430
Bathurst Regional (A)	35-44	M	2450
Bathurst Regional (A)	45-54	F	2665
Bathurst Regional (A)	45-54	M	2572
Bathurst Regional (A)	55-64	F	2517
Bathurst Regional (A)	55-64	M	2477
Bathurst Regional (A)	65-74	F	1951
Bathurst Regional (A)	65-74	M	1917
Bathurst Regional (A)	75-84	F	1137
Bathurst Regional (A)	75-84	M	882
Bathurst Regional (A)	85+	F	600
Bathurst Regional (A)	85+	M	293
Bega Valley (A)	0-4	F	718
Bega Valley (A)	0-4	M	757
Bega Valley (A)	5-14	F	1844
Bega Valley (A)	5-14	M	1944
Bega Valley (A)	15-19	F	879
Bega Valley (A)	15-19	M	915
Bega Valley (A)	20-24	F	569
Bega Valley (A)	20-24	M	622
Bega Valley (A)	25-34	F	1287
Bega Valley (A)	25-34	M	1194
Bega Valley (A)	35-44	F	1660
Bega Valley (A)	35-44	M	1459
