LGA_NAME16	HomeCensusNight	persons
Rockdale (C)	1	106205
Ryde (C)	0	3543
Ryde (C)	1	112752
Shellharbour (C)	0	2941
Shellharbour (C)	1	65516
Shoalhaven (C)	0	6807
Shoalhaven (C)	1	92844
Singleton (A)	0	1182
Singleton (A)	1	21803
Snowy Monaro Regional (A)	0	1406
Snowy Monaro Regional (A)	1	18809
Snowy Valleys (A)	0	971
Snowy Valleys (A)	1	13426
Strathfield (A)	0	1256
Strathfield (A)	1	39053
Sutherland Shire (A)	0	8156
Sutherland Shire (A)	1	210308
Sydney (C)	0	9317
Sydney (C)	1	199061
Tamworth Regional (A)	0	3539
Tamworth Regional (A)	1	56124
Temora (A)	0	358
Temora (A)	1	5759
Tenterfield (A)	0	449
Tenterfield (A)	1	6174
The Hills Shire (A)	0	4457
The Hills Shire (A)	1	152783
Tweed (A)	0	4680
Tweed (A)	1	86688
Upper Hunter Shire (A)	0	734
Upper Hunter Shire (A)	1	13375
Upper Lachlan Shire (A)	0	458
Upper Lachlan Shire (A)	1	7239
Uralla (A)	0	389
Uralla (A)	1	5661
Wagga Wagga (C)	0	3729
Wagga Wagga (C)	1	58656
Walcha (A)	0	174
Walcha (A)	1	2917
Walgett (A)	0	526
Walgett (A)	1	5589
Warren (A)	0	210
Warren (A)	1	2517
Warrumbungle Shire (A)	0	697
Warrumbungle Shire (A)	1	8683
Waverley (A)	0	2850
Waverley (A)	1	63966
Weddin (A)	0	259
Weddin (A)	1	3398
Wentworth (A)	0	479
Wentworth (A)	1	6320
Western Plains Regional (A)	0	3084
Western Plains Regional (A)	1	46990
Willoughby (C)	0	2543
Willoughby (C)	1	71762
Wingecarribee (A)	0	2627
Wingecarribee (A)	1	45249
Wollondilly (A)	0	1818
Wollondilly (A)	1	46701
Wollongong (C)	0	9254
Wollongong (C)	1	194372
Woollahra (A)	0	2606
Woollahra (A)	1	51636
Yass Valley (A)	0	860
Yass Valley (A)	1	15284
Unincorporated NSW	0	154
Unincorporated NSW	1	898
No usual address (NSW)	0	12288
Migratory - Offshore - Shipping (NSW)	0	6
Migratory - Offshore - Shipping (NSW)	1	409
Alpine (S)	0	1073
Alpine (S)	1	11261
Ararat (RC)	0	738
Ararat (RC)	1	10862
Ballarat (C)	0	5923
Ballarat (C)	1	95765
Banyule (C)	0	4984
Banyule (C)	1	116883
Bass Coast (S)	0	2719
Bass Coast (S)	1	30089
Baw Baw (S)	0	2844
Baw Baw (S)	1	45632
Bayside (C)	0	4641
Bayside (C)	1	92449
Benalla (RC)	0	955
Benalla (RC)	1	12903
Boroondara (C)	0	7183
Boroondara (C)	1	160051
Brimbank (C)	0	6124
Brimbank (C)	1	188195
Buloke (S)	0	392
Buloke (S)	1	5808
Campaspe (S)	0	2392
Campaspe (S)	1	34669
Cardinia (S)	0	3694
Cardinia (S)	1	90439
Casey (C)	0	8845
Casey (C)	1	290454
Central Goldfields (S)	0	721
Central Goldfields (S)	1	12278
Colac-Otway (S)	0	1546
Colac-Otway (S)	1	19426
Corangamite (S)	0	1093
Corangamite (S)	1	14957
Darebin (C)	0	5593
Darebin (C)	1	141133
East Gippsland (S)	0	3748
East Gippsland (S)	1	41294
Frankston (C)	0	5646
Frankston (C)	1	128499
Gannawarra (S)	0	666
Gannawarra (S)	1	9884
Glen Eira (C)	0	5255
Glen Eira (C)	1	135623
Glenelg (S)	0	1429
Glenelg (S)	1	18125
Golden Plains (S)	0	986
Golden Plains (S)	1	20698
Greater Bendigo (C)	0	5993
Greater Bendigo (C)	1	104482
