LGA_NAME16	Age	MaritalStatus	Registered	adults
Albury (C)	15-19	Married	0	85
Albury (C)	15-19	Married	1	11
Albury (C)	15-19	Never married		2756
Albury (C)	20-24	Married	0	602
Albury (C)	20-24	Married	1	136
Albury (C)	20-24	Never married		2178
Albury (C)	25-34	Married	0	1243
Albury (C)	25-34	Married	1	2243
Albury (C)	25-34	Never married		2151
Albury (C)	35-44	Married	0	683
Albury (C)	35-44	Married	1	3239
Albury (C)	35-44	Never married		1638
Albury (C)	45-54	Married	0	611
Albury (C)	45-54	Married	1	3291
Albury (C)	45-54	Never married		1893
Albury (C)	55-64	Married	0	424
Albury (C)	55-64	Married	1	3435
Albury (C)	55-64	Never married		1724
Albury (C)	65-74	Married	0	174
Albury (C)	65-74	Married	1	2588
Albury (C)	65-74	Never married		1359
Albury (C)	75-84	Married	0	43
Albury (C)	75-84	Married	1	1179
Albury (C)	75-84	Never married		1055
Albury (C)	85+	Married	0	3
Albury (C)	85+	Married	1	264
Albury (C)	85+	Never married		558
Armidale Regional (A)	15-19	Married	0	40
Armidale Regional (A)	15-19	Married	1	3
Armidale Regional (A)	15-19	Never married		1517
Armidale Regional (A)	20-24	Married	0	333
Armidale Regional (A)	20-24	Married	1	74
Armidale Regional (A)	20-24	Never married		1307
Armidale Regional (A)	25-34	Married	0	623
Armidale Regional (A)	25-34	Married	1	1069
Armidale Regional (A)	25-34	Never married		1178
Armidale Regional (A)	35-44	Married	0	382
Armidale Regional (A)	35-44	Married	1	1521
Armidale Regional (A)	35-44	Never married		817
Armidale Regional (A)	45-54	Married	0	387
Armidale Regional (A)	45-54	Married	1	1877
Armidale Regional (A)	45-54	Never married		922
Armidale Regional (A)	55-64	Married	0	257
Armidale Regional (A)	55-64	Married	1	1844
Armidale Regional (A)	55-64	Never married		935
Armidale Regional (A)	65-74	Married	0	102
Armidale Regional (A)	65-74	Married	1	1445
Armidale Regional (A)	65-74	Never married		770
Armidale Regional (A)	75-84	Married	0	26
Armidale Regional (A)	75-84	Married	1	686
Armidale Regional (A)	75-84	Never married		594
Armidale Regional (A)	85+	Married	0	3
Armidale Regional (A)	85+	Married	1	122
Armidale Regional (A)	85+	Never married		305
Ballina (A)	15-19	Married	0	26
Ballina (A)	15-19	Married	1	3
Ballina (A)	15-19	Never married		2138
Ballina (A)	20-24	Married	0	240
Ballina (A)	20-24	Married	1	46
Ballina (A)	20-24	Never married		1081
Ballina (A)	25-34	Married	0	758
Ballina (A)	25-34	Married	1	1144
Ballina (A)	25-34	Never married		1250
Ballina (A)	35-44	Married	0	746
Ballina (A)	35-44	Married	1	2236
Ballina (A)	35-44	Never married		1209
Ballina (A)	45-54	Married	0	637
Ballina (A)	45-54	Married	1	2904
Ballina (A)	45-54	Never married		1622
Ballina (A)	55-64	Married	0	520
Ballina (A)	55-64	Married	1	3419
Ballina (A)	55-64	Never married		1731
Ballina (A)	65-74	Married	0	269
Ballina (A)	65-74	Married	1	3131
Ballina (A)	65-74	Never married		1418
Ballina (A)	75-84	Married	0	75
Ballina (A)	75-84	Married	1	1541
Ballina (A)	75-84	Never married		1127
Ballina (A)	85+	Married	0	18
Ballina (A)	85+	Married	1	410
Ballina (A)	85+	Never married		795
Balranald (A)	15-19	Married	0	4
Balranald (A)	15-19	Never married		102
Balranald (A)	20-24	Married	0	21
Balranald (A)	20-24	Married	1	6
Balranald (A)	20-24	Never married		86
