LGA_NAME16	Age	Sex	Volunteer	adults
Albury (C)	15-19	F		134
Albury (C)	15-19	F	0	1079
Albury (C)	15-19	F	1	425
Albury (C)	15-19	M		152
Albury (C)	15-19	M	0	1116
Albury (C)	15-19	M	1	347
Albury (C)	20-24	F		144
Albury (C)	20-24	F	0	1302
Albury (C)	20-24	F	1	361
Albury (C)	20-24	M		157
Albury (C)	20-24	M	0	1254
Albury (C)	20-24	M	1	281
Albury (C)	25-34	F		243
Albury (C)	25-34	F	0	2396
Albury (C)	25-34	F	1	664
Albury (C)	25-34	M		276
Albury (C)	25-34	M	0	2389
Albury (C)	25-34	M	1	531
Albury (C)	35-44	F		216
Albury (C)	35-44	F	0	2117
Albury (C)	35-44	F	1	902
Albury (C)	35-44	M		231
Albury (C)	35-44	M	0	2105
Albury (C)	35-44	M	1	637
Albury (C)	45-54	F		208
Albury (C)	45-54	F	0	2245
Albury (C)	45-54	F	1	876
Albury (C)	45-54	M		251
Albury (C)	45-54	M	0	2162
Albury (C)	45-54	M	1	751
Albury (C)	55-64	F		247
Albury (C)	55-64	F	0	2260
Albury (C)	55-64	F	1	821
Albury (C)	55-64	M		240
Albury (C)	55-64	M	0	2144
Albury (C)	55-64	M	1	659
Albury (C)	65-74	F		230
Albury (C)	65-74	F	0	1623
Albury (C)	65-74	F	1	721
Albury (C)	65-74	M		212
Albury (C)	65-74	M	0	1613
Albury (C)	65-74	M	1	509
Albury (C)	75-84	F		274
Albury (C)	75-84	F	0	1076
Albury (C)	75-84	F	1	308
Albury (C)	75-84	M		168
Albury (C)	75-84	M	0	859
Albury (C)	75-84	M	1	226
Albury (C)	85+	F		147
Albury (C)	85+	F	0	634
Albury (C)	85+	F	1	60
Albury (C)	85+	M		93
Albury (C)	85+	M	0	349
Albury (C)	85+	M	1	37
Armidale Regional (A)	15-19	F		137
Armidale Regional (A)	15-19	F	0	767
Armidale Regional (A)	15-19	F	1	399
Armidale Regional (A)	15-19	M		144
Armidale Regional (A)	15-19	M	0	784
Armidale Regional (A)	15-19	M	1	323
Armidale Regional (A)	20-24	F		146
Armidale Regional (A)	20-24	F	0	910
Armidale Regional (A)	20-24	F	1	373
Armidale Regional (A)	20-24	M		145
Armidale Regional (A)	20-24	M	0	929
Armidale Regional (A)	20-24	M	1	302
Armidale Regional (A)	25-34	F		139
Armidale Regional (A)	25-34	F	0	1200
Armidale Regional (A)	25-34	F	1	422
Armidale Regional (A)	25-34	M		145
Armidale Regional (A)	25-34	M	0	1209
Armidale Regional (A)	25-34	M	1	339
Armidale Regional (A)	35-44	F		122
Armidale Regional (A)	35-44	F	0	1013
Armidale Regional (A)	35-44	F	1	498
Armidale Regional (A)	35-44	M		114
Armidale Regional (A)	35-44	M	0	968
Armidale Regional (A)	35-44	M	1	389
Armidale Regional (A)	45-54	F		163
Armidale Regional (A)	45-54	F	0	1119
Armidale Regional (A)	45-54	F	1	607
Armidale Regional (A)	45-54	M		152
Armidale Regional (A)	45-54	M	0	1118
Armidale Regional (A)	45-54	M	1	498
Armidale Regional (A)	55-64	F		139
Armidale Regional (A)	55-64	F	0	1173
Armidale Regional (A)	55-64	F	1	521
Armidale Regional (A)	55-64	M		152
Armidale Regional (A)	55-64	M	0	1121
Armidale Regional (A)	55-64	M	1	442
Armidale Regional (A)	65-74	F		134
Armidale Regional (A)	65-74	F	0	753
Armidale Regional (A)	65-74	F	1	509
Armidale Regional (A)	65-74	M		122
Armidale Regional (A)	65-74	M	0	817
Armidale Regional (A)	65-74	M	1	407
Armidale Regional (A)	75-84	F		137
Armidale Regional (A)	75-84	F	0	534
Armidale Regional (A)	75-84	F	1	224
