LGA_NAME16	OnlyEnglishSpokenHome	Sex	persons
Albury (C)	0	F	1808
Albury (C)	0	M	1634
Albury (C)	1	F	22839
Albury (C)	1	M	21282
Armidale Regional (A)	0	F	1192
Armidale Regional (A)	0	M	1142
Armidale Regional (A)	1	F	12911
Armidale Regional (A)	1	M	12024
Ballina (A)	0	F	832
Ballina (A)	0	M	749
Ballina (A)	1	F	19268
Ballina (A)	1	M	17944
Balranald (A)	0	F	80
Balranald (A)	0	M	70
Balranald (A)	1	F	915
Balranald (A)	1	M	984
Bathurst Regional (A)	0	F	839
Bathurst Regional (A)	0	M	853
Bathurst Regional (A)	1	F	18308
Bathurst Regional (A)	1	M	17597
Bega Valley (A)	0	F	560
Bega Valley (A)	0	M	445
Bega Valley (A)	1	F	15172
Bega Valley (A)	1	M	14594
Bellingen (A)	0	F	223
Bellingen (A)	0	M	179
Bellingen (A)	1	F	5904
Bellingen (A)	1	M	5548
Berrigan (A)	0	F	135
Berrigan (A)	0	M	126
Berrigan (A)	1	F	3690
Berrigan (A)	1	M	3685
Blacktown (C)	0	F	70635
Blacktown (C)	0	M	67664
Blacktown (C)	1	F	90305
Blacktown (C)	1	M	90618
Bland (A)	0	F	76
Bland (A)	0	M	58
Bland (A)	1	F	2550
Bland (A)	1	M	2562
Blayney (A)	0	F	58
Blayney (A)	0	M	53
Blayney (A)	1	F	3351
Blayney (A)	1	M	3299
Blue Mountains (C)	0	F	2539
Blue Mountains (C)	0	M	2164
Blue Mountains (C)	1	F	35456
Blue Mountains (C)	1	M	33240
Bogan (A)	0	F	32
Bogan (A)	0	M	35
Bogan (A)	1	F	1168
Bogan (A)	1	M	1166
Botany Bay (C)	0	F	10825
Botany Bay (C)	0	M	9962
Botany Bay (C)	1	F	11159
Botany Bay (C)	1	M	11780
Bourke (A)	0	F	37
Bourke (A)	0	M	25
Bourke (A)	1	F	1045
Bourke (A)	1	M	1005
Brewarrina (A)	0	F	40
Brewarrina (A)	0	M	26
Brewarrina (A)	1	F	698
Brewarrina (A)	1	M	715
Broken Hill (C)	0	F	234
Broken Hill (C)	0	M	215
Broken Hill (C)	1	F	8047
Broken Hill (C)	1	M	7659
Burwood (A)	0	F	12382
Burwood (A)	0	M	11041
Burwood (A)	1	F	5704
Burwood (A)	1	M	5855
Byron (A)	0	F	1165
Byron (A)	0	M	970
Byron (A)	1	F	13235
Byron (A)	1	M	12316
Cabonne (A)	0	F	158
Cabonne (A)	0	M	113
Cabonne (A)	1	F	6098
Cabonne (A)	1	M	6104
Camden (A)	0	F	5877
Camden (A)	0	M	5395
Camden (A)	1	F	32244
Camden (A)	1	M	31229
Campbelltown (C) (NSW)	0	F	24614
Campbelltown (C) (NSW)	0	M	23101
Campbelltown (C) (NSW)	1	F	50658
Campbelltown (C) (NSW)	1	M	49505
Canada Bay (A)	0	F	19129
Canada Bay (A)	0	M	16830
Canada Bay (A)	1	F	23959
Canada Bay (A)	1	M	23080
Canterbury-Bankstown (A)	0	F	105668
Canterbury-Bankstown (A)	0	M	102656
Canterbury-Bankstown (A)	1	F	58494
Canterbury-Bankstown (A)	1	M	59442
Carrathool (A)	0	F	81
Carrathool (A)	0	M	85
Carrathool (A)	1	F	1118
Carrathool (A)	1	M	1216
Central Coast (C) (NSW)	0	F	10407
Central Coast (C) (NSW)	0	M	8810
Central Coast (C) (NSW)	1	F	148827
Central Coast (C) (NSW)	1	M	140949
Central Darling (A)	0	F	23
Central Darling (A)	0	M	31
Central Darling (A)	1	F	710
Central Darling (A)	1	M	774
Cessnock (C)	0	F	568
Cessnock (C)	0	M	488
Cessnock (C)	1	F	25398
Cessnock (C)	1	M	24446
Clarence Valley (A)	0	F	603
Clarence Valley (A)	0	M	481
Clarence Valley (A)	1	F	23150
Clarence Valley (A)	1	M	22600
Cobar (A)	0	F	105
Cobar (A)	0	M	83
Cobar (A)	1	F	1894
Cobar (A)	1	M	2014
Coffs Harbour (C)	0	F	2898
Coffs Harbour (C)	0	M	2561
Coffs Harbour (C)	1	F	32028
Coffs Harbour (C)	1	M	30227
Coolamon (A)	0	F	25
Coolamon (A)	0	M	31
Coolamon (A)	1	F	1909
Coolamon (A)	1	M	1911
Coonamble (A)	0	F	26
Coonamble (A)	0	M	24
Coonamble (A)	1	F	1647
Coonamble (A)	1	M	1619
Cowra (A)	0	F	173
Cowra (A)	0	M	151
Cowra (A)	1	F	5590
Cowra (A)	1	M	5499
Cumberland (A)	0	F	68644
Cumberland (A)	0	M	73163
Cumberland (A)	1	F	30561
Cumberland (A)	1	M	31839
Dungog (A)	0	F	38
Dungog (A)	0	M	42
Dungog (A)	1	F	4140
Dungog (A)	1	M	4143
Edward River (A)	0	F	143
Edward River (A)	0	M	147
Edward River (A)	1	F	3933
Edward River (A)	1	M	3783
Eurobodalla (A)	0	F	734
Eurobodalla (A)	0	M	662
Eurobodalla (A)	1	F	16849
Eurobodalla (A)	1	M	16200
Fairfield (C)	0	F	72872
Fairfield (C)	0	M	67842
Fairfield (C)	1	F	23650
Fairfield (C)	1	M	25698
Federation (A)	0	F	125
Federation (A)	0	M	120
Federation (A)	1	F	5543
Federation (A)	1	M	5497
Forbes (A)	0	F	107
Forbes (A)	0	M	92
Forbes (A)	1	F	4258
Forbes (A)	1	M	4280
Georges River (A)	0	F	40887
Georges River (A)	0	M	37739
Georges River (A)	1	F	31125
Georges River (A)	1	M	31034
Gilgandra (A)	0	F	40
Gilgandra (A)	0	M	46
Gilgandra (A)	1	F	1933
Gilgandra (A)	1	M	1880
Glen Innes Severn (A)	0	F	102
Glen Innes Severn (A)	0	M	84
Glen Innes Severn (A)	1	F	3918
Glen Innes Severn (A)	1	M	3722
Goulburn Mulwaree (A)	0	F	709
Goulburn Mulwaree (A)	0	M	696
Goulburn Mulwaree (A)	1	F	12978
Goulburn Mulwaree (A)	1	M	12764
Greater Hume Shire (A)	0	F	108
Greater Hume Shire (A)	0	M	101
Greater Hume Shire (A)	1	F	4729
Greater Hume Shire (A)	1	M	4769
Griffith (C)	0	F	2651
Griffith (C)	0	M	2700
Griffith (C)	1	F	8980
Griffith (C)	1	M	8883
Gundagai (A)	0	F	116
Gundagai (A)	0	M	108
Gundagai (A)	1	F	5145
Gundagai (A)	1	M	5009
Gunnedah (A)	0	F	147
Gunnedah (A)	0	M	124
Gunnedah (A)	1	F	5496
Gunnedah (A)	1	M	5501
Gwydir (A)	0	F	28
Gwydir (A)	0	M	35
Gwydir (A)	1	F	2327
