LGA_NAME16	Age	persons
Albury (C)	0-4	3286
Albury (C)	5-14	6328
Albury (C)	15-19	3248
Albury (C)	20-24	3508
Albury (C)	25-34	6498
Albury (C)	35-44	6205
Albury (C)	45-54	6497
Albury (C)	55-64	6372
Albury (C)	65-74	4907
Albury (C)	75-84	2913
Albury (C)	85+	1329
Armidale Regional (A)	0-4	1669
Armidale Regional (A)	5-14	3667
Armidale Regional (A)	15-19	2560
Armidale Regional (A)	20-24	2793
Armidale Regional (A)	25-34	3464
Armidale Regional (A)	35-44	3100
Armidale Regional (A)	45-54	3657
Armidale Regional (A)	55-64	3552
Armidale Regional (A)	65-74	2747
Armidale Regional (A)	75-84	1595
Armidale Regional (A)	85+	649
Ballina (A)	0-4	2072
Ballina (A)	5-14	4856
Ballina (A)	15-19	2384
Ballina (A)	20-24	1571
Ballina (A)	25-34	3581
Ballina (A)	35-44	4669
Ballina (A)	45-54	5759
Ballina (A)	55-64	6434
Ballina (A)	65-74	5503
Ballina (A)	75-84	3203
Ballina (A)	85+	1755
Balranald (A)	0-4	143
Balranald (A)	5-14	336
Balranald (A)	15-19	135
Balranald (A)	20-24	132
Balranald (A)	25-34	233
Balranald (A)	35-44	276
Balranald (A)	45-54	290
Balranald (A)	55-64	377
Balranald (A)	65-74	202
Balranald (A)	75-84	131
Balranald (A)	85+	35
Bathurst Regional (A)	0-4	2546
Bathurst Regional (A)	5-14	5571
Bathurst Regional (A)	15-19	2980
Bathurst Regional (A)	20-24	3148
Bathurst Regional (A)	25-34	5171
Bathurst Regional (A)	35-44	4878
Bathurst Regional (A)	45-54	5238
Bathurst Regional (A)	55-64	4991
Bathurst Regional (A)	65-74	3862
Bathurst Regional (A)	75-84	2019
Bathurst Regional (A)	85+	892
Bega Valley (A)	0-4	1468
Bega Valley (A)	5-14	3789
Bega Valley (A)	15-19	1792
Bega Valley (A)	20-24	1189
Bega Valley (A)	25-34	2482
Bega Valley (A)	35-44	3120
Bega Valley (A)	45-54	4648
Bega Valley (A)	55-64	6154
Bega Valley (A)	65-74	5060
Bega Valley (A)	75-84	2546
Bega Valley (A)	85+	999
Bellingen (A)	0-4	605
Bellingen (A)	5-14	1594
Bellingen (A)	15-19	719
Bellingen (A)	20-24	396
Bellingen (A)	25-34	953
Bellingen (A)	35-44	1324
Bellingen (A)	45-54	1824
Bellingen (A)	55-64	2240
Bellingen (A)	65-74	1718
Bellingen (A)	75-84	924
Bellingen (A)	85+	368
Berrigan (A)	0-4	471
Berrigan (A)	5-14	972
Berrigan (A)	15-19	421
Berrigan (A)	20-24	331
Berrigan (A)	25-34	747
Berrigan (A)	35-44	843
Berrigan (A)	45-54	936
Berrigan (A)	55-64	1304
Berrigan (A)	65-74	1370
Berrigan (A)	75-84	739
Berrigan (A)	85+	313
Blacktown (C)	0-4	26928
Blacktown (C)	5-14	49739
Blacktown (C)	15-19	23289
Blacktown (C)	20-24	22830
Blacktown (C)	25-34	52249
Blacktown (C)	35-44	51402
Blacktown (C)	45-54	42063
Blacktown (C)	55-64	33702
Blacktown (C)	65-74	21536
Blacktown (C)	75-84	9674
Blacktown (C)	85+	3553
Bland (A)	0-4	351
Bland (A)	5-14	876
Bland (A)	15-19	333
Bland (A)	20-24	267
Bland (A)	25-34	588
Bland (A)	35-44	680
Bland (A)	45-54	709
Bland (A)	55-64	866
Bland (A)	65-74	626
Bland (A)	75-84	442
