LGA_NAME16	FamilyComposition	families_with_children
Albury (C)	Blended family with no other children present	223
Albury (C)	Blended family with other children present	3
Albury (C)	Intact family with no other children present	4485
Albury (C)	Intact family with other children present	43
Albury (C)	Other couple family with other children only	29
Albury (C)	Step family with no other children present	363
Albury (C)	Step family with other children present	4
Armidale Regional (A)	Blended family with no other children present	107
Armidale Regional (A)	Blended family with other children present	7
Armidale Regional (A)	Intact family with no other children present	2343
Armidale Regional (A)	Intact family with other children present	30
Armidale Regional (A)	Other couple family with other children only	27
Armidale Regional (A)	Step family with no other children present	172
Armidale Regional (A)	Step family with other children present	4
Ballina (A)	Blended family with no other children present	161
Ballina (A)	Blended family with other children present	3
Ballina (A)	Intact family with no other children present	3579
Ballina (A)	Intact family with other children present	36
Ballina (A)	Other couple family with other children only	31
Ballina (A)	Step family with no other children present	275
Ballina (A)	Step family with other children present	5
Balranald (A)	Blended family with no other children present	11
Balranald (A)	Intact family with no other children present	210
Balranald (A)	Other couple family with other children only	4
Balranald (A)	Step family with no other children present	9
Bathurst Regional (A)	Blended family with no other children present	239
Bathurst Regional (A)	Blended family with other children present	8
Bathurst Regional (A)	Intact family with no other children present	3662
Bathurst Regional (A)	Intact family with other children present	36
Bathurst Regional (A)	Other couple family with other children only	31
Bathurst Regional (A)	Step family with no other children present	322
Bathurst Regional (A)	Step family with other children present	5
Bega Valley (A)	Blended family with no other children present	155
Bega Valley (A)	Blended family with other children present	5
Bega Valley (A)	Intact family with no other children present	2409
Bega Valley (A)	Intact family with other children present	35
Bega Valley (A)	Other couple family with other children only	41
Bega Valley (A)	Step family with no other children present	249
Bega Valley (A)	Step family with other children present	6
Bellingen (A)	Blended family with no other children present	62
Bellingen (A)	Intact family with no other children present	992
Bellingen (A)	Intact family with other children present	12
Bellingen (A)	Other couple family with other children only	4
Bellingen (A)	Step family with no other children present	98
Bellingen (A)	Step family with other children present	3
Berrigan (A)	Blended family with no other children present	36
Berrigan (A)	Intact family with no other children present	630
Berrigan (A)	Intact family with other children present	6
Berrigan (A)	Other couple family with other children only	10
Berrigan (A)	Step family with no other children present	40
Blacktown (C)	Blended family with no other children present	1615
Blacktown (C)	Blended family with other children present	43
Blacktown (C)	Intact family with no other children present	43800
Blacktown (C)	Intact family with other children present	974
Blacktown (C)	Other couple family with other children only	198
Blacktown (C)	Step family with no other children present	2408
Blacktown (C)	Step family with other children present	81
Bland (A)	Blended family with no other children present	27
Bland (A)	Intact family with no other children present	491
Bland (A)	Intact family with other children present	3
Bland (A)	Other couple family with other children only	6
Bland (A)	Step family with no other children present	27
Blayney (A)	Blended family with no other children present	36
Blayney (A)	Intact family with no other children present	685
Blayney (A)	Intact family with other children present	13
Blayney (A)	Other couple family with other children only	9
Blayney (A)	Step family with no other children present	66
Blue Mountains (C)	Blended family with no other children present	377
Blue Mountains (C)	Intact family with no other children present	7947
Blue Mountains (C)	Intact family with other children present	77
Blue Mountains (C)	Other couple family with other children only	49
Blue Mountains (C)	Step family with no other children present	688
Blue Mountains (C)	Step family with other children present	11
Bogan (A)	Blended family with no other children present	19
Bogan (A)	Intact family with no other children present	220
Bogan (A)	Other couple family with other children only	3
Bogan (A)	Step family with no other children present	19
Botany Bay (C)	Blended family with no other children present	157
Botany Bay (C)	Blended family with other children present	4
Botany Bay (C)	Intact family with no other children present	5137
Botany Bay (C)	Intact family with other children present	77
Botany Bay (C)	Other couple family with other children only	24
Botany Bay (C)	Step family with no other children present	257
Bourke (A)	Blended family with no other children present	6
Bourke (A)	Intact family with no other children present	188
Bourke (A)	Intact family with other children present	9
Bourke (A)	Other couple family with other children only	7
Bourke (A)	Step family with no other children present	12
Brewarrina (A)	Blended family with no other children present	3
Brewarrina (A)	Intact family with no other children present	84
Brewarrina (A)	Intact family with other children present	4
Brewarrina (A)	Other couple family with other children only	11
Brewarrina (A)	Step family with no other children present	4
Broken Hill (C)	Blended family with no other children present	108
Broken Hill (C)	Intact family with no other children present	1211
Broken Hill (C)	Intact family with other children present	12
Broken Hill (C)	Other couple family with other children only	14
Broken Hill (C)	Step family with no other children present	122
Broken Hill (C)	Step family with other children present	8
Burwood (A)	Blended family with no other children present	60
Burwood (A)	Blended family with other children present	3
Burwood (A)	Intact family with no other children present	3734
Burwood (A)	Intact family with other children present	60
Burwood (A)	Other couple family with other children only	11
Burwood (A)	Step family with no other children present	150
Burwood (A)	Step family with other children present	3
Byron (A)	Blended family with no other children present	104
