LGA_NAME16	CoupleFamily	HasChild	HasDependentStudent	HasNonDependentChild	persons_in_families
Albury (C)					344
Albury (C)	0	0	0	1	1426
Albury (C)	0	0	1	0	444
Albury (C)	0	0	1	1	191
Albury (C)	0	1	0	0	2811
Albury (C)	0	1	0	1	270
Albury (C)	0	1	1	0	579
Albury (C)	0	1	1	1	149
Albury (C)	1	0	0	1	2468
Albury (C)	1	0	1	0	1346
Albury (C)	1	0	1	1	976
Albury (C)	1	1	0	0	11571
Albury (C)	1	1	0	1	589
Albury (C)	1	1	1	0	2388
Albury (C)	1	1	1	1	427
Armidale Regional (A)					258
Armidale Regional (A)	0	0	0	1	823
Armidale Regional (A)	0	0	1	0	258
Armidale Regional (A)	0	0	1	1	92
Armidale Regional (A)	0	1	0	0	1472
Armidale Regional (A)	0	1	0	1	168
Armidale Regional (A)	0	1	1	0	323
Armidale Regional (A)	0	1	1	1	94
Armidale Regional (A)	1	0	0	1	1269
Armidale Regional (A)	1	0	1	0	750
Armidale Regional (A)	1	0	1	1	369
Armidale Regional (A)	1	1	0	0	6026
Armidale Regional (A)	1	1	0	1	369
Armidale Regional (A)	1	1	1	0	1294
Armidale Regional (A)	1	1	1	1	319
Ballina (A)					298
Ballina (A)	0	0	0	1	1353
Ballina (A)	0	0	1	0	455
Ballina (A)	0	0	1	1	200
Ballina (A)	0	1	0	0	1874
Ballina (A)	0	1	0	1	237
Ballina (A)	0	1	1	0	466
Ballina (A)	0	1	1	1	46
Ballina (A)	1	0	0	1	2360
Ballina (A)	1	0	1	0	1281
Ballina (A)	1	0	1	1	635
Ballina (A)	1	1	0	0	8479
Ballina (A)	1	1	0	1	409
Ballina (A)	1	1	1	0	1974
Ballina (A)	1	1	1	1	330
Balranald (A)					22
Balranald (A)	0	0	0	1	66
Balranald (A)	0	0	1	0	12
Balranald (A)	0	1	0	0	96
Balranald (A)	0	1	0	1	6
Balranald (A)	0	1	1	0	22
Balranald (A)	1	0	0	1	143
Balranald (A)	1	0	1	0	38
Balranald (A)	1	0	1	1	39
Balranald (A)	1	1	0	0	562
Balranald (A)	1	1	0	1	32
Balranald (A)	1	1	1	0	113
Balranald (A)	1	1	1	1	36
Bathurst Regional (A)					270
Bathurst Regional (A)	0	0	0	1	1116
Bathurst Regional (A)	0	0	1	0	358
Bathurst Regional (A)	0	0	1	1	186
Bathurst Regional (A)	0	1	0	0	2306
Bathurst Regional (A)	0	1	0	1	211
Bathurst Regional (A)	0	1	1	0	512
Bathurst Regional (A)	0	1	1	1	112
Bathurst Regional (A)	1	0	0	1	2246
Bathurst Regional (A)	1	0	1	0	1050
Bathurst Regional (A)	1	0	1	1	699
Bathurst Regional (A)	1	1	0	0	9424
Bathurst Regional (A)	1	1	0	1	610
Bathurst Regional (A)	1	1	1	0	2350
Bathurst Regional (A)	1	1	1	1	432
Bega Valley (A)					173
Bega Valley (A)	0	0	0	1	855
Bega Valley (A)	0	0	1	0	271
Bega Valley (A)	0	0	1	1	116
Bega Valley (A)	0	1	0	0	1446
Bega Valley (A)	0	1	0	1	169
Bega Valley (A)	0	1	1	0	325
Bega Valley (A)	0	1	1	1	65
Bega Valley (A)	1	0	0	1	1673
Bega Valley (A)	1	0	1	0	665
Bega Valley (A)	1	0	1	1	448
Bega Valley (A)	1	1	0	0	6092
Bega Valley (A)	1	1	0	1	400
Bega Valley (A)	1	1	1	0	1430
Bega Valley (A)	1	1	1	1	251
Bellingen (A)					64
Bellingen (A)	0	0	0	1	435
Bellingen (A)	0	0	1	0	142
