LGA_NAME16	AgeStudent	Sex	students
Albury (C)	0-4	F	335
Albury (C)	0-4	M	328
Albury (C)	5-14	F	2868
Albury (C)	5-14	M	2933
Albury (C)	15-19	F	1167
Albury (C)	15-19	M	1095
Albury (C)	20-24	F	640
Albury (C)	20-24	M	412
Albury (C)	25+	F	1140
Albury (C)	25+	M	618
Armidale Regional (A)	0-4	F	200
Armidale Regional (A)	0-4	M	230
Armidale Regional (A)	5-14	F	1675
Armidale Regional (A)	5-14	M	1691
Armidale Regional (A)	15-19	F	1015
Armidale Regional (A)	15-19	M	922
Armidale Regional (A)	20-24	F	827
Armidale Regional (A)	20-24	M	698
Armidale Regional (A)	25+	F	924
Armidale Regional (A)	25+	M	651
Ballina (A)	0-4	F	280
Ballina (A)	0-4	M	270
Ballina (A)	5-14	F	2113
Ballina (A)	5-14	M	2338
Ballina (A)	15-19	F	864
Ballina (A)	15-19	M	900
Ballina (A)	20-24	F	252
Ballina (A)	20-24	M	178
Ballina (A)	25+	F	881
Ballina (A)	25+	M	419
Balranald (A)	0-4	F	16
Balranald (A)	0-4	M	13
Balranald (A)	5-14	F	143
Balranald (A)	5-14	M	153
Balranald (A)	15-19	F	36
Balranald (A)	15-19	M	49
Balranald (A)	20-24	F	8
Balranald (A)	20-24	M	3
Balranald (A)	25+	F	29
Balranald (A)	25+	M	10
Bathurst Regional (A)	0-4	F	306
Bathurst Regional (A)	0-4	M	319
Bathurst Regional (A)	5-14	F	2483
Bathurst Regional (A)	5-14	M	2662
Bathurst Regional (A)	15-19	F	1079
Bathurst Regional (A)	15-19	M	1072
Bathurst Regional (A)	20-24	F	673
Bathurst Regional (A)	20-24	M	503
Bathurst Regional (A)	25+	F	921
Bathurst Regional (A)	25+	M	533
Bega Valley (A)	0-4	F	181
Bega Valley (A)	0-4	M	195
Bega Valley (A)	5-14	F	1634
Bega Valley (A)	5-14	M	1729
Bega Valley (A)	15-19	F	587
Bega Valley (A)	15-19	M	590
Bega Valley (A)	20-24	F	129
Bega Valley (A)	20-24	M	100
Bega Valley (A)	25+	F	492
Bega Valley (A)	25+	M	189
Bellingen (A)	0-4	F	88
Bellingen (A)	0-4	M	83
Bellingen (A)	5-14	F	721
Bellingen (A)	5-14	M	700
Bellingen (A)	15-19	F	249
Bellingen (A)	15-19	M	271
Bellingen (A)	20-24	F	54
Bellingen (A)	20-24	M	36
Bellingen (A)	25+	F	276
Bellingen (A)	25+	M	108
Berrigan (A)	0-4	F	64
Berrigan (A)	0-4	M	53
Berrigan (A)	5-14	F	419
Berrigan (A)	5-14	M	430
Berrigan (A)	15-19	F	140
Berrigan (A)	15-19	M	128
Berrigan (A)	20-24	F	26
Berrigan (A)	20-24	M	18
Berrigan (A)	25+	F	115
Berrigan (A)	25+	M	52
Blacktown (C)	0-4	F	2705
Blacktown (C)	0-4	M	2811
Blacktown (C)	5-14	F	22000
Blacktown (C)	5-14	M	23530
Blacktown (C)	15-19	F	8750
Blacktown (C)	15-19	M	9074
Blacktown (C)	20-24	F	4264
