LGA_NAME16	BornAust	Sex	persons
Albury (C)	0	F	2866
Albury (C)	0	M	2679
Albury (C)	1	F	21514
Albury (C)	1	M	20071
Armidale Regional (A)	0	F	1869
Armidale Regional (A)	0	M	1762
Armidale Regional (A)	1	F	12102
Armidale Regional (A)	1	M	11302
Ballina (A)	0	F	2446
Ballina (A)	0	M	2162
Ballina (A)	1	F	17552
Ballina (A)	1	M	16436
Balranald (A)	0	F	82
Balranald (A)	0	M	61
Balranald (A)	1	F	900
Balranald (A)	1	M	965
Bathurst Regional (A)	0	F	1733
Bathurst Regional (A)	0	M	1833
Bathurst Regional (A)	1	F	17206
Bathurst Regional (A)	1	M	17332
Bega Valley (A)	0	F	2004
Bega Valley (A)	0	M	1861
Bega Valley (A)	1	F	13479
Bega Valley (A)	1	M	12969
Bellingen (A)	0	F	800
Bellingen (A)	0	M	697
Bellingen (A)	1	F	5225
Bellingen (A)	1	M	4948
Berrigan (A)	0	F	329
Berrigan (A)	0	M	322
Berrigan (A)	1	F	3441
Berrigan (A)	1	M	3424
Blacktown (C)	0	F	69230
Blacktown (C)	0	M	67064
Blacktown (C)	1	F	90763
Blacktown (C)	1	M	91390
Bland (A)	0	F	153
Bland (A)	0	M	138
Bland (A)	1	F	2442
Bland (A)	1	M	2454
Blayney (A)	0	F	222
Blayney (A)	0	M	223
Blayney (A)	1	F	3128
Blayney (A)	1	M	3078
Blue Mountains (C)	0	F	6829
Blue Mountains (C)	0	M	6118
Blue Mountains (C)	1	F	30955
Blue Mountains (C)	1	M	29075
Bogan (A)	0	F	62
Bogan (A)	0	M	66
Bogan (A)	1	F	1120
Bogan (A)	1	M	1116
Botany Bay (C)	0	F	10609
Botany Bay (C)	0	M	10073
Botany Bay (C)	1	F	11185
Botany Bay (C)	1	M	11503
Bourke (A)	0	F	61
Bourke (A)	0	M	37
Bourke (A)	1	F	995
Bourke (A)	1	M	975
Brewarrina (A)	0	F	15
Brewarrina (A)	0	M	21
Brewarrina (A)	1	F	704
Brewarrina (A)	1	M	743
Broken Hill (C)	0	F	412
Broken Hill (C)	0	M	389
Broken Hill (C)	1	F	7897
Broken Hill (C)	1	M	7470
Burwood (A)	0	F	11056
Burwood (A)	0	M	10013
Burwood (A)	1	F	6959
Burwood (A)	1	M	6804
Byron (A)	0	F	2955
Byron (A)	0	M	2681
Byron (A)	1	F	11178
Byron (A)	1	M	10379
Cabonne (A)	0	F	417
Cabonne (A)	0	M	381
Cabonne (A)	1	F	5734
Cabonne (A)	1	M	5785
Camden (A)	0	F	7046
Camden (A)	0	M	6720
Camden (A)	1	F	30830
Camden (A)	1	M	29707
Campbelltown (C) (NSW)	0	F	25393
Campbelltown (C) (NSW)	0	M	23933
Campbelltown (C) (NSW)	1	F	49161
Campbelltown (C) (NSW)	1	M	48150
Canada Bay (A)	0	F	18802
Canada Bay (A)	0	M	16872
Canada Bay (A)	1	F	24013
Canada Bay (A)	1	M	22856
Canterbury-Bankstown (A)	0	F	77299
Canterbury-Bankstown (A)	0	M	75400
Canterbury-Bankstown (A)	1	F	85649
Canterbury-Bankstown (A)	1	M	86004
Carrathool (A)	0	F	131
Carrathool (A)	0	M	134
Carrathool (A)	1	F	1033
Carrathool (A)	1	M	1144
Central Coast (C) (NSW)	0	F	25110
Central Coast (C) (NSW)	0	M	22946
Central Coast (C) (NSW)	1	F	132713
Central Coast (C) (NSW)	1	M	125665
Central Darling (A)	0	F	35
Central Darling (A)	0	M	49
Central Darling (A)	1	F	688
Central Darling (A)	1	M	770
Cessnock (C)	0	F	1787
Cessnock (C)	0	M	1710
Cessnock (C)	1	F	23832
Cessnock (C)	1	M	23761
Clarence Valley (A)	0	F	2027
Clarence Valley (A)	0	M	1796
Clarence Valley (A)	1	F	21326
Clarence Valley (A)	1	M	21108
Cobar (A)	0	F	180
Cobar (A)	0	M	143
Cobar (A)	1	F	1793
Cobar (A)	1	M	1923
Coffs Harbour (C)	0	F	5382
Coffs Harbour (C)	0	M	4764
Coffs Harbour (C)	1	F	29310
Coffs Harbour (C)	1	M	27846
Coolamon (A)	0	F	80
Coolamon (A)	0	M	88
Coolamon (A)	1	F	1829
Coolamon (A)	1	M	1815
Coonamble (A)	0	F	66
Coonamble (A)	0	M	42
Coonamble (A)	1	F	1572
Coonamble (A)	1	M	1582
Cowra (A)	0	F	389
Cowra (A)	0	M	362
Cowra (A)	1	F	5326
Cowra (A)	1	M	5212
Cumberland (A)	0	F	53646
Cumberland (A)	0	M	59238
Cumberland (A)	1	F	44903
Cumberland (A)	1	M	45144
Dungog (A)	0	F	227
Dungog (A)	0	M	213
Dungog (A)	1	F	3862
Dungog (A)	1	M	3910
Edward River (A)	0	F	280
Edward River (A)	0	M	284
Edward River (A)	1	F	3684
Edward River (A)	1	M	3574
Eurobodalla (A)	0	F	2565
Eurobodalla (A)	0	M	2412
Eurobodalla (A)	1	F	14696
Eurobodalla (A)	1	M	14186
Fairfield (C)	0	F	56183
Fairfield (C)	0	M	50971
Fairfield (C)	1	F	39261
Fairfield (C)	1	M	41516
Federation (A)	0	F	439
Federation (A)	0	M	409
Federation (A)	1	F	5124
Federation (A)	1	M	5088
Forbes (A)	0	F	202
Forbes (A)	0	M	181
Forbes (A)	1	F	4088
Forbes (A)	1	M	4132
Georges River (A)	0	F	34984
Georges River (A)	0	M	31931
Georges River (A)	1	F	36617
Georges River (A)	1	M	36428
Gilgandra (A)	0	F	88
Gilgandra (A)	0	M	67
Gilgandra (A)	1	F	1871
Gilgandra (A)	1	M	1805
Glen Innes Severn (A)	0	F	310
Glen Innes Severn (A)	0	M	278
Glen Innes Severn (A)	1	F	3601
Glen Innes Severn (A)	1	M	3615
Goulburn Mulwaree (A)	0	F	1398
Goulburn Mulwaree (A)	0	M	1549
Goulburn Mulwaree (A)	1	F	12103
Goulburn Mulwaree (A)	1	M	12362
Greater Hume Shire (A)	0	F	305
Greater Hume Shire (A)	0	M	304
Greater Hume Shire (A)	1	F	4436
Greater Hume Shire (A)	1	M	4482
Griffith (C)	0	F	2361
Griffith (C)	0	M	2457
Griffith (C)	1	F	9124
Griffith (C)	1	M	9004
Gundagai (A)	0	F	326
Gundagai (A)	0	M	292
Gundagai (A)	1	F	4818
Gundagai (A)	1	M	4720
Gunnedah (A)	0	F	326
Gunnedah (A)	0	M	260
Gunnedah (A)	1	F	5232
Gunnedah (A)	1	M	5274
Gwydir (A)	0	F	128
Gwydir (A)	0	M	85
Gwydir (A)	1	F	2181
Gwydir (A)	1	M	2249
