LGA_NAME16	medianTotalHouseholdIncome
Albury (C)	61620
Armidale Regional (A)	60996
Ballina (A)	60112
Balranald (A)	61048
Bathurst Regional (A)	68120
Bega Valley (A)	51272
Bellingen (A)	51844
Berrigan (A)	50284
Blacktown (C)	88972
Bland (A)	57200
Blayney (A)	63804
Blue Mountains (C)	76336
Bogan (A)	60060
Botany Bay (C)	84552
Bourke (A)	64636
Brewarrina (A)	44928
Broken Hill (C)	50180
Burwood (A)	81588
Byron (A)	59748
Cabonne (A)	67652
Camden (A)	106444
Campbelltown (C) (NSW)	75868
Canada Bay (A)	107172
Canterbury-Bankstown (A)	67496
Carrathool (A)	64480
Central Coast (C) (NSW)	65416
Central Darling (A)	46852
Cessnock (C)	61204
Clarence Valley (A)	47320
Cobar (A)	77740
Coffs Harbour (C)	57564
Coolamon (A)	60788
Coonamble (A)	50752
Cowra (A)	49868
Cumberland (A)	71708
Dungog (A)	63752
Edward River (A)	56160
Eurobodalla (A)	48828
Fairfield (C)	63544
Federation (A)	52884
Forbes (A)	55588
Georges River (A)	86008
Gilgandra (A)	51896
Glen Innes Severn (A)	43576
Goulburn Mulwaree (A)	62192
Greater Hume Shire (A)	60736
Griffith (C)	69212
Gundagai (A)	50128
Gunnedah (A)	65156
Gwydir (A)	47320
Hawkesbury (C)	86736
Hay (A)	55900
Hilltops (A)	50752
Hornsby (A)	110292
Hunters Hill (A)	128284
Inner West (A)	106496
Inverell (A)	49400
Junee (A)	59228
Kempsey (A)	46488
Kiama (A)	78468
Ku-ring-gai (A)	137280
Kyogle (A)	43264
Lachlan (A)	53768
Lake Macquarie (C)	68276
Lane Cove (A)	123552
Leeton (A)	61880
Lismore (C)	55484
Lithgow (C)	51168
Liverpool (C)	80600
Liverpool Plains (A)	53664
Lockhart (A)	57928
Maitland (C)	73580
Mid-Coast (A)	46124
Mid-Western Regional (A)	58812
Moree Plains (A)	64480
Mosman (A)	131144
Murray River (A)	55172
Murrumbidgee (A)	62244
Muswellbrook (A)	69992
Nambucca (A)	43420
Narrabri (A)	64584
Narrandera (A)	53560
Narromine (A)	56056
Newcastle (C)	71136
North Sydney (A)	122720
Northern Beaches (A)	113256
Oberon (A)	64428
Orange (C)	67340
Parkes (A)	56576
Parramatta (C)	91468
Penrith (C)	86216
Port Macquarie-Hastings (A)	54184
Port Stephens (A)	61360
Queanbeyan-Palerang Regional (A)	97864
Randwick (C)	99632
Richmond Valley (A)	49556
Rockdale (C)	81900
Ryde (C)	92872
Shellharbour (C)	69836
Shoalhaven (C)	51584
Singleton (A)	87464
Snowy Monaro Regional (A)	62400
Snowy Valleys (A)	58240
Strathfield (A)	92612
