LGA_NAME16	PrivateDwelling	persons
Albury (C)	0	5081
Albury (C)	1	45686
Armidale Regional (A)	0	5006
Armidale Regional (A)	1	24682
Ballina (A)	0	3820
Ballina (A)	1	38063
Balranald (A)	0	480
Balranald (A)	1	2015
Bathurst Regional (A)	0	5124
Bathurst Regional (A)	1	36098
Bega Valley (A)	0	3607
Bega Valley (A)	1	29394
Bellingen (A)	0	1173
Bellingen (A)	1	11540
Berrigan (A)	0	1089
Berrigan (A)	1	7247
Blacktown (C)	0	16284
Blacktown (C)	1	319397
Bland (A)	0	877
Bland (A)	1	5149
Blayney (A)	0	481
Blayney (A)	1	6597
Blue Mountains (C)	0	5075
Blue Mountains (C)	1	71004
Bogan (A)	0	423
Bogan (A)	1	2290
Botany Bay (C)	0	3813
Botany Bay (C)	1	43533
Bourke (A)	0	945
Bourke (A)	1	2101
Brewarrina (A)	0	241
Brewarrina (A)	1	1442
Broken Hill (C)	0	2152
Broken Hill (C)	1	15769
Burwood (A)	0	2700
Burwood (A)	1	34055
Byron (A)	0	5788
Byron (A)	1	27040
Cabonne (A)	0	920
Cabonne (A)	1	12135
Camden (A)	0	3424
Camden (A)	1	74049
Campbelltown (C) (NSW)	0	8634
Campbelltown (C) (NSW)	1	148076
Canada Bay (A)	0	5645
Canada Bay (A)	1	81586
Canterbury-Bankstown (A)	0	19965
Canterbury-Bankstown (A)	1	325271
Carrathool (A)	0	347
Carrathool (A)	1	2387
Central Coast (C) (NSW)	0	19558
Central Coast (C) (NSW)	1	304009
Central Darling (A)	0	509
Central Darling (A)	1	1512
Cessnock (C)	0	5294
Cessnock (C)	1	50094
Clarence Valley (A)	0	6257
Clarence Valley (A)	1	45725
Cobar (A)	0	892
Cobar (A)	1	3995
Coffs Harbour (C)	0	8156
Coffs Harbour (C)	1	66425
Coolamon (A)	0	413
Coolamon (A)	1	3774
Coonamble (A)	0	713
Coonamble (A)	1	3227
Cowra (A)	0	1206
Cowra (A)	1	11184
Cumberland (A)	0	11012
Cumberland (A)	1	204036
Dungog (A)	0	654
Dungog (A)	1	8185
Edward River (A)	0	1101
Edward River (A)	1	7665
Eurobodalla (A)	0	3892
Eurobodalla (A)	1	32936
Fairfield (C)	0	8635
Fairfield (C)	1	189496
Federation (A)	0	1230
Federation (A)	1	10897
Forbes (A)	0	1227
Forbes (A)	1	8402
Georges River (A)	0	7147
Georges River (A)	1	139295
Gilgandra (A)	0	416
Gilgandra (A)	1	3749
Glen Innes Severn (A)	0	1129
Glen Innes Severn (A)	1	7596
Goulburn Mulwaree (A)	0	3410
Goulburn Mulwaree (A)	1	26315
Greater Hume Shire (A)	0	792
Greater Hume Shire (A)	1	9409
Griffith (C)	0	2788
Griffith (C)	1	22664
Gundagai (A)	0	977
Gundagai (A)	1	9950
