LGA_NAME16	MaxSchoolingCompleted	Sex	persons
Albury (C)	Did not go to school	F	154
Albury (C)	Did not go to school	M	134
Albury (C)	Year 8	F	1036
Albury (C)	Year 8	M	1040
Albury (C)	Year 9	F	1639
Albury (C)	Year 9	M	1649
Albury (C)	Year 10	F	5180
Albury (C)	Year 10	M	5236
Albury (C)	Year 11	F	2231
Albury (C)	Year 11	M	2183
Albury (C)	Year 12	F	9423
Albury (C)	Year 12	M	7677
Armidale Regional (A)	Did not go to school	F	40
Armidale Regional (A)	Did not go to school	M	37
Armidale Regional (A)	Year 8	F	553
Armidale Regional (A)	Year 8	M	614
Armidale Regional (A)	Year 9	F	828
Armidale Regional (A)	Year 9	M	828
Armidale Regional (A)	Year 10	F	2585
Armidale Regional (A)	Year 10	M	2579
Armidale Regional (A)	Year 11	F	731
Armidale Regional (A)	Year 11	M	698
Armidale Regional (A)	Year 12	F	6621
Armidale Regional (A)	Year 12	M	5650
Ballina (A)	Did not go to school	F	48
Ballina (A)	Did not go to school	M	43
Ballina (A)	Year 8	F	853
Ballina (A)	Year 8	M	824
Ballina (A)	Year 9	F	1526
Ballina (A)	Year 9	M	1324
Ballina (A)	Year 10	F	5276
Ballina (A)	Year 10	M	4690
Ballina (A)	Year 11	F	1213
Ballina (A)	Year 11	M	1205
Ballina (A)	Year 12	F	7684
Ballina (A)	Year 12	M	6826
Balranald (A)	Did not go to school	F	6
Balranald (A)	Did not go to school	M	7
Balranald (A)	Year 8	F	79
Balranald (A)	Year 8	M	103
Balranald (A)	Year 9	F	75
Balranald (A)	Year 9	M	111
Balranald (A)	Year 10	F	190
Balranald (A)	Year 10	M	251
Balranald (A)	Year 11	F	108
Balranald (A)	Year 11	M	95
Balranald (A)	Year 12	F	299
Balranald (A)	Year 12	M	215
Bathurst Regional (A)	Did not go to school	F	51
Bathurst Regional (A)	Did not go to school	M	45
Bathurst Regional (A)	Year 8	F	689
Bathurst Regional (A)	Year 8	M	771
Bathurst Regional (A)	Year 9	F	1223
Bathurst Regional (A)	Year 9	M	1253
Bathurst Regional (A)	Year 10	F	4391
Bathurst Regional (A)	Year 10	M	4664
Bathurst Regional (A)	Year 11	F	1042
Bathurst Regional (A)	Year 11	M	1155
Bathurst Regional (A)	Year 12	F	7729
Bathurst Regional (A)	Year 12	M	6296
Bega Valley (A)	Did not go to school	F	24
Bega Valley (A)	Did not go to school	M	29
Bega Valley (A)	Year 8	F	714
Bega Valley (A)	Year 8	M	815
Bega Valley (A)	Year 9	F	1097
Bega Valley (A)	Year 9	M	1157
Bega Valley (A)	Year 10	F	3922
Bega Valley (A)	Year 10	M	3999
Bega Valley (A)	Year 11	F	1356
Bega Valley (A)	Year 11	M	1297
Bega Valley (A)	Year 12	F	5741
Bega Valley (A)	Year 12	M	4808
Bellingen (A)	Did not go to school	F	13
Bellingen (A)	Did not go to school	M	10
Bellingen (A)	Year 8	F	256
Bellingen (A)	Year 8	M	270
Bellingen (A)	Year 9	F	446
Bellingen (A)	Year 9	M	516
Bellingen (A)	Year 10	F	1492
Bellingen (A)	Year 10	M	1503
Bellingen (A)	Year 11	F	366
Bellingen (A)	Year 11	M	393
Bellingen (A)	Year 12	F	2365
Bellingen (A)	Year 12	M	1853
Berrigan (A)	Did not go to school	F	9
Berrigan (A)	Did not go to school	M	12
Berrigan (A)	Year 8	F	243
Berrigan (A)	Year 8	M	300
Berrigan (A)	Year 9	F	305
Berrigan (A)	Year 9	M	429
Berrigan (A)	Year 10	F	858
Berrigan (A)	Year 10	M	951
Berrigan (A)	Year 11	F	483
Berrigan (A)	Year 11	M	441
Berrigan (A)	Year 12	F	1171
Berrigan (A)	Year 12	M	897
Blacktown (C)	Did not go to school	F	1823
Blacktown (C)	Did not go to school	M	1174
Blacktown (C)	Year 8	F	6819
Blacktown (C)	Year 8	M	5794
Blacktown (C)	Year 9	F	7726
Blacktown (C)	Year 9	M	7441
Blacktown (C)	Year 10	F	25798
Blacktown (C)	Year 10	M	26249
Blacktown (C)	Year 11	F	7274
Blacktown (C)	Year 11	M	7837
Blacktown (C)	Year 12	F	73768
Blacktown (C)	Year 12	M	70206
Bland (A)	Did not go to school	M	6
Bland (A)	Year 8	F	135
Bland (A)	Year 8	M	180
Bland (A)	Year 9	F	209
Bland (A)	Year 9	M	259
Bland (A)	Year 10	F	733
Bland (A)	Year 10	M	858
Bland (A)	Year 11	F	150
Bland (A)	Year 11	M	161
Bland (A)	Year 12	F	763
Bland (A)	Year 12	M	555
Blayney (A)	Did not go to school	F	3
Blayney (A)	Did not go to school	M	5
Blayney (A)	Year 8	F	146
Blayney (A)	Year 8	M	199
Blayney (A)	Year 9	F	232
Blayney (A)	Year 9	M	263
Blayney (A)	Year 10	F	905
Blayney (A)	Year 10	M	982
Blayney (A)	Year 11	F	193
Blayney (A)	Year 11	M	195
Blayney (A)	Year 12	F	1156
Blayney (A)	Year 12	M	886
Blue Mountains (C)	Did not go to school	F	64
Blue Mountains (C)	Did not go to school	M	72
Blue Mountains (C)	Year 8	F	807
Blue Mountains (C)	Year 8	M	772
Blue Mountains (C)	Year 9	F	1882
Blue Mountains (C)	Year 9	M	1720
Blue Mountains (C)	Year 10	F	7774
Blue Mountains (C)	Year 10	M	7416
Blue Mountains (C)	Year 11	F	1992
Blue Mountains (C)	Year 11	M	1957
Blue Mountains (C)	Year 12	F	18355
Blue Mountains (C)	Year 12	M	16049
Bogan (A)	Did not go to school	F	3
Bogan (A)	Did not go to school	M	4
Bogan (A)	Year 8	F	61
Bogan (A)	Year 8	M	83
Bogan (A)	Year 9	F	97
Bogan (A)	Year 9	M	118
Bogan (A)	Year 10	F	320
Bogan (A)	Year 10	M	354
Bogan (A)	Year 11	F	69
Bogan (A)	Year 11	M	89
Bogan (A)	Year 12	F	359
Bogan (A)	Year 12	M	281
Botany Bay (C)	Did not go to school	F	330
Botany Bay (C)	Did not go to school	M	233
Botany Bay (C)	Year 8	F	1067
Botany Bay (C)	Year 8	M	836
Botany Bay (C)	Year 9	F	780
Botany Bay (C)	Year 9	M	733
Botany Bay (C)	Year 10	F	2667
Botany Bay (C)	Year 10	M	2856
Botany Bay (C)	Year 11	F	798
Botany Bay (C)	Year 11	M	948
