LGA_NAME16	medianMortgageRepayment
Albury (C)	17052
Armidale Regional (A)	16716
Ballina (A)	20796
Balranald (A)	11400
Bathurst Regional (A)	20040
Bega Valley (A)	16116
Bellingen (A)	16800
Berrigan (A)	12996
Blacktown (C)	25800
Bland (A)	12000
Blayney (A)	18000
Blue Mountains (C)	22104
Bogan (A)	12996
Botany Bay (C)	28800
Bourke (A)	11892
Brewarrina (A)	5196
Broken Hill (C)	11436
Burwood (A)	26400
Byron (A)	20796
Cabonne (A)	18204
Camden (A)	26640
Campbelltown (C) (NSW)	22104
Canada Bay (A)	30000
Canterbury-Bankstown (A)	24000
Carrathool (A)	10404
Central Coast (C) (NSW)	21000
Central Darling (A)	6900
Cessnock (C)	18204
Clarence Valley (A)	15600
Cobar (A)	15600
Coffs Harbour (C)	19236
Coolamon (A)	12996
Coonamble (A)	10404
Cowra (A)	13776
Cumberland (A)	24000
Dungog (A)	19944
Edward River (A)	12996
Eurobodalla (A)	16800
Fairfield (C)	21600
Federation (A)	15600
Forbes (A)	13776
Georges River (A)	26004
Gilgandra (A)	12996
Glen Innes Severn (A)	12996
Goulburn Mulwaree (A)	18204
Greater Hume Shire (A)	14556
Griffith (C)	17940
Gundagai (A)	13284
Gunnedah (A)	17676
Gwydir (A)	11772
Hawkesbury (C)	24960
Hay (A)	11784
Hilltops (A)	14400
Hornsby (A)	28800
Hunters Hill (A)	36396
Inner West (A)	31200
Inverell (A)	14400
Junee (A)	14400
Kempsey (A)	15600
Kiama (A)	24000
Ku-ring-gai (A)	36000
Kyogle (A)	13200
Lachlan (A)	10800
Lake Macquarie (C)	20796
Lane Cove (A)	31200
Leeton (A)	15600
Lismore (C)	17160
Lithgow (C)	16644
Liverpool (C)	25476
Liverpool Plains (A)	13836
Lockhart (A)	12000
Maitland (C)	20796
Mid-Coast (A)	15888
Mid-Western Regional (A)	20280
Moree Plains (A)	15600
Mosman (A)	36000
Murray River (A)	15600
Murrumbidgee (A)	10800
Muswellbrook (A)	20796
Nambucca (A)	15600
Narrabri (A)	16740
Narrandera (A)	12084
Narromine (A)	13200
Newcastle (C)	21216
