LGA_NAME16	PrivateDwelling	Sex	persons
Albury (C)	0	F	2523
Albury (C)	0	M	2555
Albury (C)	1	F	23627
Albury (C)	1	M	22056
Armidale Regional (A)	0	F	2596
Armidale Regional (A)	0	M	2409
Armidale Regional (A)	1	F	12759
Armidale Regional (A)	1	M	11921
Ballina (A)	0	F	2006
Ballina (A)	0	M	1813
Ballina (A)	1	F	19718
Ballina (A)	1	M	18343
Balranald (A)	0	F	199
Balranald (A)	0	M	277
Balranald (A)	1	F	990
Balranald (A)	1	M	1032
Bathurst Regional (A)	0	F	2219
Bathurst Regional (A)	0	M	2905
Bathurst Regional (A)	1	F	18358
Bathurst Regional (A)	1	M	17733
Bega Valley (A)	0	F	1823
Bega Valley (A)	0	M	1787
Bega Valley (A)	1	F	15028
Bega Valley (A)	1	M	14367
Bellingen (A)	0	F	608
Bellingen (A)	0	M	567
Bellingen (A)	1	F	5991
Bellingen (A)	1	M	5553
Berrigan (A)	0	F	513
Berrigan (A)	0	M	575
Berrigan (A)	1	F	3621
Berrigan (A)	1	M	3628
Blacktown (C)	0	F	7835
Blacktown (C)	0	M	8451
Blacktown (C)	1	F	160943
Blacktown (C)	1	M	158457
Bland (A)	0	F	379
Bland (A)	0	M	496
Bland (A)	1	F	2563
Bland (A)	1	M	2585
Blayney (A)	0	F	234
Blayney (A)	0	M	242
Blayney (A)	1	F	3339
Blayney (A)	1	M	3261
Blue Mountains (C)	0	F	2687
Blue Mountains (C)	0	M	2389
Blue Mountains (C)	1	F	36763
Blue Mountains (C)	1	M	34244
Bogan (A)	0	F	183
Bogan (A)	0	M	246
Bogan (A)	1	F	1134
Bogan (A)	1	M	1159
Botany Bay (C)	0	F	1809
Botany Bay (C)	0	M	2012
Botany Bay (C)	1	F	21941
Botany Bay (C)	1	M	21591
Bourke (A)	0	F	413
Bourke (A)	0	M	531
Bourke (A)	1	F	1081
Bourke (A)	1	M	1025
Brewarrina (A)	0	F	89
Brewarrina (A)	0	M	159
Brewarrina (A)	1	F	723
Brewarrina (A)	1	M	725
Broken Hill (C)	0	F	1066
Broken Hill (C)	0	M	1087
Broken Hill (C)	1	F	8138
Broken Hill (C)	1	M	7637
Burwood (A)	0	F	1367
Burwood (A)	0	M	1328
Burwood (A)	1	F	17636
Burwood (A)	1	M	16421
Byron (A)	0	F	2937
Byron (A)	0	M	2853
Byron (A)	1	F	14120
Byron (A)	1	M	12922
Cabonne (A)	0	F	466
Cabonne (A)	0	M	453
Cabonne (A)	1	F	6092
Cabonne (A)	1	M	6045
Camden (A)	0	F	1755
Camden (A)	0	M	1675
Camden (A)	1	F	37829
Camden (A)	1	M	36220
Campbelltown (C) (NSW)	0	F	4474
Campbelltown (C) (NSW)	0	M	4165
Campbelltown (C) (NSW)	1	F	75335
Campbelltown (C) (NSW)	1	M	72742
Canada Bay (A)	0	F	3025
Canada Bay (A)	0	M	2613
Canada Bay (A)	1	F	42319
Canada Bay (A)	1	M	39271
Canterbury-Bankstown (A)	0	F	9960
Canterbury-Bankstown (A)	0	M	10006
Canterbury-Bankstown (A)	1	F	163433
Canterbury-Bankstown (A)	1	M	161837
Carrathool (A)	0	F	154
Carrathool (A)	0	M	192
Carrathool (A)	1	F	1133
Carrathool (A)	1	M	1260
