LGA_NAME16	Age	ProvidedUnpaidDisabilityAssistance	Sex	adults
Albury (C)	15-19		F	145
Albury (C)	15-19		M	153
Albury (C)	15-19	0	F	1413
Albury (C)	15-19	0	M	1378
Albury (C)	15-19	1	F	83
Albury (C)	15-19	1	M	85
Albury (C)	20-24		F	151
Albury (C)	20-24		M	175
Albury (C)	20-24	0	F	1515
Albury (C)	20-24	0	M	1442
Albury (C)	20-24	1	F	144
Albury (C)	20-24	1	M	78
Albury (C)	25-34		F	249
Albury (C)	25-34		M	289
Albury (C)	25-34	0	F	2674
Albury (C)	25-34	0	M	2693
Albury (C)	25-34	1	F	373
Albury (C)	25-34	1	M	220
Albury (C)	35-44		F	234
Albury (C)	35-44		M	256
Albury (C)	35-44	0	F	2517
Albury (C)	35-44	0	M	2411
Albury (C)	35-44	1	F	479
Albury (C)	35-44	1	M	307
Albury (C)	45-54		F	215
Albury (C)	45-54		M	263
Albury (C)	45-54	0	F	2432
Albury (C)	45-54	0	M	2507
Albury (C)	45-54	1	F	685
Albury (C)	45-54	1	M	394
Albury (C)	55-64		F	265
Albury (C)	55-64		M	267
Albury (C)	55-64	0	F	2336
Albury (C)	55-64	0	M	2379
Albury (C)	55-64	1	F	730
Albury (C)	55-64	1	M	397
Albury (C)	65-74		F	286
Albury (C)	65-74		M	251
Albury (C)	65-74	0	F	1905
Albury (C)	65-74	0	M	1806
Albury (C)	65-74	1	F	383
Albury (C)	65-74	1	M	270
Albury (C)	75-84		F	337
Albury (C)	75-84		M	192
Albury (C)	75-84	0	F	1150
Albury (C)	75-84	0	M	931
Albury (C)	75-84	1	F	175
Albury (C)	75-84	1	M	131
Albury (C)	85+		F	158
Albury (C)	85+		M	121
Albury (C)	85+	0	F	653
Albury (C)	85+	0	M	334
Albury (C)	85+	1	F	30
Albury (C)	85+	1	M	31
Armidale Regional (A)	15-19		F	139
Armidale Regional (A)	15-19		M	153
Armidale Regional (A)	15-19	0	F	1094
Armidale Regional (A)	15-19	0	M	1046
Armidale Regional (A)	15-19	1	F	69
Armidale Regional (A)	15-19	1	M	52
Armidale Regional (A)	20-24		F	158
Armidale Regional (A)	20-24		M	146
Armidale Regional (A)	20-24	0	F	1188
Armidale Regional (A)	20-24	0	M	1173
Armidale Regional (A)	20-24	1	F	82
Armidale Regional (A)	20-24	1	M	51
Armidale Regional (A)	25-34		F	155
Armidale Regional (A)	25-34		M	148
Armidale Regional (A)	25-34	0	F	1471
Armidale Regional (A)	25-34	0	M	1446
Armidale Regional (A)	25-34	1	F	144
Armidale Regional (A)	25-34	1	M	100
Armidale Regional (A)	35-44		F	136
Armidale Regional (A)	35-44		M	127
Armidale Regional (A)	35-44	0	F	1253
Armidale Regional (A)	35-44	0	M	1182
Armidale Regional (A)	35-44	1	F	248
Armidale Regional (A)	35-44	1	M	160
Armidale Regional (A)	45-54		F	178
Armidale Regional (A)	45-54		M	169
Armidale Regional (A)	45-54	0	F	1353
Armidale Regional (A)	45-54	0	M	1347
Armidale Regional (A)	45-54	1	F	361
Armidale Regional (A)	45-54	1	M	251
Armidale Regional (A)	55-64		F	146
Armidale Regional (A)	55-64		M	161
Armidale Regional (A)	55-64	0	F	1301
Armidale Regional (A)	55-64	0	M	1307
