LGA_NAME16	AgeStudent	students
Albury (C)	0-4	669
Albury (C)	5-14	5798
Albury (C)	15-19	2258
Albury (C)	20-24	1046
Albury (C)	25+	1754
Armidale Regional (A)	0-4	433
Armidale Regional (A)	5-14	3368
Armidale Regional (A)	15-19	1936
Armidale Regional (A)	20-24	1518
Armidale Regional (A)	25+	1576
Ballina (A)	0-4	548
Ballina (A)	5-14	4444
Ballina (A)	15-19	1758
Ballina (A)	20-24	423
Ballina (A)	25+	1302
Balranald (A)	0-4	24
Balranald (A)	5-14	288
Balranald (A)	15-19	80
Balranald (A)	20-24	10
Balranald (A)	25+	37
Bathurst Regional (A)	0-4	626
Bathurst Regional (A)	5-14	5147
Bathurst Regional (A)	15-19	2151
Bathurst Regional (A)	20-24	1178
Bathurst Regional (A)	25+	1457
Bega Valley (A)	0-4	379
Bega Valley (A)	5-14	3354
Bega Valley (A)	15-19	1175
Bega Valley (A)	20-24	223
Bega Valley (A)	25+	681
Bellingen (A)	0-4	175
Bellingen (A)	5-14	1419
Bellingen (A)	15-19	523
Bellingen (A)	20-24	90
Bellingen (A)	25+	383
Berrigan (A)	0-4	121
Berrigan (A)	5-14	851
Berrigan (A)	15-19	268
Berrigan (A)	20-24	41
Berrigan (A)	25+	164
Blacktown (C)	0-4	5519
Blacktown (C)	5-14	45530
Blacktown (C)	15-19	17823
Blacktown (C)	20-24	8559
Blacktown (C)	25+	12005
Bland (A)	0-4	81
Bland (A)	5-14	769
Bland (A)	15-19	217
Bland (A)	20-24	37
Bland (A)	25+	96
Blayney (A)	0-4	127
Blayney (A)	5-14	965
Blayney (A)	15-19	334
Blayney (A)	20-24	77
Blayney (A)	25+	190
Blue Mountains (C)	0-4	1166
Blue Mountains (C)	5-14	9267
Blue Mountains (C)	15-19	3771
Blue Mountains (C)	20-24	1467
Blue Mountains (C)	25+	3074
Bogan (A)	0-4	50
Bogan (A)	5-14	293
Bogan (A)	15-19	104
Bogan (A)	20-24	26
Bogan (A)	25+	50
Botany Bay (C)	0-4	637
Botany Bay (C)	5-14	4581
Botany Bay (C)	15-19	2167
Botany Bay (C)	20-24	1892
Botany Bay (C)	25+	2406
Bourke (A)	0-4	48
Bourke (A)	5-14	299
Bourke (A)	15-19	66
Bourke (A)	20-24	11
Bourke (A)	25+	56
Brewarrina (A)	0-4	26
Brewarrina (A)	5-14	217
Brewarrina (A)	15-19	49
Brewarrina (A)	20-24	6
Brewarrina (A)	25+	36
Broken Hill (C)	0-4	250
Broken Hill (C)	5-14	1761
Broken Hill (C)	15-19	594
Broken Hill (C)	20-24	154
Broken Hill (C)	25+	525
Burwood (A)	0-4	341
Burwood (A)	5-14	2921
Burwood (A)	15-19	1900
Burwood (A)	20-24	2904
Burwood (A)	25+	2655
Byron (A)	0-4	395
Byron (A)	5-14	3191
Byron (A)	15-19	1114
Byron (A)	20-24	267
Byron (A)	25+	1186
Cabonne (A)	0-4	213
Cabonne (A)	5-14	1845
Cabonne (A)	15-19	633
Cabonne (A)	20-24	108
Cabonne (A)	25+	330
Camden (A)	0-4	1560
Camden (A)	5-14	11387
Camden (A)	15-19	4065
Camden (A)	20-24	1477
Camden (A)	25+	2077
Campbelltown (C) (NSW)	0-4	2404
Campbelltown (C) (NSW)	5-14	20109
Campbelltown (C) (NSW)	15-19	7571
Campbelltown (C) (NSW)	20-24	3588
Campbelltown (C) (NSW)	25+	5089
Canada Bay (A)	0-4	1153
Canada Bay (A)	5-14	8223
Canada Bay (A)	15-19	3419
Canada Bay (A)	20-24	3497
Canada Bay (A)	25+	4288
Canterbury-Bankstown (A)	0-4	5093
Canterbury-Bankstown (A)	5-14	41531
Canterbury-Bankstown (A)	15-19	17650
Canterbury-Bankstown (A)	20-24	10851
Canterbury-Bankstown (A)	25+	14695
Carrathool (A)	0-4	48
Carrathool (A)	5-14	312
Carrathool (A)	15-19	93
Carrathool (A)	20-24	18
Carrathool (A)	25+	44
Central Coast (C) (NSW)	0-4	5184
Central Coast (C) (NSW)	5-14	38111
Central Coast (C) (NSW)	15-19	14300
Central Coast (C) (NSW)	20-24	5477
Central Coast (C) (NSW)	25+	9766
Central Darling (A)	0-4	22
Central Darling (A)	5-14	163
Central Darling (A)	15-19	52
Central Darling (A)	20-24	8
Central Darling (A)	25+	21
Cessnock (C)	0-4	876
Cessnock (C)	5-14	6782
Cessnock (C)	15-19	2183
Cessnock (C)	20-24	582
Cessnock (C)	25+	1205
Clarence Valley (A)	0-4	611
Clarence Valley (A)	5-14	5252
Clarence Valley (A)	15-19	1961
Clarence Valley (A)	20-24	381
Clarence Valley (A)	25+	1194
Cobar (A)	0-4	56
Cobar (A)	5-14	573
Cobar (A)	15-19	147
Cobar (A)	20-24	31
Cobar (A)	25+	110
Coffs Harbour (C)	0-4	1050
Coffs Harbour (C)	5-14	8464
Coffs Harbour (C)	15-19	2968
Coffs Harbour (C)	20-24	968
Coffs Harbour (C)	25+	2350
Coolamon (A)	0-4	63
Coolamon (A)	5-14	563
Coolamon (A)	15-19	184
Coolamon (A)	20-24	35
Coolamon (A)	25+	93
Coonamble (A)	0-4	58
Coonamble (A)	5-14	426
Coonamble (A)	15-19	98
Coonamble (A)	20-24	29
Coonamble (A)	25+	67
Cowra (A)	0-4	174
Cowra (A)	5-14	1322
Cowra (A)	15-19	464
Cowra (A)	20-24	97
Cowra (A)	25+	265
Cumberland (A)	0-4	3101
Cumberland (A)	5-14	24720
Cumberland (A)	15-19	9895
Cumberland (A)	20-24	7602
Cumberland (A)	25+	10753
