POA_CODE_2016	BornAust	Sex	persons
POA0800	0	F	1263
POA0800	0	M	1454
POA0800	1	F	1122
POA0800	1	M	1560
POA0810	0	F	5611
POA0810	0	M	5530
POA0810	1	F	9193
POA0810	1	M	9462
POA0812	0	F	2754
POA0812	0	M	2500
POA0812	1	F	5721
POA0812	1	M	5933
POA0815	0	F	56
POA0815	0	M	106
POA0815	1	F	12
POA0815	1	M	10
POA0820	0	F	2800
POA0820	0	M	2849
POA0820	1	F	5478
POA0820	1	M	6115
POA0822	0	F	588
POA0822	0	M	722
POA0822	1	F	11023
POA0822	1	M	11354
POA0828	0	F	108
POA0828	0	M	138
POA0828	1	F	399
POA0828	1	M	411
POA0829	0	F	23
POA0829	0	M	124
POA0829	1	F	204
POA0829	1	M	1412
POA0830	0	F	1835
POA0830	0	M	1550
POA0830	1	F	6161
POA0830	1	M	6668
POA0832	0	F	1776
POA0832	0	M	1685
POA0832	1	F	5453
POA0832	1	M	5563
POA0834	0	F	120
POA0834	0	M	101
POA0834	1	F	654
POA0834	1	M	746
POA0835	0	F	225
POA0835	0	M	560
POA0835	1	F	1124
POA0835	1	M	1756
POA0836	0	F	474
POA0836	0	M	386
POA0836	1	F	2754
POA0836	1	M	3156
POA0837	0	F	23
POA0837	0	M	22
POA0837	1	F	134
POA0837	1	M	167
POA0838	0	F	54
POA0838	0	M	55
POA0838	1	F	283
POA0838	1	M	332
POA0839	0	F	56
POA0839	0	M	31
POA0839	1	F	162
POA0839	1	M	190
POA0840	0	F	17
POA0840	0	M	30
POA0840	1	F	114
POA0840	1	M	160
POA0841	0	F	28
POA0841	0	M	57
POA0841	1	F	240
POA0841	1	M	260
POA0845	0	F	26
POA0845	0	M	25
POA0845	1	F	176
POA0845	1	M	185
POA0846	0	F	23
POA0846	0	M	16
POA0846	1	F	131
POA0846	1	M	133
POA0847	0	F	22
POA0847	0	M	15
POA0847	1	F	109
POA0847	1	M	139
POA0850	0	F	541
POA0850	0	M	499
POA0850	1	F	2628
POA0850	1	M	2799
POA0852	0	F	125
POA0852	0	M	129
POA0852	1	F	3485
POA0852	1	M	3673
POA0853	0	F	28
POA0853	0	M	46
POA0853	1	F	313
POA0853	1	M	387
POA0854	0	F	29
POA0854	0	M	26
POA0854	1	F	363
POA0854	1	M	406
POA0860	0	F	216
POA0860	0	M	200
POA0860	1	F	1033
POA0860	1	M	1177
POA0862	0	F	19
POA0862	0	M	16
POA0862	1	F	349
POA0862	1	M	352
POA0870	0	F	2479
POA0870	0	M	2365
POA0870	1	F	6350
POA0870	1	M	6082
POA0872	0	F	322
POA0872	0	M	348
POA0872	1	F	6825
POA0872	1	M	6876
POA0873	0	F	164
POA0873	0	M	133
POA0873	1	F	930
POA0873	1	M	904
POA0874	0	F	113
POA0874	0	M	132
POA0874	1	F	114
POA0874	1	M	99
POA0875	0	F	225
POA0875	0	M	191
POA0875	1	F	853
POA0875	1	M	824
POA0880	0	F	307
POA0880	0	M	267
POA0880	1	F	2047
POA0880	1	M	2047
POA0885	0	F	71
POA0885	0	M	77
POA0885	1	F	278
POA0885	1	M	344
POA0886	0	F	80
POA0886	0	M	61
POA0886	1	F	321
POA0886	1	M	411
POA2000	0	F	9677
POA2000	0	M	8971
POA2000	1	F	2022
POA2000	1	M	2698
POA2006	0	F	164
POA2006	0	M	105
POA2006	1	F	488
POA2006	1	M	360
POA2007	0	F	3364
POA2007	0	M	2827
POA2007	1	F	696
POA2007	1	M	860
POA2008	0	F	3965
POA2008	0	M	3265
POA2008	1	F	1476
POA2008	1	M	1694
POA2009	0	F	3510
POA2009	0	M	3301
POA2009	1	F	2209
POA2009	1	M	2502
POA2010	0	F	5097
POA2010	0	M	6641
POA2010	1	F	5096
POA2010	1	M	6899
POA2011	0	F	3329
POA2011	0	M	4039
POA2011	1	F	4307
POA2011	1	M	4985
POA2015	0	F	1618
POA2015	0	M	1682
POA2015	1	F	2889
POA2015	1	M	2895
POA2016	0	F	2529
POA2016	0	M	2851
POA2016	1	F	2817
POA2016	1	M	3500
POA2017	0	F	7032
POA2017	0	M	6829
POA2017	1	F	3614
POA2017	1	M	4430
POA2018	0	F	4373
POA2018	0	M	4234
POA2018	1	F	3529
POA2018	1	M	3662
POA2019	0	F	1707
POA2019	0	M	1599
POA2019	1	F	3373
POA2019	1	M	3468
POA2020	0	F	3945
POA2020	0	M	3753
POA2020	1	F	2923
POA2020	1	M	3173
POA2021	0	F	2430
POA2021	0	M	2285
POA2021	1	F	4795
POA2021	1	M	4267
POA2022	0	F	2811
POA2022	0	M	2394
POA2022	1	F	2908
POA2022	1	M	2867
POA2023	0	F	1887
POA2023	0	M	1742
POA2023	1	F	3171
POA2023	1	M	3057
POA2024	0	F	1825
